Name,Count,G10+,G13+,R5,leader zeta,other zeta
"ARC Trooper",143,77,40,27,0,70
"Aayla Secura",132,16,5,1,0,0
"Admiral Ackbar",235,71,3,2,0,0
"Admiral Piett",180,37,25,24,0,81
"Ahsoka Tano",236,176,71,49,0,127
"Ahsoka Tano (Fulcrum)",183,18,1,0,0,11
"Amilyn Holdo",159,19,16,16,0,13
"Asajj Ventress",231,165,50,24,77,112
"Aurra Sing",157,28,5,4,5,8
"B1 Battle Droid",166,73,47,28,0,74
"B2 Super Battle Droid",194,72,40,17,0,70
"BB-8",179,72,27,19,0,107
"Barriss Offee",186,45,5,4,0,38
"Bastila Shan",228,171,51,27,115,0
"Bastila Shan (Fallen)",190,134,63,36,0,111
"Baze Malbus",132,18,1,1,0,0
"Biggs Darklighter",235,74,18,4,0,0
"Bistan",208,14,3,2,0,0
"Bo-Katan Kryze",153,5,3,2,0,2
"Boba Fett",233,167,37,17,0,98
"Bodhi Rook",168,1,0,0,0,1
"Bossk",211,160,63,33,154,99
"C-3PO",127,91,52,33,0,150
"CC-2224 "Cody"",225,51,6,1,36,0
"CT-21-0408 "Echo"",230,116,55,31,0,88
"CT-5555 "Fives"",234,129,67,45,0,213
"CT-7567 "Rex"",233,135,63,41,0,105
"Cad Bane",228,113,6,2,0,0
"Canderous Ordo",183,100,2,2,0,48
"Captain Han Solo",96,35,27,6,0,18
"Captain Phasma",227,56,25,22,33,0
"Cara Dune",188,12,5,4,0,11
"Carth Onasi",195,121,3,3,97,0
"Cassian Andor",193,27,1,1,0,6
"Chewbacca",169,94,55,41,0,161
"Chief Chirpa",193,101,4,0,135,0
"Chief Nebit",166,9,1,1,0,0
"Chirrut Îmwe",170,20,2,2,0,0
"Chopper",234,94,4,1,0,0
"Clone Sergeant - Phase I",236,85,6,2,0,0
"Clone Wars Chewbacca",236,13,0,0,0,6
"Colonel Starck",181,52,28,5,0,41
"Commander Luke Skywalker",194,155,89,53,127,251
"Coruscant Underworld Police",175,4,1,0,0,0
"Count Dooku",230,156,41,26,0,98
"Dark Trooper",235,6,2,2,0,4
"Darth Malak",85,78,51,39,0,157
"Darth Maul",219,102,25,3,49,0
"Darth Nihilus",197,82,22,8,32,56
"Darth Revan",118,110,85,57,106,213
"Darth Sidious",217,87,24,20,0,46
"Darth Sion",181,64,17,8,0,56
"Darth Traya",169,65,20,14,82,71
"Darth Vader",235,212,146,97,155,368
"Dathcha",197,28,1,1,0,0
"Death Trooper",193,39,7,4,0,11
"Dengar",208,82,10,5,0,54
"Director Krennic",151,34,21,1,5,0
"Droideka",200,62,44,17,0,67
"Echo",138,3,2,1,0,5
"Eeth Koth",169,15,0,0,0,0
"Embo",126,26,4,3,10,17
"Emperor Palpatine",229,191,94,66,146,130
"Enfys Nest",146,67,12,9,0,55
"Ewok Elder",236,149,3,0,0,0
"Ewok Scout",236,75,1,0,0,0
"Ezra Bridger",234,140,14,8,0,72
"Finn",195,73,24,20,45,0
"First Order Executioner",191,76,31,26,0,0
"First Order Officer",219,81,28,25,0,0
"First Order SF TIE Pilot",185,29,20,0,0,0
"First Order Stormtrooper",209,35,23,22,0,31
"First Order TIE Pilot",235,73,23,1,0,34
"Gamorrean Guard",83,2,1,1,0,0
"Gar Saxon",201,9,4,2,8,0
"Garazeb "Zeb" Orrelios",232,48,4,0,0,37
"General Grievous",221,118,55,41,92,114
"General Hux",166,41,30,22,0,45
"General Kenobi",222,130,95,71,0,133
"General Skywalker",46,42,35,32,43,128
"General Veers",227,84,29,6,0,55
"Geonosian Brood Alpha",188,139,55,21,125,147
"Geonosian Soldier",235,158,14,4,0,0
"Geonosian Spy",228,135,39,10,0,0
"Grand Admiral Thrawn",219,125,54,37,48,104
"Grand Master Yoda",230,205,102,65,80,159
"Grand Moff Tarkin",235,143,36,4,39,46
"Greedo",218,65,8,3,0,35
"Greef Karga",193,28,7,5,0,38
"HK-47",209,134,40,18,0,148
"Han Solo",229,138,53,41,0,122
"Hera Syndulla",231,89,7,2,0,48
"Hermit Yoda",134,75,34,25,0,105
"Hoth Rebel Scout",229,11,2,2,0,0
