Player,Offense,Defense,GP,Name,Squad,Viable
"DarthInaren",0,1,123386,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"DarthInaren",,,239461,Malevolence,"Malevolence 6* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"DarthInaren",,,408952,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"DarthInaren",0,1,83789,Geonosians,"zzGBA 6* Poggle Geo Soldier, Geo Spy, Sun Fac G9,",1
"DarthInaren",0,1,125516,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"DarthInaren",0,1,98794,BH,"zJango Boba Dengar Embo zNest",1
"DarthInaren",1,1,103725,Revan Offense,"zzzJKR G9 zGMY zBS zJolee Ezra G8",1
"DarthInaren",1,1,78242,Ewoks,"zChirpa G8 Elder Paploo G9 zWicket G9 Logray G9",1
"DarthInaren",1,0,103711,ShaakClones,"zzShaak Ti, zRex zEcho zFives Clone Sergeant,",1
"DarthInaren",1,0,86704,Wiggs,"Wedge G7 Biggs G8 zCLS zHan zChewbacca",1
"DarthInaren",1,0,72463,Troopers,"zVeers G9 Starck G9 DT G9 Snowtrooper G8 Stormtrooper G8",1
"DarthInaren",1,0,96358,EP (trio),"zEP zzTraya G8 DN zSion zThrawn",1
"DarthInaren",1,1,80262,NS,"zMT 6* G8 zAV Daka Zombie 6* Spirit 6* G9",0
"DarthInaren",1,1,61217,Carth,"Carth Onasi 6* G8, Mission G8 Zaalbar G7 Juhani 6* G7 Canderous G7",0
"DarthInaren",0,1,84922,BH,"zzBossk Cad G8 Greedo G7 IG-88 Zam G8",0
"DarthInaren",0,1,70493,FO,"zKRU G8 Kylo G8 Phasma G8 FOE G9 FOO G8",0
"L'one Starr",,,130444,GL Rey,"zzzzzzRey zzMalak zGK zResistance Hero Poe, zResistance Hero Finn,",1
"L'one Starr",1,1,104453,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"L'one Starr",,,415697,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"L'one Starr",0,1,96544,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"L'one Starr",0,1,113584,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"L'one Starr",1,1,134599,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"L'one Starr",1,1,139759,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"L'one Starr",1,1,120036,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"L'one Starr",1,0,115227,CLS,"zzCLS zHan zChewbacca zzThrawn zzC-3PO",1
"L'one Starr",1,1,89225,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"L'one Starr",1,1,81313,Carth,"zCarth Onasi, Mission G8 zZaalbar zJuhani Canderous G8",1
"L'one Starr",0,1,97074,BH,"zzBossk Boba Dengar G9 IG-88 zZam",1
"L'one Starr",1,1,91130,zEP,"zEP zzzVader Tarkin IPD G8 TFP",1
"L'one Starr",1,0,77713,Troopers,"zVeers Starck G9 DT Range Trooper G7, Snowtrooper",1
"L'one Starr",0,1,78852,Phoenix,"Hera zEzra Zeb G8 Kanan G8 Sabine",1
"L'one Starr",1,1,82844,Rogue1,"zJyn Chirrut Baze Cassian K-2SO G8",1
"L'one Starr",1,0,94850,QGJ,"QGJ Aayla G7 zJKA zzOld Ben, zAhsoka",1
"L'one Starr",1,0,69959,Jawas,"Nebit Jawa Engineer, Jawa Scavenger G8, Jawa G9 Dathcha",1
"L'one Starr",1,0,18247,SionSolo (Counter),"Sion",1
"L'one Starr",0,1,95414,DR,"zzzDR zzHK-47 zBSF Sith Marauder G7, Sith Assassin G5,",0
"L'one Starr",,,329143,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",0
"L'one Starr",0,1,80638,FO,"KRU Kylo G8 FOE G9 FOO FOST",0
"Fainsan",1,1,113597,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Fainsan",0,1,139047,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Fainsan",0,1,110594,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G8,",1
"Fainsan",,,440786,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"Fainsan",0,1,100964,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Fainsan",0,1,120654,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Fainsan",1,0,115300,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
"Fainsan",1,1,134814,JTR,"zzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Fainsan",,,97710,Nute-Wat,"zNute zDooku zWat Tambor, zJango Nest",1
"Fainsan",1,1,147330,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Fainsan",1,1,124587,Revan Offense,"zzzJKR zzGMY zzHYoda zJolee zEzra",1
"Fainsan",1,1,89903,Ewoks,"zChirpa Elder zPaploo Wicket Logray",1
"Fainsan",1,1,83755,Carth,"zCarth Onasi, Mission G9 Zaalbar Juhani Canderous",1
"Fainsan",0,1,107050,BH,"zzBossk zBoba Dengar Greedo zZam",1
"Fainsan",0,1,88460,FO,"zKRU zKylo FOE FOO FOST",1
"Fainsan",1,0,87091,Troopers,"zVeers Starck DT Shoretrooper Snowtrooper",1
"Fainsan",1,0,107562,CLS,"zzzCLS zHan Wedge G8 Biggs zChewbacca",1
"Fainsan",0,1,79658,Phoenix,"Hera Chopper Zeb G8 Kanan G8 zSabine",1
"Fainsan",1,1,87622,Rogue1,"zJyn Chirrut Baze Cassian K-2SO G9",1
"Fainsan",1,0,91278,zMaul,"zMaul zSidious zSavage Sith Empire Trooper, Sith Marauder,",1
"Fainsan",1,0,75059,Jawas,"Nebit Jawa Engineer, Jawa Scavenger G9, Jawa Dathcha",1
"Fainsan",,,426366,Raddus,"Raddus 4* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"Fainsan",,,398446,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",0
"tjcc9269",,,152852,SL Kylo,"zzzzzzSL Kylo, zSiT zHux zzKRU zzThrawn",1
"tjcc9269",0,1,129904,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"tjcc9269",1,1,128518,NS,"zzMT zzAV zDaka Zombie Spirit",1
"tjcc9269",0,1,145745,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin,",1
"tjcc9269",0,1,151423,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"tjcc9269",,,461706,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"tjcc9269",0,1,116249,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"tjcc9269",0,1,133512,Grievous-Wat,"zzGG zB2 zB1 zMagnaGuard zWat Tambor,",1
"tjcc9269",1,1,137346,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn",1
"tjcc9269",1,0,154837,Traya,"zzTraya zDN zSion zDooku zzEP",1
"tjcc9269",0,1,144692,BH,"zzJango zBoba zDengar zZam zNest",1
"tjcc9269",1,1,143759,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"tjcc9269",1,1,88416,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"tjcc9269",1,0,152694,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper,",1
"tjcc9269",0,1,118259,BH,"zzBossk Cad zEmbo zGreedo IG-88",1
"tjcc9269",1,0,91568,Troopers,"zVeers Starck DT Range Trooper, Snowtrooper",1
"tjcc9269",1,0,146985,CLS,"zzzCLS zHan Leia zzOld Ben, zzChewbacca",1
"tjcc9269",0,1,94825,Phoenix,"Hera Chopper Zeb zKanan zSabine",1
"tjcc9269",1,1,93528,Rogue1,"zJyn Chirrut Baze Cassian K-2SO",1
"tjcc9269",1,0,98830,zMaul,"zMaul Sidious zSavage Sith Empire Trooper, Sith Marauder,",1
"tjcc9269",1,0,116282,Zader (Counter),"zzzVader zzWampa Tarkin Shoretrooper Stormtrooper",1
"tjcc9269",1,0,83510,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"tjcc9269",,,415048,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",0
"Lolek",0,1,93197,Qira,"Qira zL3-37 G8 zVandor Chewbacca, zMission zZaalbar",1
"Lolek",1,1,105927,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Lolek",0,1,130336,DRMalak,"zzzDR zzHK-47 zBSF zzMalak zSiT",1
"Lolek",0,1,125761,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Lolek",,,390300,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Lolek",,,262855,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Lolek",0,1,94486,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Lolek",0,1,118538,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Lolek",1,0,113761,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
"Lolek",1,1,119597,JTR,"zzzJTR zScav Rey, zBB-8 zzR2-D2 zFinn",1
"Lolek",,,103793,Nute-Wat,"zNute zDooku zWat Tambor, zzJango zNest",1
"Lolek",1,1,144673,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Lolek",1,1,119602,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"Lolek",1,1,92551,Ewoks,"zChirpa Elder zPaploo zWicket zLogray G9",1
"Lolek",0,1,102027,BH,"zzBossk zBoba Cad Dengar G9 IG-88",1
"Lolek",0,1,104883,FO,"zzKRU zKylo FOE FOO zFOST",1
"Lolek",1,0,86009,Troopers,"zVeers Starck DT Range Trooper, Shoretrooper",1
"Lolek",0,1,82850,Phoenix,"Hera Ezra Zeb G8 Kanan G8 zSabine",1
"Lolek",1,0,102827,CLS,"zzCLS zHan Leia Old Ben, zzChewbacca",1
"Lolek",1,1,83379,Rogue1,"zJyn G8 Chirrut Baze G8 Cassian K-2SO",1
"Lolek",1,0,102837,Zader (Counter),"zzzVader zzWampa Tarkin Sidious Sith Empire Trooper,",1
"Lolek",1,0,69224,Jawas,"Nebit Jawa Engineer, Jawa Scavenger G9, Jawa G9 Dathcha",1
"Lolek",,,354081,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",0
"CJ Onassi",1,1,107440,NS,"zzMT zzAV zDaka Zombie Spirit",1
"CJ Onassi",0,1,132971,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"CJ Onassi",0,1,138519,DRMalak,"zzzDR zzHK-47 zBSF zzMalak zThrawn",1
"CJ Onassi",,,267886,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"CJ Onassi",0,1,115611,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"CJ Onassi",0,1,121341,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"CJ Onassi",1,1,73966,JTR,"zJTR Scav Rey G8, BB-8 G8 R2-D2 Finn G8",1
"CJ Onassi",1,0,111922,Traya,"zzTraya zDN zSion zzEP zNest",1
"CJ Onassi",,,369999,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing,",1
"CJ Onassi",1,1,143008,GAS,"zzzzGAS zRex zEcho zFives zARC Trooper,",1
"CJ Onassi",1,1,114050,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"CJ Onassi",1,1,78584,Ewoks,"zChirpa G9 Elder zPaploo zWicket Logray G9",1
"CJ Onassi",1,1,85617,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8 Canderous",1
"CJ Onassi",0,1,90790,BH,"zzBossk Boba Cad Dengar G8 IG-88",1
"CJ Onassi",1,0,77114,Troopers,"zVeers Starck Range Trooper G9, Snowtrooper Stormtrooper",1
"CJ Onassi",1,0,100320,Wiggs,"Wedge Biggs zCLS zHan zzChewbacca",1
"CJ Onassi",0,1,66742,Phoenix,"Hera G8 Chopper G8 zEzra Zeb G8 Kanan G8",1
"Twin Turbo IV",0,1,132797,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Twin Turbo IV",0,1,138446,DRMalak,"zzzDR zHK-47 zBSF zzMalak Thrawn",1
"Twin Turbo IV",,,370742,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Twin Turbo IV",0,1,100260,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Twin Turbo IV",1,0,97692,Traya,"zzTraya DN zSion zzEP zNest",1
"Twin Turbo IV",,,101029,Nute-Wat,"zNute zB1 zB2 MagnaGuard zWat Tambor,",1
"Twin Turbo IV",1,1,141033,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Twin Turbo IV",1,1,117445,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Twin Turbo IV",1,1,79104,Ewoks,"zChirpa Elder Paploo G9 Wicket Logray",1
