Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Zetas,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"DarthInaren",712674923,3266696,1861514,1405182,132,-231,51,119,13,20,46,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,12,6,6
"Shaguar",552181112,5708152,3407226,2300926,148,-77,113,222,41,106,137,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,23,13,12
"Tucker McFly",259125995,5075829,2998515,2077314,144,22,83,205,31,59,99,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,19,12,9
"shanndmann",822836457,5253607,3177470,2076137,153,2,102,188,22,69,111,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,20,12,12
"QuiGonChi",246919752,4758949,2795956,1962993,142,-16,79,191,23,68,114,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,16,9,9
"Abachalypse",176519495,5622548,3340739,2281809,146,-98,101,216,28,85,128,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,22,13,12
"Misfit Egghead",577164136,5477012,3276192,2200820,148,21,94,209,24,87,133,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,21,13,12
"Siegfried",787553277,5223814,3112674,2111140,147,14,78,222,32,118,143,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,21,14,11
"Слава Украине",576181562,4892501,2825837,2066664,136,-82,84,201,11,56,99,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,16,11,7
"CJ Onassi",493559948,3719253,2186610,1532643,142,-235,76,140,28,49,79,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,17,12,9
"Pokity Poke Poke",255248349,4776698,2856960,1919738,148,1,81,193,22,57,102,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,17,12,10
"Marrec",662814751,5615488,3302204,2313284,142,19,96,226,22,87,135,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,22,13,11
"Twin Turbo IV",864585762,3302627,1913334,1389293,137,-112,64,126,21,42,70,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,13,8,6
"Ty Platus",154287988,4351256,2619154,1732102,151,-52,86,166,25,68,93,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,13,10,8
"Shadows",844448156,5546466,3297763,2248703,146,52,101,207,50,118,145,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,23,14,12
"Kymbo",583526947,6074420,3726331,2348089,158,73,106,217,54,126,167,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,21,13,11
"KoolKunt",387689431,5540638,3430698,2109940,162,-26,106,202,30,91,150,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,21,14,11
"EcceZollythurstra",814766339,5602474,3360234,2242240,149,-6,106,207,34,79,124,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,20,13,10
"Biggie",543612143,5725380,3495062,2230318,156,-124,108,210,44,99,136,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,21,13,12
"Zigz",685631438,5457952,3195024,2262928,141,81,103,224,27,95,139,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,21,13,12
"Lolek",219115125,5465393,3201434,2263959,141,-41,104,222,23,82,121,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,22,14,11
"tjcc9269",254154284,6360761,4072990,2287771,178,-86,118,217,75,152,171,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,22,13,12
"Mason Vankae",819493511,5094685,3233469,1861216,173,-63,106,190,22,58,112,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,18,11,11
"DD",255999462,4605778,2855734,1750044,163,-14,72,208,22,55,110,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,20,13,11
