Player,Offense,Defense,GP,Name,Squad,Viable
"Cwood17",1,1,123691,zEP,"zzEP zzzVader zzTarkin TFP 9, zzDN",1
"Cwood17",0,1,114467,BH,"zzJango zBoba zGreedo zIG-88 Cad",1
"Cwood17",1,0,104688,Wiggs,"Wedge Biggs zzzCLS zEzra zLeia",1
"Cwood17",0,1,95619,FO,"zzKRU zKylo zFOTP zPhasma FOO",1
"Cwood17",1,1,118661,NS,"zzMT zzAV zDaka Zombie Spirit 8",0
"Cwood17",0,1,83919,padme,"Padme 6, zGK 8, zJKA zAhsoka zCW Chewbacca 9",0
"Cwood17",1,1,101646,JTR,"zzJTR 7, zScav Rey, zzBB-8 zzR2-D2 9, zFinn",0
"Cwood17",,,65908,Mon Mothma,"Mon Mothma 3* 7, Hoth Rebel Scout 9, Bodhi Rook 8, zK-2SO 9, Bistan 8",0
"Cwood17",1,1,60734,Ewoks,"Chirpa 5* 7, Elder 9, Paploo 5* 7, Teebo 8, Scout",0
"Cwood17",1,0,71777,Clones,"Cody 7, Rex 7, Echo (501st) 6* 7, zzFives Clone Sergeant",0
"Cwood17",1,0,64406,Thragma (Counter),"zzThrawn Magma 8, DT 4* 5, Krennic 5* 7, Stormtrooper 8",0
"Cwood17",0,1,90731,Phoenix,"zHera zKanan Sabine 6* 8, Chopper zZeb",0
"Cwood17",1,0,6016,SionSolo (Counter),"Sion 4* 7",0
"DubiNuz007",0,1,145524,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"DubiNuz007",0,1,93646,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"DubiNuz007",1,1,92546,NS_Alt,"zzMT Acolyte Daka zAV Zombie",1
"DubiNuz007",0,1,95673,Grievous,"zzGG B2 8, zB1 zDroideka MagnaGuard 8",1
"DubiNuz007",1,1,87110,Ewoks,"zChirpa 9, Elder zPaploo 9, Wicket zLogray",1
"DubiNuz007",1,0,143581,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"DubiNuz007",0,1,130746,BH,"zzBossk Boba 9, zzGreef Karga, Dengar 8, zzJango",1
"DubiNuz007",1,0,18858,NestSolo (Counter),"zNest",1
"DubiNuz007",1,0,17632,SionSolo (Counter),"Sion",1
"DubiNuz007",,,418621,Negotiator,"Negotiator 6* HT 6* Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 3*, Clone Sergeant's ARC-170, Jedi Consular's Starfighter",0
"DubiNuz007",1,1,85788,zEP,"EP 7, zzzVader Tarkin 6, zzTraya 9, DN 9",0
"DubiNuz007",0,1,66139,Phoenix,"Hera 8, Kanan 7, Ezra 8, Chopper 7, Zeb 8",0
"Paddlewompy",0,1,136572,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Paddlewompy",1,1,105908,NS_Alt,"zzMT Acolyte zDaka zzAV Zombie",1
"Paddlewompy",0,1,92810,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Paddlewompy",0,1,117246,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Paddlewompy",1,1,134946,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Paddlewompy",1,1,89945,Ewoks,"zChirpa Elder zPaploo zWicket zLogray 9",1
"Paddlewompy",1,0,102901,Wiggs,"Wedge 8, Biggs 8, zzzCLS zzChewbacca zEzra",1
"Paddlewompy",1,1,105361,zEP,"zzEP zzzVader zTarkin zDooku TFP 9",1
"Paddlewompy",,,437901,Negotiator,"Negotiator 6* HT 6* Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",0
"Paddlewompy",0,1,95870,BH,"Bossk 3* 7, zBoba zzGreef Karga, zDengar zJango",0
"Paddlewompy",1,0,81251,Troopers,"zVeers zStarck zzAdmiral Piett 5*, Snowtrooper 9, Range Trooper 5* 9",0
