Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Dwalks92",125456753,3496335,1969520,1526815,128,-38,76,124,38,42,128,2,15,20,54,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,5
"Rule of two",644939792,2823005,1658530,1164475,142,-381,36,48,37,8,137,0,3,9,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,4
"Tagora",943712246,4640746,2677861,1962885,136,-75,70,237,99,61,186,4,28,70,78,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,6,5
"Matt SithTits",723314881,5965607,3418317,2547290,134,-10,219,285,100,182,215,19,49,85,134,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,23,14,12
"Docflint",353771337,2828270,1667763,1160507,143,-256,53,118,25,37,120,6,7,19,31,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,4,4
"OrangeM2",792552657,2098689,1351626,747063,180,-19,207,118,31,39,87,5,6,11,30,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,4,2
"Qui Goyne Jinn",166165831,4010333,2313944,1696389,136,-128,73,299,76,120,171,11,27,69,78,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,13,10,8
"INTERLOPER",564181966,3287100,1900607,1386493,137,-85,242,208,65,42,143,2,17,43,62,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,14,11,7
"Ganner",568711222,3828530,2218555,1609975,137,-208,238,251,69,157,151,25,28,37,71,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,11,7,8
"Raylek",265374776,759873,457285,302588,151,-262,87,0,1,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"monarch 02",948784343,1675033,926817,748216,123,-431,280,247,33,57,51,7,10,20,27,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1
"monarch",619182389,4023667,2362940,1660727,142,38,59,127,63,57,138,7,12,28,63,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,8,6
"Foxhound",463812368,4627836,2641657,1986179,133,57,151,210,65,81,205,12,21,60,96,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,16,8,10
"badmojo",734128133,5166754,3085419,2081335,148,-66,197,160,95,80,213,8,18,49,88,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,17,10,8
"AbiWanKenobi",524121448,3308980,1967922,1341058,146,142,60,265,82,65,129,1,19,56,70,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,12,8,6
"Balian1991",497715531,2392851,1492988,899863,165,250,66,55,13,16,105,3,3,7,31,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1
"ButofCorpse",668969384,4242941,2441824,1801117,135,-236,315,256,96,129,149,14,31,52,82,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,17,12,9
"Bleep blorp",117776922,2312033,1399269,912764,153,-147,28,27,14,7,111,0,2,3,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"DoubleSlash",235533386,4759696,2930286,1829410,160,-53,180,178,104,65,185,4,17,55,84,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,14,11,7
"Jonny S",156568685,2295629,1299609,996020,130,-219,184,176,26,58,91,8,12,17,31,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,6,3,3
"Closter",196895545,5183657,2883882,2299775,125,-43,76,261,108,119,196,13,25,87,96,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,16,10,9
"GeneralBeerz",527291592,4279105,2586740,1692365,152,-25,88,223,73,118,153,13,23,49,78,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,8,6,5
"DubiNuz007",848171515,2623841,1707752,916089,186,-129,210,253,49,107,122,17,17,28,41,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,6,5
"Wes Terallo",843321349,3922336,2273439,1648897,137,129,65,97,43,31,183,1,9,23,67,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,9,5,6
"LordThavaraj",464934418,2948965,1753756,1195209,146,-167,91,127,27,33,132,0,9,22,37,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,4
