Player,Offense,Defense,GP,Name,Squad,Viable
"Chris",0,1,99647,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Chris",0,1,152916,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin,",1
"Chris",0,1,150220,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Chris",,,382506,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Chris",1,1,97056,NS_Alt,"zMT zzAV Zombie Daka Talia",1
"Chris",0,1,137426,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Chris",1,0,137896,Traya,"zzTraya zDN zSion zDooku zThrawn",1
"Chris",0,1,132504,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Chris",1,1,141197,JTR,"zzzJTR zScav Rey, zBB-8 zzR2-D2 Finn",1
"Chris",1,1,104937,Revan Offense,"zzzJKR GMY zBS zJolee Ezra G8",1
"Chris",1,1,86278,Ewoks,"zChirpa Elder Paploo G8 Wicket zLogray",1
"Chris",1,0,147955,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper,",1
"Chris",0,1,108088,BH,"zzBossk zBoba Cad IG-88 zzJango",1
"Chris",1,0,106595,CLS,"zzzCLS zHan zLeia zOld Ben, Chewbacca",1
"Chris",1,0,91481,Troopers,"zVeers zStarck DT Shoretrooper Snowtrooper",1
"Chris",0,1,73695,Phoenix,"Hera G8 Chopper Zeb G8 Kanan G8 zSabine",1
"Chris",1,0,90871,Zader (Counter),"zzVader Tarkin Sidious G9 Sith Empire Trooper, Stormtrooper",1
"Chris",1,0,69451,Jawas,"Nebit G8 Jawa Engineer, Jawa Scavenger G8, Jawa G8 Dathcha G9",1
"Chris",,,351244,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter 6*, First Order SF TIE Fighter, First Order TIE Fighter,",0
"Chris",0,1,88167,FO,"zzKRU Kylo 5* G8 zPhasma FOE FOO",0
"Chris",1,1,61531,Rogue1,"Jyn G8 Chirrut G8 Baze 5* G8 K-2SO G8 Cassian",0
"Chris",1,0,69064,EP (Counter, Rebel),"EP zKrennic Wampa 5* G8 Nest 5* Range Trooper 4* G8,",0
"Harbinger",1,1,114323,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Harbinger",0,1,132951,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Harbinger",0,1,127733,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G8,",1
"Harbinger",,,380863,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Harbinger",0,1,94724,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Harbinger",0,1,120713,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Harbinger",1,0,109413,Traya,"zzTraya zzDN zSion G9 zNest zThrawn",1
"Harbinger",1,1,90193,JTR,"zJTR Scav Rey, BB-8 zzR2-D2 Finn G9",1
"Harbinger",,,102028,Nute-OR,"zNute zDooku zJango zZaalbar zMission",1
"Harbinger",1,1,126197,Revan Offense,"zzzJKR zzGMY zBS zJolee HYoda",1
"Harbinger",1,1,86921,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Harbinger",1,0,101594,ShaakClones,"zzShaak Ti, zRex Echo zzFives Clone Sergeant,",1
"Harbinger",0,1,104085,BH,"zzBossk zBoba Cad Dengar G9 Greedo",1
"Harbinger",1,1,99359,zEP,"zzEP zzzVader Tarkin IPD G8 TFP",1
"Harbinger",1,0,112135,Wiggs,"Wedge Biggs zzzCLS zHan zzChewbacca",1
"Harbinger",0,1,76871,Phoenix,"Hera Ezra Zeb Kanan G9 Sabine G8",1
"Harbinger",1,0,82214,Troopers,"zVeers zStarck G9 DT Shoretrooper Snowtrooper",1
"Harbinger",0,1,87395,FO,"zzKRU zKylo Phasma G8 FOO FOTP",1
"Harbinger",1,1,75351,Rogue1,"Jyn G8 Chirrut Baze K-2SO G8 Cassian G8",1
"Harbinger",1,0,82791,zMaul,"zMaul Sidious Savage Sith Empire Trooper, Sith Marauder,",1
"Harbinger",,,363347,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",0
"Harbinger",1,0,65163,Jawas,"Nebit G7 Jawa Engineer G9, Jawa Scavenger G8, Jawa 6* G9 Dathcha G9",0
"Dek Lann",0,1,137763,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Dek Lann",0,1,121972,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Assassin G8,",1
"Dek Lann",1,1,102482,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Dek Lann",,,382931,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Dek Lann",1,0,112610,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
"Dek Lann",0,1,103939,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Dek Lann",1,1,111627,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"Dek Lann",1,1,134937,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Dek Lann",1,1,88546,Ewoks,"zChirpa Elder Paploo G9 zWicket zLogray G9",1
"Dek Lann",1,0,99366,ShaakClones,"zzShaak Ti, zRex Echo zFives Clone Sergeant,",1
"Dek Lann",0,1,115267,BH,"zzBossk zBoba Dengar zIG-88 zzJango",1
"Dek Lann",1,0,112496,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Dek Lann",0,1,87258,Phoenix,"zHera zEzra Zeb G8 Kanan G8 zSabine",1
"Dek Lann",1,0,81701,Troopers,"zVeers zStarck DT G9 Shoretrooper G8 Snowtrooper G8",1
"Dek Lann",1,1,86924,Rogue1,"zJyn Chirrut Baze K-2SO Cassian",1
"Dek Lann",1,0,91546,zMaul,"zMaul zDooku Sidious zSavage Sith Empire Trooper,",1
"Dek Lann",1,1,90053,Carth,"zCarth Onasi, Mission G7 zZaalbar zJuhani zCanderous",0
"Dek Lann",0,1,75359,FO,"zKRU G8 zKylo G9 FOO G8 FOST G8 FOTP",0
"Dek Lann",1,0,64871,Jawas,"Nebit G8 Jawa Engineer G9, Jawa Scavenger G8, Jawa 6* G8 Dathcha G9",0
"Bartman1220",,,139089,GL Rey,"zzzzzzRey zzMalak zGK zResistance Hero Poe, zResistance Hero Finn,",1
"Bartman1220",,,383509,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Bartman1220",1,1,112008,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"Bartman1220",0,1,101863,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Bartman1220",0,1,120398,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Bartman1220",1,0,107536,Traya,"zzTraya DN Sion zBSF zThrawn",1
"Bartman1220",1,1,142691,JTR,"zzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Bartman1220",,,424169,Raddus,"Raddus 5* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",1
"Bartman1220",,,91892,Nute-Wat,"zNute zDooku zWat Tambor 6*, Jango Nest",1
"Bartman1220",1,1,122593,Revan Offense,"zzzJKR zGMY zHYoda zJolee zJKA",1
"Bartman1220",1,0,119721,CLS,"zzCLS zHan zChewbacca zLeia zC-3PO",1
"Bartman1220",1,1,84415,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"Bartman1220",1,0,144670,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper,",1
"Bartman1220",1,1,91378,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous G8",1
"Bartman1220",0,1,101986,BH,"zzBossk zBoba Dengar Greedo IG-88",1
"Bartman1220",1,1,98616,zEP,"zzEP zzzVader Tarkin DT TFP G8",1
"Bartman1220",0,1,87240,FO,"zKRU zKylo FOE FOO FOST G9",1
"Bartman1220",0,1,74029,Phoenix,"Hera G9 Chopper Ezra Zeb G8 Kanan G8",1
"Bartman1220",1,0,71523,Troopers,"Veers Starck G9 Shoretrooper G9 Snowtrooper G9 Stormtrooper G8",0
"Bartman1220",1,1,64050,Rogue1,"Jyn G7 Chirrut G8 Baze 5* G7 K-2SO G8 Cassian G8",0
"Bartman1220",1,0,64901,Jawas,"Nebit G8 Jawa Engineer G8, Jawa Scavenger G7, Jawa G9 Dathcha G8",0
"Phalen",0,1,136942,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Phalen",0,1,119105,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin,",1
"Phalen",,,391736,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Phalen",1,1,102081,NS_Alt,"zzMT zAV Zombie zDaka Talia",1
"Phalen",0,1,98093,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Phalen",1,0,118777,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Phalen",0,1,131327,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Phalen",1,1,119735,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn G8",1
"Phalen",1,1,157286,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Phalen",0,1,98181,BH,"zJango Boba Dengar Greedo zNest",1
"Phalen",1,1,126090,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"Phalen",1,1,97911,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Phalen",1,1,94726,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Phalen",1,0,130162,CLS,"zzzCLS zHan zLeia zFulcrum zzChewbacca",1
"Phalen",0,1,102435,Phoenix,"zHera zEzra zZeb zKanan zSabine",1
"Phalen",1,1,96264,Rogue1,"zJyn Chirrut Baze K-2SO zCassian",1
"Phalen",1,0,108274,Zader (Counter),"zzzVader zzWampa Tarkin Sidious Sith Empire Trooper,",1
"Phalen",1,0,86442,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Phalen",,,278063,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 5*, First Order TIE Fighter,",0
"Phalen",0,1,86211,BH,"zzBossk Cad Embo 4* IG-88 Zam G7",0
"Phalen",1,0,64105,Troopers,"Veers Starck G7 DT G7 Shoretrooper G8 Snowtrooper G8",0
