Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Bartman1220",468862571,5931184,3431913,2499271,137,148,218,327,89,280,203,56,82,112,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,19,13,10
"Jack4",918445352,5013841,2792811,2221030,125,-143,472,287,90,150,184,34,80,109,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,17,12,10
"al bundy",892758663,6203144,3523909,2679235,131,-44,207,322,75,300,222,54,86,144,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,23,14,12
"Kaufee Wan Konobi",313838627,5522450,3416439,2106011,162,-25,207,340,110,160,186,44,112,132,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,19,13,10
"Andrew",357333931,4159256,2545856,1613400,157,-249,164,178,67,61,169,21,41,90,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,15,10,8
"Gralastyx",836151335,5734839,3366260,2368579,142,-136,288,337,106,239,203,54,92,121,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,20,13,11
"Kk200723",532122711,6180564,3487325,2693239,129,-22,389,324,110,238,230,53,100,131,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,24,12,13
"oaktree",814449267,5811377,3327575,2483802,133,-33,348,286,100,192,218,42,86,124,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,20,11,9
"Chris",562669713,6054827,3406922,2647905,128,-4,137,310,99,255,212,43,94,119,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,21,14,10
"Harbinger",964119211,5586324,3193153,2393171,133,-38,159,214,86,125,191,32,63,108,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,20,13,10
"Wsturmfam",239114492,7246414,4251981,2994433,141,52,362,483,133,477,240,98,157,183,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,24,12,11
"Bendu",264572393,6448266,3775440,2672826,141,104,241,331,94,249,227,51,113,176,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,23,14,13
"Adm Naismith",219777571,4758627,2696005,2062622,130,60,170,179,83,82,188,22,47,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,19,13,9
"Tatoine Cupcakes",251993621,5245886,3064078,2181808,140,-105,437,298,106,179,192,39,82,124,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,19,13,11
"Drth Bne",316779122,5011809,2907606,2104203,138,-129,79,199,94,100,178,24,56,96,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,15,10,6
"CR7UP",365624622,6332777,3664684,2668093,137,152,414,346,118,271,215,58,107,137,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,23,13,11
"Hiokan",795257322,5083642,2939643,2143999,137,-72,166,219,92,123,194,28,59,102,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,19,11,9
"robin90",559783291,5090381,2865181,2225200,128,199,41,320,91,200,194,43,80,101,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,16,11,10
"Darrrth Bosssk",941665199,4651298,2582408,2068890,124,-188,348,350,73,241,155,48,67,87,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,16,10,7
"Zynix",675754989,6886263,3958780,2927483,135,42,265,393,118,381,237,75,120,153,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,22,13,11
"Seta",346593475,5477127,3179097,2298030,138,-14,147,212,94,88,202,24,75,112,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,22,12,11
"Spart",825379764,6195835,3467485,2728350,127,0,395,326,110,242,223,53,101,136,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,23,13,12
"Kalrîc",646659119,6290953,3601618,2689335,133,105,294,304,114,228,222,44,102,132,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,22,14,12
"Mertovski",143854235,5181859,3141710,2040149,153,-165,257,293,95,145,190,34,89,117,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,16,10,11
"Dek Lann",416654249,5419603,3217700,2201903,146,111,279,239,114,145,203,33,68,105,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,17,8,8
"DarthCrusher",847242487,5762740,3280484,2482256,132,36,182,209,103,99,226,32,69,124,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,22,14,10
"Guisaks",725587944,6367453,3599977,2767476,130,-10,205,403,89,390,236,79,100,115,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,22,14,12
"Gavon Mothma",664678724,4633943,2685538,1948405,137,21,309,215,75,99,179,25,55,84,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,18,12,8
"ATC804",242258112,6248639,3577819,2670820,133,67,259,375,105,317,215,63,108,137,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,22,12,10
"SSSSkywalker",285854772,5673885,3409987,2263898,150,42,390,378,106,299,212,62,93,126,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,20,13,10
"shajiby",546625567,5276237,3004988,2271249,132,-51,246,255,86,143,194,33,73,112,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,21,14,11
"Phalen",962144936,5386252,3338589,2047663,163,252,257,402,113,263,197,53,111,124,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,18,11,9
"JadeBele",353238252,5856574,3365620,2490954,135,-78,246,208,98,145,215,26,67,119,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,22,13,12
"popejacko",915115347,5148266,2859670,2288596,124,7,146,257,89,89,196,26,89,125,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,18,12,9
"ZaynMalik",957562193,4546016,2737404,1808612,151,-57,270,241,89,105,168,27,62,106,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,18,13,9
"Dark Knights",482197867,6778357,3948307,2830050,139,53,169,418,102,424,238,80,119,139,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,24,13,11
