Player,Offense,Defense,GP,Name,Squad,Viable
"Hobiewon",0,1,120473,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Hobiewon",,,416739,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Hobiewon",0,1,79432,Geonosians,"zzGBA G9, Poggle Geo Soldier, Geo Spy G9, Sun Fac G8",1
"Hobiewon",0,1,111157,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Hobiewon",1,1,100513,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn G8",1
"Hobiewon",1,1,114217,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Hobiewon",1,1,84286,Ewoks,"zChirpa Elder Paploo zWicket Logray G9",1
"Hobiewon",1,0,105143,ShaakClones,"zzShaak Ti, zRex zEcho zzFives ARC Trooper G9",1
"Hobiewon",1,1,79901,Carth,"zCarth Onasi, Mission G8, Zaalbar Juhani G8, Canderous",1
"Hobiewon",0,1,104786,BH,"zzBossk zBoba zDengar Jango zGreedo",1
"Hobiewon",0,1,95200,FO,"zzKRU zKylo FOO FOE FOST",1
"Hobiewon",1,0,118410,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Hobiewon",1,0,68172,Troopers,"zVeers Starck G8, Stormtrooper G8, Snowtrooper G8, DT",1
"Hobiewon",0,1,74868,Phoenix,"zHera G9, Chopper G9, zEzra Zeb G8, Kanan G8",1
"Hobiewon",1,1,85668,NS_Alt,"zMT G8, zzAV Zombie G8, Talia G7, zDaka",0
"Hobiewon",1,0,85062,Traya,"Traya G8, DN 6* Sion 4* G8, zzEP zzThrawn",0
"Hobiewon",1,0,90036,zMaul,"Maul zBSF Dooku zzzDR Savage",0
"Hobiewon",1,0,77307,Zader (Counter),"zzzVader Wampa G8, Tarkin G8, Sidious G8, Shoretrooper 6* G8",0
"Hobiewon",1,0,6652,NestSolo (Counter),"Nest 3* G7",0
"Mochika",0,1,154208,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Mochika",1,1,104588,NS_Alt,"zzMT zzAV Zombie Talia zDaka",1
"Mochika",0,1,109456,DR,"zzzDR zzHK-47 zBSF Sith Assassin G9, zzThrawn",1
"Mochika",,,437202,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Mochika",1,1,109679,JTR,"zzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"Mochika",1,1,91400,Ewoks,"zChirpa Elder Paploo Teebo zWicket",1
"Mochika",1,0,141794,ShaakClones,"zzShaak Ti, zRex zEcho zzFives Clone Sergeant",1
"Mochika",0,1,158187,BH,"zzJango zBoba zzBossk zDengar zIG-88",1
"Mochika",1,0,103291,Wiggs,"Wedge Biggs zzzCLS zHan Leia",1
"Mochika",0,1,79964,Phoenix,"Hera Ezra G8, Zeb G8, zSabine Kanan G8",1
"Mochika",1,1,113582,zEP,"zzEP zzzVader zzTarkin zDooku TFP",1
"Mochika",0,1,94653,FO,"zzKRU zKylo FOO Phasma G8, zFOTP",1
"Mochika",1,0,82886,Traya,"zzTraya zzDN Sion 5* G9, Sith Empire Trooper 5* G8, Nest 6*",0
"Mochika",0,1,77212,Grievous-Wat,"GG B2 6* B1 5* zMagnaGuard Wat Tambor 4* G9",0
"Mochika",1,1,94608,Carth,"zCarth Onasi, zMission 4* zZaalbar zJuhani zCanderous",0
"Hinch",0,1,110929,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Hinch",,,371516,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Hinch",0,1,98723,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper G8, Sith Assassin G8",1
"Hinch",1,1,98780,NS_Alt,"zzMT zAV Zombie Talia zDaka",1
"Hinch",0,1,89043,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac G8",1
"Hinch",,,329082,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Hinch",1,0,116542,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Hinch",1,1,108719,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn G8",1
"Hinch",,,345432,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Hinch",0,1,112755,BH,"zzJango zBoba zzBossk zDengar zNest",1
"Hinch",1,1,112229,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Hinch",1,0,106927,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper G8",1
"Hinch",1,1,87688,Ewoks,"zChirpa Elder Paploo Teebo Wicket",1
"Hinch",1,1,80601,Carth,"zCarth Onasi, Mission G8, zZaalbar G8, zJuhani G8, Canderous G8",1
"Hinch",0,1,83334,FO,"zzKRU zKylo FOO G8, FOE FOST G8",1
"Hinch",1,0,104674,CLS,"zzzCLS zHan Leia G9, Old Ben, zzChewbacca",1
"Hinch",0,1,69285,Phoenix,"Hera G8, Chopper G9, Ezra G8, Zeb G8, Kanan G8",1
"Hinch",1,1,78664,Rogue1,"Jyn G8, Chirrut Baze Cassian G9, K-2SO G8",1
"Hinch",1,0,100223,Zader (Counter),"zzzVader zzWampa Tarkin G9, Sidious Shoretrooper G8",1
"Hinch",0,1,78131,Grievous,"GG B2 G8, zB1 Droideka G8, MagnaGuard G8",0
"Hinch",1,0,57976,Troopers,"Veers Starck G9, Stormtrooper G8, Snowtrooper G8, DT 5* G8",0
"Sam391",0,1,103650,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
