Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Mickenobi",417242714,5113145,3068936,2044209,150,-40,182,202,88,132,186,16,28,49,106,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,14,9,6
"Necro E",361859867,4954938,3106319,1848619,168,-123,41,182,89,72,193,5,19,57,108,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,16,9,9
"Travis Scott",347846417,4611452,2593889,2017563,128,-67,262,170,73,58,182,4,18,49,79,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,12,9,6
"SPOCKZULU  R666",383684555,5640234,3294650,2345584,140,13,51,172,104,67,210,8,18,66,123,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,22,14,12
"Puggle the Lesser",261661913,5331435,2929667,2401768,121,-247,116,298,103,160,215,6,37,90,100,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,18,9,8
"Dantanyan",245425777,3165012,1851018,1313994,140,-180,21,99,33,32,124,3,8,17,43,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,6,4,2
"Carlozs",678261485,3973412,2234053,1739359,128,-107,237,196,79,90,160,9,20,40,74,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,15,11,8
"Kozisms formerly owen",834478884,4386916,2580395,1806521,142,21,166,187,77,42,182,1,15,59,79,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,15,11,8
"Chebahtah",292983281,4781168,2750422,2030746,135,-68,39,250,91,110,182,8,28,70,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,17,11,7
"Duums",228765519,4185354,2579345,1606009,160,-70,306,281,89,110,159,10,28,68,98,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,16,10,6
