Player,Offense,Defense,GP,Name,Squad,Viable
"Daniel",1,1,124856,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Daniel",0,1,148113,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Daniel",1,0,146069,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zChewpio",1
"Daniel",,,400280,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Daniel",,,395476,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Daniel",,,447081,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"Daniel",0,1,125598,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Daniel",0,1,127063,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Daniel",,,114187,Mon Mothma,"zzMon Mothma, Hoth Rebel Scout, zPao Biggs Wedge",1
"Daniel",1,1,126231,Revan Offense,"zzzJKR zzGMY BS 8, Jolee 8, zzHYoda",1
"Daniel",1,1,92869,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Daniel",0,1,137513,BH,"zzBossk zzGreef Karga, zzJango zBoba zDengar",1
"Daniel",1,1,110389,zEP,"zzEP zzzVader zzTarkin zDooku TFP 8",1
"Daniel",0,1,68199,Phoenix,"Hera 8, Zeb 8, Ezra 8, Chopper 8, Kanan 8",1
"Daniel",,,333920,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",0
"Daniel",1,0,81496,ShaakClones,"zzShaak Ti, Rex 8, Echo (501st) 7, Fives 9, Clone Sergeant",0
"Daniel",0,1,78934,FO,"zzKRU 9, zKylo 9, FOTP Phasma 8, FOSFTP 9",0
"Daniel",1,0,69906,Jawas,"Nebit 8, Jawa Engineer 9, Jawa Scavenger 9, Jawa 7, Dathcha 8",0
"Daniel",1,0,7455,NestSolo (Counter),"Nest 5* 6",0
"Dogl24",0,1,126945,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Dogl24",0,1,115710,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Dogl24",1,1,107427,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Dogl24",1,0,139104,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Dogl24",,,412782,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Dogl24",,,423956,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Dogl24",0,1,106749,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Dogl24",0,1,118031,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Dogl24",1,1,113975,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Dogl24",1,1,129318,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Dogl24",1,1,96575,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Dogl24",0,1,109800,BH,"zzBossk zGreedo zIG-88 zBoba zDengar",1
"Dogl24",1,1,99104,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Dogl24",1,1,121797,zEP,"zzEP zzzVader zzTarkin zSion zzDN",1
"Dogl24",0,1,99177,FO,"zzKRU zKylo FOO 8, zHux FOE",1
"Dogl24",0,1,99640,Phoenix,"zHera zZeb zEzra zSabine zKanan",1
