Player,Offense,Defense,GP,Name,Squad,Viable
"SPERMWALKER",0,1,84651,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"SPERMWALKER",1,1,85484,JTR,"zJTR Scav Rey, zBB-8 zR2-D2 Finn G8",1
"SPERMWALKER",0,1,80508,Grievous,"zzGG B2 G8, MagnaGuard G8, zNute Dooku",1
"SPERMWALKER",1,1,104819,Revan,"zzzJKR zBS zzGMY zJolee G8, GK G8",1
"SPERMWALKER",0,1,92400,BH,"zzBossk Dengar G9, Greedo Cad Boba",1
"SPERMWALKER",0,1,76429,FO,"zzKRU zKylo FOO G8, FOTP G9, FOE G8",1
"SPERMWALKER",0,1,64026,Phoenix,"Hera G8, Ezra G8, Chopper G9, Kanan G8, Zeb G8",1
"SPERMWALKER",1,0,94720,CLS,"zzzCLS zHan Leia G9, Old Ben G9, Chewbacca G8",1
"SPERMWALKER",1,0,94967,Zader (Counter),"zzzVader zWampa Tarkin Sidious Stormtrooper G8",1
"SPERMWALKER",,,264983,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter 4*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 3*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",0
"SPERMWALKER",0,1,85630,DR,"zDR G8, zHK-47 BSF Sith Assassin G7, zzThrawn",0
"SPERMWALKER",,,286692,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter 5*, First Order SF TIE Fighter 4*, First Order TIE Fighter",0
"SPERMWALKER",1,1,66036,NS,"MT G8, zAV Daka G9, Zombie G8, Spirit 6* G7",0
"SPERMWALKER",1,1,78081,Ewoks,"Chirpa G9, Elder zPaploo Scout Logray G9",0
"SPERMWALKER",1,1,66883,Carth,"Carth Onasi G8, Mission G7, Zaalbar G8, zJuhani G9, Canderous G7",0
"SPERMWALKER",1,0,10297,SionSolo (Counter),"Sion 6* G7",0
"Jwbowman0724",1,0,77614,Wiggs,"Wedge Biggs CLS Han Leia G9",1
"Jwbowman0724",0,1,97270,BS,"zBS GMY Jolee GK HYoda",1
"Jwbowman0724",1,0,102976,Zader (Counter),"zzzVader zMission zZaalbar Sidious Boba",1
