Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Frenzic",413665414,4254632,2601647,1652985,157,71,126,250,73,127,178,16,26,55,80,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,15,10,7
"BlasterBot",626963336,3057924,1927846,1130078,170,76,51,202,50,54,105,6,12,39,53,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5,4,4
"rck",215257454,4382400,2428760,1953640,124,-124,177,251,62,131,151,15,29,55,77,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,17,12,9
"Eet Cheet",778478992,4737519,2836399,1901120,149,-106,38,106,68,47,177,7,9,32,69,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,11,7,9
"GzDubya",173239688,5641796,3253815,2387981,136,72,258,221,111,109,198,12,29,74,123,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,20,14,9
"Jola Cafa",494962926,5013503,2961138,2052365,144,120,145,290,92,169,181,15,38,74,106,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,18,12,9
"Chupacabra",755226964,3565785,2010943,1554842,129,110,223,190,46,85,138,10,16,35,53,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,11,6,6
"Deadhead Ace",273263587,5106391,3128395,1977996,158,71,163,235,103,152,180,24,30,60,102,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,17,11,10
"Rylo Kaldrenni",835754182,2476580,1396461,1080119,129,559,57,95,29,18,101,2,4,16,32,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,6,4,4
"Nepoleon51",364164459,4064006,2292500,1771506,129,-148,100,220,70,99,164,9,24,46,79,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,14,10,6
"Peldor Varga",448964817,6344858,3599307,2745551,131,153,355,321,124,305,228,42,61,82,115,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,24,14,12
"Goodweather",812526516,5588515,3196334,2392181,133,9,96,124,106,52,216,3,14,45,117,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,20,13,10
"Konyr Darkcloud",466581439,3988678,2409921,1578757,152,222,107,220,85,89,157,8,20,50,69,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,11,10,6
"Waldhere",988343153,4157342,2297641,1859701,123,100,152,203,74,98,172,9,22,43,74,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,18,14,9
"Danny9Phantom3",289368781,2458260,1502756,955504,157,-148,59,74,21,6,65,1,1,16,24,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2
"Elpapi",541657559,2943956,1779799,1164157,152,-39,101,91,33,24,130,1,6,16,35,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,10,7,5
"Doojo Dafor",348422318,3727895,2216749,1511146,146,-2,63,151,69,47,165,4,15,32,65,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,10,9,7
"Sieana Rayley",819685892,2596290,1628499,967791,168,29,42,121,16,38,137,6,8,16,37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4
"DrAlwaysSaidRevan",489889984,5112098,3053525,2058573,148,26,180,135,91,16,191,0,6,60,112,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,18,12,12
"Aranath Celebrindor",826372368,4824408,2718650,2105758,129,-92,62,167,85,65,210,6,18,50,84,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,15,11,5
"ShadowKnight",933594286,5022142,2894230,2127912,136,-17,76,152,82,68,181,6,18,45,90,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,17,11,8
"HudsonHawk",992313227,5500654,3117881,2382773,130,-43,60,134,87,55,212,3,17,46,92,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,19,13,9
"Dismal Fate",398691976,5315363,3093941,2221422,139,-21,51,143,90,67,209,7,18,45,91,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,17,12,8
"Agary Tesla",718364347,4885290,2737027,2148263,127,-142,21,105,72,53,192,5,13,28,64,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,15,10,8
"Dak",649691835,6163499,3571236,2592263,137,-63,198,290,112,199,226,25,39,100,129,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,24,14,13
"D1ready36",523413349,5138858,2941381,2197477,133,124,78,177,92,71,196,9,14,63,105,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,19,11,10
"Bazed n Confused",438967419,4101314,2416915,1684399,143,-93,140,172,70,54,159,6,11,49,76,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13,9,8
"Ruben",549298138,3734323,2208543,1525780,144,11,149,264,73,114,142,12,27,49,70,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,7,7
"Nico Hodge",583711264,3712881,2274728,1438153,158,76,57,308,79,72,140,6,17,83,90,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,12,8,8
"divinehand",216172673,6522005,3783680,2738325,138,-191,203,358,120,335,216,42,66,101,137,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,22,13,12
"Jwbowman0724",666494126,2374388,1563564,810824,192,-263,63,170,21,37,106,4,9,24,39,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,4,2,3
"Cappy",671747974,4693469,2912457,1781012,163,9,89,147,95,42,165,7,7,54,80,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,12,9,7
"Kickin Wing",882263926,4842044,2941135,1900909,154,-95,85,158,87,74,163,9,17,45,92,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,15,13,8
"Terry",976953285,5557419,3323842,2233577,148,44,69,226,92,184,203,30,30,59,99,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,18,11,8
"SPERMWALKER",438256676,3833935,2164621,1669314,129,-114,64,84,47,37,167,5,7,18,46,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,12,10,5
"Panther",145146176,5704987,3342344,2362643,141,59,161,248,110,143,194,11,34,79,102,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,17,12,7
"Bravicus",491997611,5140498,2861128,2279370,125,-107,272,287,103,164,189,14,39,76,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,20,13,8
"Honad Fujiwara",157712874,4690575,2744757,1945818,141,-28,284,298,104,124,172,10,31,84,111,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,18,13,8
"Kaytee Glopio",537592772,5876317,3454626,2421691,142,146,141,279,89,186,187,23,40,87,137,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,17,11,9
"NotUJ",751775463,5085674,2916572,2169102,134,85,198,207,97,103,190,13,23,62,103,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,16,10,10
"Thom",967739481,5100752,3029440,2071312,146,-99,260,283,101,168,184,16,36,75,109,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,19,12,9
"Da Mechanic",264664569,5325396,3260927,2064469,157,73,171,266,100,180,190,22,35,71,98,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,17,12,7
"3",715567298,5343233,3135645,2207588,142,-87,207,258,113,150,208,18,34,74,112,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,20,14,12
"BigPoppa0035",777554499,5798308,3301689,2496619,132,50,251,212,116,145,212,13,33,61,113,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,21,13,10
"Prattano",156895926,4736110,2807014,1929096,145,71,178,244,86,144,185,15,31,56,106,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,18,12,8
"Rook",952934917,6133892,3593890,2540002,141,80,339,294,120,193,225,22,45,97,132,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,21,11,9
"Noraaeel",725697826,4936611,2935249,2001362,146,-29,71,195,105,73,198,4,21,61,105,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,19,13,10
"biggyj j",813493598,5639233,3224199,2415034,133,-15,96,153,88,68,210,4,22,51,93,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,21,13,11
"Snakebit",357395739,2419234,1476719,942515,156,3,47,165,39,35,79,4,10,23,43,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,5,2
"EsquireNode",991875462,2854968,1717318,1137650,150,-45,23,52,34,10,137,0,3,10,33,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,5
