Player,Offense,Defense,GP,Name,Squad,Viable
"Pan Wombat",1,1,97062,NS,"zzMT zzAV zDaka Zombie Spirit G9",1
"Pan Wombat",1,0,110544,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Pan Wombat",0,1,125652,DRMalak,"zzzDR zHK-47 zBSF zzMalak 6* Sith Marauder,",1
"Pan Wombat",,,390410,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"Pan Wombat",0,1,92442,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Pan Wombat",1,0,102668,Traya,"zzTraya DN zSion zDooku zThrawn",1
"Pan Wombat",1,1,109094,JTR,"zzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Pan Wombat",,,93059,Nute-Wat,"zNute zB1 zB2 MagnaGuard Wat Tambor 4* G9,",1
"Pan Wombat",1,1,111525,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Pan Wombat",1,1,86967,Ewoks,"zChirpa Elder zPaploo Teebo Wicket",1
"Pan Wombat",1,1,88094,Carth,"zCarth Onasi, Mission zZaalbar Juhani G8 zCanderous",1
"Pan Wombat",1,0,95127,ShaakClones,"zzShaak Ti, zRex zEcho zzFives G9 Clone Sergeant G8,",0
"Pan Wombat",0,1,95268,BH,"zBossk Boba Dengar G9 Embo zNest",1
"Pan Wombat",1,0,99190,CLS,"zzCLS zHan Wedge Biggs zzChewbacca",1
"Pan Wombat",0,1,74976,BH,"Jango Cad G8 Greedo G9 IG-88 Zam 6* G8",0
"Pan Wombat",0,1,75707,Phoenix,"Hera G9 Chopper Ezra Zeb G9 Kanan",1
"Pan Wombat",1,0,53196,Troopers,"Veers G9 Starck G7 Magma G7 Snowtrooper G7 Stormtrooper G6",0
"Pan Wombat",0,1,73317,FO,"zKRU Kylo G9 Phasma G8 FOO G8 FOTP G8",1
"Pan Wombat",1,0,79451,zMaul,"Maul G8 Sidious G8 zVader zEP Savage G8",0
"Deell Jade",1,1,94680,NS,"zzMT zzAV zDaka Zombie Spirit G8",1
"Deell Jade",1,0,133945,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Deell Jade",,,417534,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"Deell Jade",0,1,98566,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Deell Jade",0,1,91511,DR,"zzDR G9 zHK-47 zBSF Sith Assassin 5* G7, zzThrawn",0
"Deell Jade",1,1,107852,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Deell Jade",1,0,110375,Traya,"zzTraya zzDN zSion zDooku zzEP",1
"Deell Jade",1,1,124299,Revan Offense,"zzzJKR zzGMY zBS zJolee HYoda",1
"Deell Jade",1,1,91078,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Deell Jade",1,0,104878,ShaakClones,"zzShaak Ti, zRex zEcho zzFives Clone Sergeant,",1
"Deell Jade",1,1,90060,Carth,"Carth Onasi, Mission zZaalbar Juhani Canderous",1
"Deell Jade",0,1,82444,Grievous,"zGG B2 G8 MagnaGuard G9 Nute T3-M4",0
"Deell Jade",0,1,96481,BH,"Bossk zBoba Cad Dengar Greedo",0
"Deell Jade",1,0,111130,CLS,"zzzCLS zHan Leia zOld Ben, zzChewbacca",1
"Deell Jade",0,1,69261,BH,"Jango G8 Aurra 6* G8 IG-88 Zam Nest 4* G6",0
"Deell Jade",1,0,62583,Troopers,"Veers 6* G8 Starck G8 DT G8 Shoretrooper G9 Snowtrooper G8",0
"Deell Jade",0,1,92211,FO,"zzKRU zKylo Phasma FOE FOO",1
"Deell Jade",0,1,74283,Phoenix,"Hera Chopper G9 Ezra Zeb G9 Kanan G9",1
