Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Zetas,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Dondon1975",554826822,5475905,3359588,2116317,158,98,215,32,81,109,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,20,13,11
"JimmyTwoFaces",318278362,4787531,2815962,1971569,142,83,184,37,55,99,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,14,7,7
"Wuher",287778635,5054245,2859849,2194396,130,72,215,15,52,105,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,20,12,10
"YodaSoda",224175699,3852040,2257908,1594132,141,66,168,17,47,83,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,15,11,7
"Pedgie",447958684,4166099,2453134,1712965,143,73,192,12,38,83,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,17,11,10
"DarthHades",385548448,3297454,1994925,1302529,153,47,101,18,30,48,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,7,6,3
"Splagwalker",527949473,5424295,3134374,2289921,136,96,210,30,91,121,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,20,12,11
"Hamilton Crampton",632596894,3931984,2171359,1760625,123,61,167,26,53,75,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,14,9,6
"JonnyTwoGuns",213783535,4725088,2800693,1924395,145,82,189,24,55,85,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,17,11,10
"Aladout",672269685,5046633,2981556,2065077,144,91,200,29,66,118,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,20,14,10
"Moose",758879128,4957567,3029336,1928231,157,89,185,11,61,92,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,17,13,9
"Broome dog",677475992,4797310,2888970,1908340,151,85,178,22,69,86,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,16,11,7
"Obi Matt",526125838,5163522,3116515,2047007,152,90,200,32,66,106,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,19,13,11
"Publad",264956825,5432739,3256981,2175758,149,87,187,55,104,120,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,16,10,9
"gura",359687342,4411848,2539331,1872517,135,72,180,31,65,88,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,14,9,8
"B0BA",874612438,4157273,2386330,1770943,134,67,178,22,54,85,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,17,11,9
"Morgan Freeman",263362286,4895608,2904049,1991559,145,94,205,35,74,106,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,17,10,9
"Artig",884157579,4212176,2465302,1746874,141,69,157,22,58,91,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,17,12,8
"Bella Luca",672525374,4423105,2598708,1824397,142,85,180,16,50,77,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,17,11,8
"Flardigan",984351931,4512079,2737584,1774495,154,85,179,30,64,97,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,17,11,8
