Player,Offense,Defense,GP,Name,Squad,Viable
"Vaexqua Grupen",0,1,89783,padme,"zPadme 6* G8, zGK zJKA Ahsoka zBarriss",1
"Vaexqua Grupen",0,1,89837,Grievous,"zzGG B2 G8, MagnaGuard G8, zDooku zIG-88",1
"Vaexqua Grupen",1,1,86715,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Vaexqua Grupen",1,1,81348,Carth,"zCarth Onasi, Mission G8, Zaalbar G8, zJuhani Canderous",1
"Vaexqua Grupen",0,1,93013,BH,"zzJango Cad Dengar G8, zBoba Aurra",1
"Vaexqua Grupen",0,1,132016,FO,"zzKRU zKylo zFOST FOO FOE",1
"Vaexqua Grupen",1,0,72848,Wiggs,"Wedge G8, Biggs G8, zCLS G9, Han G9, Leia G9",1
"Vaexqua Grupen",1,0,16051,SionSolo (Counter),"Sion",1
"Vaexqua Grupen",0,1,88733,DR,"zzzDR HK-47 zBSF Sith Assassin G8, Thrawn 5* G8",0
"Vaexqua Grupen",1,1,83441,NS,"MT 6* G9, zzAV zDaka Zombie Spirit 6* G8",0
"Vaexqua Grupen",,,316003,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter 4*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",0
"Vaexqua Grupen",1,1,101097,Revan Offense,"zzzJKR G8, zzGMY zBS zJolee Ezra G7",0
"Vaexqua Grupen",1,0,70590,ShaakClones,"zShaak Ti 6* G9, Rex G7, Echo G9, Fives Clone Sergeant",0
"Vaexqua Grupen",1,1,100449,zEP,"zzEP zzzVader zzTarkin Krennic 4* G7, TFP G8",0
"Vaexqua Grupen",0,1,59498,BH,"Bossk 4* G8, Embo 6* Greedo G9, Zam G7, Nest 3* G9",0
"Vaexqua Grupen",1,0,51589,Troopers,"Veers 4* G7, Starck G7, Stormtrooper G7, Snowtrooper G9, Magma G8",0
"Vaexqua Grupen",1,1,54208,Rogue1,"Jyn 5* G7, Chirrut G9, Baze 3* G7, Cassian G8, K-2SO G8",0
"Vaexqua Grupen",1,0,56593,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa 5* G7, Dathcha",0
"Belligerant Darkbringer",1,1,111606,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra G9",1
"Belligerant Darkbringer",1,1,92184,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Belligerant Darkbringer",1,0,71053,Zader (Counter),"zVader Tarkin G9, Sidious G8, Boba G9, Stormtrooper G8",1
"Belligerant Darkbringer",0,1,104473,DRMalak,"zzzDR HK-47 zBSF zzMalak 5* Thrawn G8",0
"Belligerant Darkbringer",0,1,61343,Phoenix,"Hera G8, Chopper Zeb G8, Sabine 2* G7, Kanan G8",0
"DarthYoshi",0,1,123496,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"DarthYoshi",0,1,109392,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"DarthYoshi",,,403604,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"DarthYoshi",0,1,93697,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"DarthYoshi",,,340730,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"DarthYoshi",0,1,116554,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"DarthYoshi",1,0,107033,Traya,"zzTraya DN zSion zzEP zThrawn",1
"DarthYoshi",1,1,103792,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"DarthYoshi",1,1,110816,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"DarthYoshi",1,1,74124,Ewoks,"zChirpa G9, Elder Paploo Wicket Logray G9",1
"DarthYoshi",1,1,82941,Carth,"zCarth Onasi, zMission Zaalbar Juhani G8, Canderous",1
"DarthYoshi",0,1,91614,BH,"zzBossk Dengar G9, IG-88 Boba Nest",1
