Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"RicoSavage",199364433,2846580,1793328,1053252,170,-182,50,183,61,51,101,12,30,59,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,6,6
"Ryan Sidius",462928693,3700007,2268069,1431938,158,-13,52,63,5,8,160,4,18,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3
"Condog",329613335,3080776,1902440,1178336,161,-283,141,337,39,160,111,28,44,64,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,5,4
"Nair Sunflight",981466166,4302269,2475268,1827001,135,119,141,192,83,54,168,14,58,77,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,11,7,5
"Connor",251311697,5070362,2761917,2308445,119,89,184,198,71,109,190,25,54,75,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,15,9,8
"LuckyPierre",859733714,4861485,2895546,1965939,147,-9,120,151,93,63,184,14,47,85,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15,11,8
"Belligerant Darkbringer",979648234,1821158,1119450,701708,159,-52,26,80,18,13,66,2,10,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3
"Kthuuluu",928298898,2491293,1443243,1048050,137,79,124,128,37,25,100,7,20,35,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2
"MacInTheMist",947785336,1980483,1194014,786469,151,-427,50,118,24,2,111,2,21,34,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,4,3
"Bob1",884848863,822361,501301,321060,156,428,119,46,3,4,20,1,2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RohanSolo",447692329,3054325,1833392,1220933,150,-288,201,236,59,81,114,23,33,65,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5
"Grimm Fandango",623552935,4265826,2476953,1788873,138,-34,351,206,73,76,162,17,56,86,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,15,11,8
"Blue",684562826,3944450,2342481,1601969,146,-118,38,154,47,64,129,15,33,60,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,4
"Mart Eki",322216735,4485721,2569517,1916204,134,-53,326,285,55,91,182,23,87,109,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,19,14,10
"Wikiviper",249764982,6334841,3662777,2672064,137,85,103,414,78,338,224,71,124,153,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,21,13,12
"Daniel",131192244,3882041,2290586,1591455,143,-41,96,200,53,44,162,14,55,70,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,11,8,5
"Javi",636571638,2797030,1599366,1197664,133,-305,43,74,29,9,114,4,15,32,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,2
"JLP",371928384,4615289,2626238,1989051,132,-151,388,248,83,103,187,26,68,95,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,18,12,9
"Peace",989557586,2894195,1593027,1301168,122,11,18,97,35,16,113,7,18,44,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1
"Ob1 Keronin",371383129,2505699,1582347,923352,171,30,69,114,48,24,84,5,19,35,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,3,3
"Beric",953382922,2141705,1275223,866482,147,-35,172,213,39,59,91,11,23,30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,4,3
"Pierceapalooza",285751634,2349020,1511599,837421,180,273,105,280,31,90,75,20,28,37,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,7,5,3
"Javin Vigil",116647827,5213297,2932482,2280815,128,-14,105,130,78,56,212,17,40,87,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,21,13,12
"Kathroman",259119853,5614759,3149612,2465147,127,7,317,232,91,138,197,33,70,114,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,19,14,10
"Duncanhills",135226722,4348031,2444770,1903261,128,54,163,112,62,25,166,12,32,78,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,16,11,10
"soulsteelgray",484888316,4724801,2700682,2024119,133,136,181,218,90,117,189,22,58,78,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,17,13,11
"Spider Jay",727177172,3483724,2169703,1314021,165,47,46,61,53,7,168,4,16,64,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,10,5,8
"Ben",971292643,1706476,925030,781446,118,-274,108,171,16,41,64,8,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
"Vaexqua Grupen",692833576,4046920,2415477,1631443,148,-114,37,109,55,47,151,10,25,66,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,6,4
"Froot",714839931,3616992,2066831,1550161,133,10,135,99,56,25,161,8,23,56,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,12,10,5
"MeatDarkBeast",452945345,4183444,2403766,1779678,135,-47,124,167,63,66,172,15,42,69,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,13,10,6
"Drogon",779834884,2522321,1355273,1167048,116,-352,73,185,32,24,101,10,32,42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,2
"SirMittins",112377916,3570805,2097905,1472900,142,47,100,82,47,12,170,3,24,49,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,7,5
"BiGGSLiNKYDOGG",655822137,2999540,1866985,1132555,164,158,112,112,33,13,120,5,26,43,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,4
"Speedo Dan",563263585,2267699,1375899,891800,154,-43,50,100,15,14,80,5,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
"Irish beardedjedi",655196827,2841243,1693840,1147403,147,-137,35,105,35,20,121,6,20,42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,4
"antii3",694522388,2622105,1449746,1172359,123,15,6,38,14,0,112,0,10,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
"Wansta Porrimal",948763227,4428695,2588644,1840051,140,13,185,184,72,89,176,18,46,79,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,17,12,9
"Cervyx",822815426,4908915,2826356,2082559,135,110,145,205,74,99,187,21,60,106,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,18,11,9
"CaptainWinter",469795519,3153940,1819431,1334509,136,5,241,238,46,106,102,19,35,52,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,5,5
"tobygood23",235771938,4727142,2843658,1883484,150,33,73,129,82,41,179,12,41,97,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18,11,11
"Peasant",963845671,3506966,2078347,1428619,145,-419,245,210,55,89,145,18,38,58,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,6,7
"Spizz",223112676,4858183,2853194,2004989,142,-119,168,241,89,96,195,26,72,106,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,20,13,10
