Player,Offense,Defense,GP,Name,Squad,Viable
"Forrest",1,1,60732,zEP,"EP 7, zVader Tarkin 8, TFP 7, Traya 6* 7",0
"Forrest",0,1,59982,Phoenix,"zHera 8, Chopper 6* 7, Zeb 7, Kanan 7, Ezra 8",0
"Forrest",0,1,56897,FO,"KRU 7, Kylo 7, FOSFTP 7, FOE 7, FOST 8",0
"Vayne",0,1,70598,Phoenix,"Hera 9, Chopper 9, Zeb 9, Kanan 9, Ezra 9",1
"Vayne",1,1,43909,Ewoks,"Chirpa 7, Elder 6, Paploo 7, Wicket 3* 6, Logray 4* 6",0
"Fraggle Rawk",0,1,120821,DRMalak,"zzzDR zHK-47 zBSF zzMalak 6* Sith Empire Trooper",1
"Fraggle Rawk",0,1,109091,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Fraggle Rawk",1,1,103113,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Fraggle Rawk",1,0,134262,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Fraggle Rawk",0,1,97360,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Fraggle Rawk",1,1,110920,Revan Offense,"zzzJKR zGMY zBS zJolee HYoda 9",1
"Fraggle Rawk",1,1,85358,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Fraggle Rawk",0,1,101046,BH,"zzBossk IG-88 Cad zBoba Dengar",1
"Fraggle Rawk",1,1,95079,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"Fraggle Rawk",1,1,108564,zEP,"zzEP zzzVader Tarkin DT 8, TFP",1
"Fraggle Rawk",0,1,86715,FO,"zzKRU zKylo FOTP FOE FOO",1
"Fraggle Rawk",0,1,75386,Phoenix,"Hera Zeb Kanan Ezra Sabine 8",1
"Fraggle Rawk",1,0,69309,Troopers,"zVeers Starck Magma 8, Snowtrooper 8, Range Trooper 9",1
"Fraggle Rawk",0,1,67058,Grievous,"zGG B2 7, Nute 8, Dooku 6, T3-M4 9",0
"Fraggle Rawk",1,0,82200,ShaakClones,"zzShaak Ti, Rex Echo (501st), zFives 9, ARC Trooper 8",0
"Fraggle Rawk",1,0,38808,Jawas,"Nebit 1, Jawa Engineer 1, Jawa Scavenger 1, Jawa 1, Dathcha 9",0
"Fraggle Rawk",1,0,13813,SionSolo (Counter),"Sion 6*",0
"rachyroo",0,1,95438,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"rachyroo",1,1,134925,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"rachyroo",1,0,103630,CLS,"zzzCLS zHan zzChewbacca Leia 8, zzC-3PO",1
"rachyroo",1,1,92805,Ewoks,"zChirpa Elder zPaploo Teebo zLogray",1
"rachyroo",0,1,106369,BH,"zzBossk Greedo zJango zBoba zDengar",1
"rachyroo",0,1,135058,FO,"zzKRU zKylo zHux FOE zFOST",1
"rachyroo",1,0,90431,Clones,"zCody zRex zEcho (501st), zzFives Clone Sergeant",1
"rachyroo",0,1,67589,Grievous,"zzGG B2 B1 4* 8, MagnaGuard 9, IG-88 3",0
"rachyroo",1,1,96579,zEP,"zEP zVader Tarkin TFP 9, zSith Trooper",0
"DarthVenitus",0,1,54900,FO,"zKRU Kylo 9, FOSFTP 7, FOTP 7, FOE 7",0
"DarthVenitus",0,1,48313,Phoenix,"Hera 8, Chopper 7, Zeb 8, Kanan 7, Ezra 7",0
"Matze945",0,1,102328,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Matze945",1,0,106637,501st,"zRex Clone Sergeant, zEcho (501st), zzFives zAhsoka",1
"Matze945",1,0,79631,Wiggs,"Wedge 8, Biggs 8, Han 9, Fulcrum 8, zEzra",1
"Matze945",1,1,114035,zEP,"zzEP zzzVader zzTarkin zDooku TFP 8",1
"Matze945",0,1,136803,BS,"zBS zzGMY zJolee zGK zJKA",1
"Matze945",1,0,70877,Traya,"zzTraya 6* zzDN 4* 9, Sion 3* 9, BSF 3* 8, Sith Assassin 8",0
"Matze945",1,1,73659,NS_Alt,"zAV Zombie 5* 8, Talia Daka 8, Spirit 9",0
"Matze945",0,1,73676,BH,"Bossk 3* 7, Zam 6, zJango 4* 9, Cad 9, zBoba",0
