Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"JediKnightAurora",626281244,407554,271347,136207,199,482,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the geege II",921545368,2206414,1355520,850894,159,133,95,133,28,22,110,2,5,20,28,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1
"Subetron",287436253,6415732,3740620,2675112,139,-75,291,288,133,170,242,15,41,110,134,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,21,12,10
"Bavo",967286627,4591850,2616055,1975795,132,-7,141,136,64,83,199,5,19,27,60,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,12,9,7
"Fraggle Rawk",921768629,3911865,2392116,1519749,157,-99,242,188,75,49,170,3,14,50,80,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,11,7
"Damrok Sliersgloom",912939125,6421344,3661533,2759811,132,-36,139,332,127,291,231,32,59,96,121,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,19,13,8
"ferm",915973154,3905115,2305613,1599502,144,-133,65,165,80,64,154,7,14,38,55,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,8,7
"Raymantheonly",975571933,4490342,2575835,1914507,134,-196,73,111,74,55,192,5,12,27,57,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,8,6
"Bjørnebanden",875996712,1457482,1012300,445182,227,-360,69,135,24,24,63,2,6,9,23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1
"Ahren",619277356,2123331,1324113,799218,165,-485,219,249,25,75,89,8,15,23,33,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,2
"KonaMan9917",425257235,1088142,607102,481040,126,41,197,165,16,15,41,1,4,11,18,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"Arqura",399184155,4055947,2492124,1563823,159,-78,64,123,49,61,177,7,13,25,61,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,11,6
"Wesq911",318372917,3636358,2169362,1466996,147,28,41,34,57,2,151,0,1,11,45,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,6,7
"MasterWolfyYT",271867466,1811251,1089690,721561,151,-69,27,51,11,12,71,1,3,4,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Clones Attack",134215399,1472166,919408,552758,166,587,206,146,18,8,62,1,2,18,26,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"Matze945",776972738,3286684,1858553,1428131,130,-104,59,157,48,54,102,10,11,30,43,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,3
"Linc Twi'chael",784911828,2434230,1496757,937473,159,151,100,84,17,28,104,3,6,9,25,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4
"CtheHammer",833891153,2899865,1690693,1209172,139,-360,230,177,46,73,111,9,16,21,46,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,7,7
"dark panda82",132895415,3220245,1941112,1279133,151,-13,61,133,32,35,145,0,10,26,52,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,6,4
"Vayne",872639871,941350,629678,311672,202,569,15,67,6,7,46,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DarthVentus",757947987,2949903,1764975,1184928,148,-150,56,121,31,44,128,5,9,18,46,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,7,5
"Sneeuw Bal",742171628,5122593,3072511,2050082,149,-164,87,185,87,130,187,17,27,42,66,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17,12,10
"Aaron0394",121361373,1810609,1148600,662009,173,-808,52,87,11,9,60,0,3,11,29,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"dern",734337142,3827126,2343362,1483764,157,194,153,187,67,84,134,13,16,39,71,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,7,5
"StarLord",918718746,5682332,3167426,2514906,125,166,85,204,91,167,194,24,24,59,82,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,13,6,7
"IG88",281729615,4418796,2732745,1686051,162,-214,65,210,81,140,174,21,27,38,49,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,6,5
"OE4",456295746,2026754,1188522,838232,141,-259,16,88,7,15,63,1,4,11,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Trek",916436686,4104885,2574733,1530152,168,-136,159,298,58,183,154,22,36,50,82,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,17,10,11
"Bubmjf",645378175,1795164,1143808,651356,175,-197,61,82,14,14,75,2,3,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Forrest",938916341,1695063,1066096,628967,169,280,46,34,12,9,48,1,2,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mol Eliza",763421111,1338493,846158,492335,171,366,47,94,6,8,49,0,3,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obi do ban",145299341,4512560,2700945,1811615,149,-73,70,133,71,51,154,2,15,35,56,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,5
"rachyroo",659644392,2890985,1629436,1261549,129,-327,73,232,47,76,124,10,17,35,52,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,7,5,4
"Fraggle Rawk Two",648915444,2415325,1395769,1019556,136,-65,107,110,25,9,114,0,3,22,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
