Player,Offense,Defense,GP,Name,Squad,Viable
"The Asset",0,1,94247,Qira,"zQira L3-37 8, zVandor Chewbacca, zMission zZaalbar",1
"The Asset",0,1,142331,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"The Asset",1,1,105750,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"The Asset",,,499372,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"The Asset",,,126463,JKL,"zzJKL zzzJKR zHYoda Old Ben, zBarriss",1
"The Asset",0,1,114736,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper 8, zThrawn",1
"The Asset",0,1,105859,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"The Asset",,,431124,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"The Asset",0,1,128901,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"The Asset",1,1,116392,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"The Asset",1,0,123886,Traya,"zzTraya zDN zSion zDooku zzEP",1
"The Asset",,,407769,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"The Asset",1,1,157990,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"The Asset",1,1,85484,Ewoks,"zChirpa Elder zPaploo Wicket Logray 9",1
"The Asset",0,1,121151,BH,"zzBossk Greedo zBoba Dengar zzJango",1
"The Asset",0,1,113277,FO,"zzKRU zKylo zHux FOO FOE",1
"The Asset",1,0,116178,CLS,"zzzCLS zHan zLeia Fulcrum zzChewbacca",1
"The Asset",0,1,95162,Phoenix,"zHera zKanan zZeb zEzra zSabine",1
"The Asset",1,0,83928,Troopers,"zVeers Starck 8, Snowtrooper Shoretrooper zDT",1
"The Asset",1,1,92458,Rogue1,"zJyn Chirrut Baze K-2SO zCassian",1
"The Asset",1,0,69508,Jawas,"Nebit 8, Jawa Engineer, Jawa Scavenger 9, Jawa 9, Dathcha",1
"The Asset",,,74135,Mon Mothma,"Mon Mothma 6* 8, Hoth Rebel Scout, Bistan 8, Pao 9, Lando",0
"Fishfly",1,1,115942,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Fishfly",0,1,138855,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Fishfly",0,1,121537,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper 8",1
"Fishfly",,,472361,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Fishfly",,,387706,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Fishfly",0,1,127166,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Fishfly",1,1,110876,JTR,"zzzJTR zzR2-D2 zzBB-8 zResistance Hero Finn 9, zResistance Hero Poe 9",1
"Fishfly",,,376121,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Fishfly",1,0,138905,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"Fishfly",0,1,122474,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Fishfly",,,373781,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Fishfly",,,103199,Nute-Wat,"zNute zDooku zWat Tambor, zzJango zNest",1
"Fishfly",1,1,135941,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda 9",1
"Fishfly",1,1,86692,Ewoks,"zChirpa Elder Paploo Wicket Logray 9",1
"Fishfly",1,0,102519,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper 8",1
"Fishfly",0,1,117000,BH,"zzBossk zZam Greedo zBoba zDengar",1
"Fishfly",1,1,92143,Carth,"zCarth Onasi, zMission zZaalbar Juhani 8, zCanderous",1
"Fishfly",1,0,84968,Troopers,"zVeers zStarck Shoretrooper Range Trooper 8, DT",1
"Fishfly",0,1,72944,Phoenix,"Hera 9, Kanan 8, Zeb 9, Ezra Sabine 8",1
"Fishfly",1,0,97574,Wiggs,"Wedge Biggs zzzCLS zHan Leia",1
"Fishfly",0,1,87945,FO,"zzKRU zKylo FOO FOST 8, FOTP",1
"Fishfly",1,1,77263,Rogue1,"zJyn 8, Chirrut Baze 8, K-2SO 8, Cassian 8",1
"Fishfly",,,70338,Mon Mothma,"zMon Mothma 5* 8, Bodhi Rook 8, Hoth Rebel Scout 8, Pao 8, zCara Dune 8",0
"Fishfly",1,0,62846,Jawas,"Nebit 8, Jawa Engineer 5, Jawa Scavenger 7, Jawa 9, Dathcha 8",0
"Lepocalypse",0,1,128445,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Lepocalypse",0,1,113512,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Lepocalypse",1,1,102414,NestSisters,"zzAV zzMT Daka Zombie zNest",1
"Lepocalypse",,,446813,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Lepocalypse",,,125011,JKL,"zzJKL zzzJKR zHYoda zOld Ben, zEzra",1
"Lepocalypse",0,1,106919,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Lepocalypse",,,409577,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Lepocalypse",0,1,117213,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Lepocalypse",1,0,113957,Traya,"zzTraya DN zSion zzEP zzThrawn",1
"Lepocalypse",1,1,119392,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Lepocalypse",,,381509,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Lepocalypse",,,107088,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Lepocalypse",,,79228,Mon Mothma,"zzMon Mothma 6*, Hoth Rebel Scout 8, Chirrut Bistan 8, Baze",1
"Lepocalypse",1,1,152855,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Lepocalypse",1,1,83460,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Lepocalypse",0,1,102024,BH,"zzBossk Zam zzGreef Karga, Boba Dengar",1
"Lepocalypse",0,1,95591,FO,"zzKRU zKylo zHux FOO 9, FOE 9",1
"Lepocalypse",1,0,117127,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Lepocalypse",1,0,86265,Troopers,"zVeers Starck Snowtrooper Shoretrooper DT",1
"Lepocalypse",0,1,79857,Phoenix,"Hera Kanan Zeb Chopper Sabine",1
"Lepocalypse",1,0,71839,Jawas,"Nebit 9, Jawa Engineer 9, Jawa Scavenger 8, Jawa 9, Dathcha",1
"Aleks",0,1,129810,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Aleks",0,1,115757,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin 8",1
"Aleks",1,1,100538,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Aleks",,,432176,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Aleks",0,1,92458,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Aleks",,,403462,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Aleks",0,1,121702,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Aleks",1,0,111542,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Aleks",1,1,104486,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 zFinn",1
"Aleks",1,1,125652,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Aleks",1,1,90005,Ewoks,"zChirpa Elder zPaploo Wicket zLogray",1
"Aleks",1,0,122366,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"Aleks",0,1,103174,BH,"zBossk zEmbo zBoba zDengar Jango",1
"Aleks",1,1,94860,Carth,"zCarth Onasi, zMission Zaalbar zJuhani Canderous",1
"Aleks",1,0,124520,CLS,"zzzCLS zHan zLeia Old Ben, zzChewbacca",1
"Aleks",0,1,82230,Phoenix,"Hera Kanan Zeb Ezra Sabine",1
"Aleks",0,1,88198,FO,"zKRU zKylo Phasma 8, FOO FOTP",1
"Aleks",,,345710,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 3*, First Order TIE Fighter",0
"Aleks",,,82598,Mon Mothma,"zzMon Mothma 3* 8, Chirrut 8, Bistan 8, zPao 8, Lando",0
