Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Stub3po",966744144,7018056,4070529,2947527,138,41,287,402,118,443,241,64,81,113,144,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,23,12,11
"Bendok Starrkillerr",293285716,5241776,3089313,2152463,143,164,229,278,91,180,192,21,37,73,117,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,19,10,8
"Chracool",823973934,4877375,2864696,2012679,142,-9,289,249,98,74,176,4,27,80,104,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,18,12,9
"Gundo",878412649,5029120,3012244,2016876,149,-121,248,239,108,88,191,10,23,80,118,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,18,12,12
"BeastMode89",658173671,6006732,3686247,2320485,158,33,198,361,114,285,203,37,58,102,149,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,20,12,10
"KID A",228223221,5277270,3034238,2243032,135,144,171,296,95,173,192,17,40,82,123,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,18,10,10
"Addieman",261744445,5824621,3283629,2540992,129,-95,127,276,77,189,231,16,48,75,110,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,19,13,9
"Ratman",174191379,4688794,2815055,1873739,150,-112,209,251,68,149,190,17,28,60,91,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,15,11,9
"Drunkie wan dontnome",457727111,5153290,3046844,2106446,144,-21,134,184,90,106,194,9,25,49,96,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,22,14,12
"Skywalker1J17",485519559,6356798,3666261,2690537,136,43,346,297,122,214,228,35,47,99,147,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,23,15,11
