Player,Offense,Defense,GP,Name,Squad,Viable
"Mol Mierada",0,1,79296,Geonosians,"zGBA 9, Sun Fac 8, Geo Soldier, Geo Spy, Poggle",1
"Mol Mierada",0,1,73299,Phoenix,"Hera Sabine 8, Zeb Ezra 8, zKanan 8",1
"Mol Mierada",1,0,70540,Wiggs,"Wedge 8, Biggs 8, zCLS Han 8, Leia",1
"Mol Mierada",1,1,43092,Ewoks,"Chirpa 7, Elder 6, Paploo 6* 7, Scout 6, Wicket 6* 7",0
"Mol Mierada",0,1,58682,BH,"Bossk 8, Boba 9, Jango 7, Cad 7, The Mandalorian 6* 8",0
"Mol Mierada",1,0,59981,501st,"Rex 8, Clone Sergeant 6* 6, Echo (501st) 7, Fives 8, Ahsoka",0
"Arthanax",0,1,101644,padme,"zzPadme zGK zJKA zAhsoka C-3PO",1
"Arthanax",0,1,95370,Grievous,"zzGG zB2 B1 zDroideka MagnaGuard",1
"Arthanax",1,1,99980,Revan Offense,"zzzJKR GMY zBS zJolee Ezra 8",1
"Arthanax",1,1,76181,Ewoks,"zChirpa 9, Elder Paploo 9, Wicket 9, Logray 9",1
"Arthanax",1,0,87823,CLS,"zzCLS zHan zChewbacca 9, R2-D2 8, Old Ben 9",0
"Arthanax",0,1,99078,DRMalak,"zzzDR HK-47 BSF zzMalak Thrawn",0
"Arthanax",,,86939,Nute-OR,"Nute Dooku Jango Zaalbar zMission",0
"Arthanax",1,0,84939,ShaakClones,"zShaak Ti, zRex Echo (501st) 9, zzFives 9, ARC Trooper 8",0
"Arthanax",1,1,80200,zEP,"EP zVader Tarkin 8, TFP 6, Sith Trooper 8",0
"Arthanax",0,1,71882,BH,"Bossk Boba IG-88 7, Cad 9, Dengar 9",0
"Skullflyer",1,1,100400,Revan Offense,"zzzJKR zzGMY zBS 9, zJolee 9, zEzra 8",1
"Skullflyer",0,1,69521,Geonosians,"zGBA 9, Sun Fac 6, Geo Soldier 9, Geo Spy 8, Poggle 6",0
"Skullflyer",,,60404,Nute-OR,"Nute 8, Dooku 8, Jango 4* 7, Zaalbar 8, Mission 7",0
"Skullflyer",1,1,67440,NS,"zMT 8, zAV Daka 9, Zombie 5* 8, Spirit 6* 7",0
"Skullflyer",1,1,73820,zEP,"EP 8, zzzVader Tarkin 8, Sion 4* 8, DN 6* 8",0
"Skullflyer",0,1,62102,Phoenix,"Hera 8, Sabine 4* 5, Zeb 8, Chopper 8, Kanan 9",0
"Cooner65",1,1,106263,NS,"zzMT zAV zDaka Zombie Spirit",1
"Cooner65",0,1,91031,DR,"zzzDR zHK-47 zBSF Sith Marauder, Sith Empire Trooper 8",1
"Cooner65",0,1,80996,Phoenix,"Hera Zeb 9, Chopper 9, Ezra zKanan",1
"Cooner65",0,1,68379,Grievous,"GG 4* 8, B2 8, MagnaGuard 8, Nute 9, Dooku",0
"Willtonimorg",0,1,98986,padme,"zzPadme zGK JKA zAhsoka zC-3PO",1
"Willtonimorg",0,1,114748,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Willtonimorg",1,1,89986,Revan Offense,"zzJKR 9, GMY BS zJolee Ezra",1
"Willtonimorg",1,1,81812,Ewoks,"zChirpa 9, Elder Paploo Wicket Logray",1
"Willtonimorg",0,1,90636,BH,"zBossk Boba Jango Cad 8, Dengar",1
"Willtonimorg",1,1,83762,Carth,"zCarth Onasi, zMission Zaalbar Juhani 8, Canderous",1
"Willtonimorg",1,0,77110,Wiggs,"Wedge 8, Biggs 8, zCLS zHan Chewbacca 8",1
"Willtonimorg",1,0,13578,SionSolo (Counter),"Sion 8",1
"Willtonimorg",0,1,80235,Geonosians,"zGBA Sun Fac 9, Geo Soldier, Geo Spy, Poggle",0
"Willtonimorg",0,1,80786,DR,"zDR HK-47 BSF Sith Empire Trooper 6* 7, Thrawn 9",0
"Willtonimorg",1,1,82127,JTR,"JTR 8, Scav Rey, BB-8 8, zzR2-D2 Finn 9",0
"Willtonimorg",1,0,74869,ShaakClones,"zShaak Ti, Rex 8, Echo (501st) 8, Fives ARC Trooper 7",0
"Willtonimorg",1,1,69561,zEP,"zEP zVader Tarkin 9, TFP 8, Traya 5* 7",0
"Willtonimorg",0,1,59587,FO,"KRU 8, Kylo 6* 8, Phasma 8, FOE 9, FOTP 8",0
"Namefull",0,1,107103,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Namefull",0,1,115874,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Namefull",1,1,80673,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Namefull",1,0,134339,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Namefull",1,0,18534,NestSolo (Counter),"zNest",1
"Namefull",0,1,87626,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Namefull",,,65277,Disintegration,"Aurra 8, Greef Karga 4* 8, Boba 6* 8, Bossk The Mandalorian 3* 8",0
"Namefull",1,0,68248,Traya,"zzTraya 6* 8, DN 5* 8, Sion 5* 9, Dooku EP 5* 9",0
"Namefull",1,1,54894,NS,"MT 4* 8, AV Daka 5* 8, Zombie 4* 8, Spirit 6* 8",0
