Player,Offense,Defense,GP,Name,Squad,Viable
"Ruben7",0,1,127298,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin",1
"Ruben7",0,1,142161,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Ruben7",1,1,105637,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Ruben7",,,108369,JKL,"zzJKL zzzJKR zHYoda Old Ben G9, zBarriss",1
"Ruben7",,,490113,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Ruben7",0,1,90620,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Ruben7",,,376977,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Ruben7",1,0,100763,Traya,"zzTraya zDN zSion Sith Empire Trooper G8, zThrawn",1
"Ruben7",0,1,122640,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Ruben7",1,1,117064,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"Ruben7",,,95223,Nute-OR,"zNute zDooku zJango zZaalbar Mission",1
"Ruben7",1,1,151156,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Ruben7",1,1,86167,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Ruben7",0,1,90379,BH,"zBossk Boba Dengar G9, IG-88 Zam",1
"Ruben7",1,1,112568,zEP,"zzEP zzzVader Tarkin IPD TFP",1
"Ruben7",0,1,133052,FO,"zzKRU zKylo FOO FOE zHux",1
"Ruben7",1,0,78658,Troopers,"zVeers Starck G9, Shoretrooper DT Range Trooper G9",1
"Ruben7",1,0,113854,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Ruben7",1,1,76990,Rogue1,"Jyn Chirrut Baze K-2SO G8, Cassian G9",1
"Ruben7",1,0,67116,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G9, Jawa G9, Dathcha",1
"Ruben7",,,381229,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",0
"Ruben7",,,70998,Mon Mothma,"zzMon Mothma 4* G8, Hoth Rebel Scout G7, Bistan G7, Lando Hoth Rebel Soldier G7",0
"Ruben7",0,1,74231,Phoenix,"Hera G8, zKanan G8, Zeb G7, zEzra Sabine G8",0
"Vitaly Abelkalns",0,1,86301,Qira,"zQira L3-37 G8, Vandor Chewbacca G8, zMission zZaalbar",1
"Vitaly Abelkalns",0,1,138473,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Vitaly Abelkalns",0,1,128724,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Vitaly Abelkalns",1,1,113015,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Vitaly Abelkalns",,,465318,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Vitaly Abelkalns",0,1,100477,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Vitaly Abelkalns",,,400736,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Vitaly Abelkalns",0,1,125702,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Vitaly Abelkalns",1,0,118623,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Vitaly Abelkalns",1,1,145830,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"Vitaly Abelkalns",,,435106,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Vitaly Abelkalns",1,1,123431,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Vitaly Abelkalns",1,1,126564,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"Vitaly Abelkalns",1,1,85397,Ewoks,"zChirpa Elder Paploo G9, Wicket Logray",1
"Vitaly Abelkalns",0,1,116649,BH,"zzBossk zBoba zGreedo zDengar zZam",1
"Vitaly Abelkalns",0,1,135159,FO,"zzKRU zKylo FOE zFOST zHux",1
"Vitaly Abelkalns",1,0,91639,Troopers,"zVeers zStarck DT Range Trooper, Stormtrooper",1
"Vitaly Abelkalns",1,0,107069,Wiggs,"Wedge Biggs zzzCLS zHan zzChewbacca",1
"Vitaly Abelkalns",0,1,82817,Phoenix,"Hera Kanan G8, Zeb zEzra Sabine G8",1
"Vitaly Abelkalns",1,0,74458,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G9, Jawa G9, Dathcha",1
