Player,Offense,Defense,GP,Name,Squad,Viable
"Brädleys Darkside",0,1,127270,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Brädleys Darkside",0,1,121453,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Brädleys Darkside",,,430049,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Brädleys Darkside",,,338300,Malevolence,"Malevolence 6* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Brädleys Darkside",,,132460,JKL,"zzJKL zzzJKR zHYoda zzOld Ben, zEzra",1
"Brädleys Darkside",0,1,100989,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Brädleys Darkside",,,378959,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Brädleys Darkside",0,1,112142,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Brädleys Darkside",1,0,110785,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Brädleys Darkside",1,1,121554,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"Brädleys Darkside",,,338283,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Brädleys Darkside",,,104170,Nute-Wat,"zNute zDooku zWat Tambor, zzJango zNest",1
"Brädleys Darkside",1,1,138498,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Brädleys Darkside",,,93608,Mon Mothma,"zzMon Mothma 6*, Chirrut G8, Lando Biggs Wedge",1
"Brädleys Darkside",1,1,82329,Ewoks,"zChirpa Elder zPaploo Scout Logray",1
"Brädleys Darkside",1,1,86521,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Brädleys Darkside",0,1,96714,BH,"zBossk Greedo Cad zBoba IG-88",1
