Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"RolfiVader",685193749,4553327,2872410,1680917,170,-586,466,498,98,366,151,54,67,87,99,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,14,10,7
"letthewookiewin17",418824325,5858932,3416658,2442274,139,157,459,340,110,282,233,41,56,87,103,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,21,12,10
"Starlord",464362888,5780200,3333359,2446841,136,-45,98,213,101,118,223,10,28,72,120,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,22,12,10
"JSavage",529693728,5768953,3399861,2369092,143,192,635,347,110,273,224,39,55,91,129,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,24,13,12
"Siegs",562676543,5260045,3082261,2177784,141,-119,204,306,105,202,207,22,46,75,102,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,15,10,8
"Sarin Bex",931112962,5495223,3107412,2387811,130,-128,209,263,92,169,195,16,38,73,102,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,17,12,8
"Sotha",431744565,133156,107292,25864,414,144,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Socavado",696498771,6858681,4011068,2847613,140,27,351,424,126,361,239,45,80,139,178,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,23,11,11
"Brill Counsil",461985617,5757901,3458347,2299554,150,142,401,295,110,195,213,24,43,88,134,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,18,11,8
"Barpus",275896375,5332092,3051751,2280341,133,196,298,282,89,184,220,23,41,73,108,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,19,9,10
"Chibimofo",246226359,5749866,3301535,2448331,134,21,154,214,101,121,233,16,26,73,111,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,23,14,12
"Sharon",555965997,5866232,3413892,2452340,139,216,360,307,109,228,236,30,49,86,123,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,23,13,10
"Pluti",239542659,5222903,3025617,2197286,137,166,89,274,93,111,210,3,36,85,106,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,20,12,10
