Player,Offense,Defense,GP,Name,Squad,Viable
"Leo the lion",0,1,147968,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Leo the lion",1,1,104826,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"Leo the lion",,,417073,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"Leo the lion",0,1,96793,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Leo the lion",0,1,94865,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard G9",1
"Leo the lion",1,1,122427,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Leo the lion",1,1,119595,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Leo the lion",1,1,79891,Ewoks,"zChirpa G9 Elder Paploo Wicket Logray G9",1
"Leo the lion",0,1,101569,BH,"zzBossk Boba Dengar G9 Greedo Jango",1
"Leo the lion",1,1,100867,zEP,"zzEP zzVader zTarkin DT G8 TFP",1
"Leo the lion",0,1,91614,FO,"zzKRU Kylo FOE FOO FOSFTP",1
"Leo the lion",0,1,78610,Phoenix,"Hera zEzra Zeb G8 Kanan Sabine G8",1
"Leo the lion",1,0,109490,CLS,"zzCLS zHan Wedge Biggs zzChewbacca",1
"Leo the lion",1,0,83833,Wampa (Counter),"zRex zzWampa Krennic G7 Visas G8 Jyn G8",1
"Leo the lion",1,0,19990,SionSolo (Counter),"zSion",1
"Leo the lion",1,0,16254,NestSolo (Counter),"Nest",1
"Leo the lion",,,366449,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",0
"Leo the lion",1,1,68779,Carth,"Carth Onasi, Mission G8 Zaalbar G8 Juhani Canderous G7",0
"Leo the lion",1,0,69518,Troopers,"Veers Starck Shoretrooper 6* G7 Snowtrooper G9 Stormtrooper G8",0
"Tuxedo",,,258853,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"Tuxedo",1,1,104164,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Tuxedo",1,1,110721,Revan,"zzzJKR zBS zGMY zJolee GK",1
"Tuxedo",1,0,112301,CLS,"zzzCLS zHan zzChewbacca zThrawn zzC-3PO G9",1
"Tuxedo",1,1,85847,Ewoks,"zChirpa G9 Elder zPaploo zWicket G9 zLogray G9",1
"Tuxedo",1,1,81139,Carth,"Carth Onasi, Mission G9 Zaalbar G9 Juhani Canderous",1
"Tuxedo",0,1,93814,BH,"zzBossk Boba Dengar Jango zNest",1
"Tuxedo",0,1,81498,FO,"zKRU Kylo FOE FOO FOST G8",1
"Tuxedo",0,1,72609,Phoenix,"Hera G8 Chopper G9 Ezra Zeb G8 Kanan G8",1
"Tuxedo",1,0,19195,SionSolo (Counter),"zSion",1
"Tuxedo",0,1,58117,Grievous,"GG G9 B2 G1 Dooku G7 IG-88 G7 T3-M4",0
"Tuxedo",1,1,71458,NS,"MT G9 AV Daka G9 Zombie 6* G9 Spirit G8",0
"Tuxedo",1,0,71338,Zader (Counter),"zVader Wampa G9 Tarkin Sidious G8 Stormtrooper G7",0
"ChadVader",1,1,99339,NS,"zzMT zzAV Daka Zombie Spirit",1
"ChadVader",0,1,137538,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper,",1
"ChadVader",0,1,134671,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"ChadVader",,,428015,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"ChadVader",0,1,95183,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"ChadVader",,,347973,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing,",1
"ChadVader",0,1,125670,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"ChadVader",1,1,94907,JTR,"zJTR Scav Rey, zBB-8 zR2-D2 Finn",1
"ChadVader",1,1,110419,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"ChadVader",1,1,84439,Ewoks,"zChirpa Elder Paploo Wicket G8 zLogray",1
"ChadVader",1,0,131108,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper,",1
"ChadVader",1,1,90905,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"ChadVader",0,1,104868,BH,"zzBossk zBoba Cad Dengar zJango",1
"ChadVader",0,1,84788,FO,"zzKRU Kylo G9 FOE FOO FOST",1
"ChadVader",1,0,105106,CLS,"zzCLS zHan Wedge Biggs zzChewbacca",1
"ChadVader",1,1,98366,zEP,"zzEP zzVader Tarkin Dooku TFP G9",1
"ChadVader",0,1,71049,Phoenix,"Hera G9 Chopper G9 Ezra Zeb G8 Kanan G8",1
"ChadVader",1,0,21262,SionSolo (Counter),"zSion",1
"ChadVader",1,0,16452,NestSolo (Counter),"Nest",1
"Jaycop",0,1,91841,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Jaycop",1,1,82632,JTR,"zzJTR G8 Scav Rey, zBB-8 G8 zzR2-D2 G9 Finn G9",1
"Jaycop",1,1,101245,Revan,"zzzJKR BS zGMY zJolee zGK G8",1
"Jaycop",1,1,88522,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Jaycop",1,1,91955,Carth,"Carth Onasi, Mission zZaalbar Juhani Canderous G8",1
"Jaycop",0,1,106473,BH,"zzBossk Boba Dengar Greedo zJango",1
"Jaycop",0,1,87257,FO,"zzKRU Kylo Phasma G8 FOE FOO",1
"Jaycop",0,1,74633,Phoenix,"Hera Ezra Zeb G8 Kanan Sabine G8",1
"Jaycop",1,0,94540,CLS,"zzzCLS zHan Leia G8 Old Ben G9, zzChewbacca",1
"Jaycop",1,1,99657,zEP,"zzEP zzVader Tarkin Dooku G8 TFP",1
"Jaycop",1,0,67864,Troopers,"zVeers G9 Starck G7 Magma G7 Snowtrooper G9 zStormtrooper G7",1
"Jaycop",,,258308,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter 5*, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Rex's ARC-170 3*,",0
"Jaycop",1,1,76174,NS,"zzMT G8 zzAV G9 Daka G9 Zombie Spirit 6* G3",0
"Jaycop",0,1,60743,Grievous,"GG G1 B2 G7 Nute G6 IG-88 G6 zT3-M4",0
"Jaycop",1,0,44686,501st,"Rex G1 Clone Sergeant G7, Echo G1 Fives G1 Ahsoka G5",0
"Jaycop",1,0,59510,Jawas,"Nebit G8 Jawa Engineer G7, Jawa Scavenger G7, Jawa G7 Dathcha G7",0
"Jan Dodonna GAT",0,1,129218,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin,",1
