Player,Offense,Defense,GP,Name,Squad,Viable
"JedArt",0,1,105764,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"JedArt",1,1,101154,NestSisters,"zzAV zMT zDaka Zombie zNest",1
"JedArt",,,382710,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"JedArt",0,1,91418,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"JedArt",1,0,104671,Traya,"zzTraya zDN zSion zBSF zThrawn",1
"JedArt",0,1,88657,Grievous,"zGG zB2 zB1 Droideka G8 zMagnaGuard",1
"JedArt",1,1,112247,JTR,"zzJTR Scav Rey, zBB-8 zzR2-D2 zFinn",1
"JedArt",1,1,126159,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra",1
"JedArt",1,1,85803,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"JedArt",1,0,93531,ShaakClones,"zzShaak Ti, Rex zEcho Fives Clone Sergeant,",1
"JedArt",1,1,76968,Carth,"zCarth Onasi, Mission G8 Zaalbar G8 Juhani Canderous G8",1
"JedArt",0,1,107706,BH,"zzBossk zBoba Dengar Embo zJango",1
"JedArt",0,1,89636,FO,"zzKRU zKylo FOE FOO G8 FOST G9",1
"JedArt",1,0,93191,Wiggs,"Wedge G8 Biggs G8 zzCLS zHan zzChewbacca",1
"JedArt",1,1,93456,zEP,"zEP zzVader Tarkin Dooku TFP",1
"JedArt",0,1,67667,Phoenix,"Hera G8 Chopper G9 Zeb G8 Kanan G8 Sabine G8",1
"JedArt",,,300361,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter 5*, First Order SF TIE Fighter 3*, First Order TIE Fighter,",0
"JedArt",1,0,66836,Troopers,"Veers G9 Starck G7 Shoretrooper G8 Snowtrooper G9 Stormtrooper G8",0
"Clan Mudhorn",1,0,98825,501st,"Rex ARC Trooper, Echo zFives zAhsoka",1
"Clan Mudhorn",0,1,58545,Geonosians,"GBA 5* Poggle Geo Soldier 6* G9, Geo Spy 5*, Sun Fac G7,",0
"Clan Mudhorn",0,1,53946,Phoenix,"Hera 6* G8 Chopper G7 Ezra G8 Zeb G7 Kanan G7",0
"Clan Mudhorn",0,1,71396,BS,"zBS 5* zGMY zJolee 4* GK 5* G8 JKA 4* G9",0
"ARTofJED",0,1,109943,DR,"zzzDR zzHK-47 zBSF Sith Marauder, Sith Empire Trooper,",1
"ARTofJED",0,1,89740,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"ARTofJED",0,1,99473,BH,"zzBossk zBoba Cad zDengar IG-88",1
"ARTofJED",1,1,100155,zEP,"zzEP zzVader Tarkin DT TFP G9",1
"ARTofJED",1,0,87917,Troopers,"zVeers zStarck Range Trooper, Snowtrooper Stormtrooper G8",1
"ARTofJED",0,1,78920,Phoenix,"Hera G9 zEzra Zeb G8 Kanan G8 zSabine",1
"ARTofJED",1,0,109919,Wiggs,"Wedge Biggs zzCLS zHan Leia",1
"ARTofJED",0,1,100896,BS,"zBS zGMY zJolee zGK G8 HYoda",1
"ARTofJED",1,1,77060,NS_Alt,"zAV Spirit G9 Zombie zDaka Talia 6* G8",0
"ARTofJED",1,1,63817,Ewoks,"Chirpa 5* G8 Elder 6* Paploo Teebo G7 Logray 6* G9",0
"Godofmen",1,1,139721,JTR,"zzzJTR zScav Rey, zzBB-8 R2-D2 G8 zFinn",1
"Godofmen",1,1,118373,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Godofmen",1,1,94284,zEP,"zzEP zzzVader Tarkin G9 DT G8 TFP G8",1
"Godofmen",0,1,117750,Phoenix,"zHera zEzra zZeb zKanan zSabine",1
"Godofmen",1,0,112338,Wiggs,"Wedge Biggs zzzCLS zFulcrum zLeia",1
"Godofmen",0,1,101493,FO,"zzKRU zKylo zPhasma FOO zFOST G8",1
"Godofmen",1,1,84395,Rogue1,"zzJyn Chirrut Baze Cassian K-2SO G8",1
"Godofmen",1,0,85660,QGJ,"QGJ Aayla G9 zJKA Old Ben, zAhsoka",1
"Godofmen",1,0,67385,Jawas,"Nebit G8 Jawa Engineer G9, Jawa Scavenger G8, Jawa G9 Dathcha",1
"Godofmen",,,330149,HansMF,"Home One, Han's MF 5*, Biggs X-wing, Bistan's U-wing 5*, Phantom Ghost Cassian's U-wing, Wedge X-wing,",0
"Godofmen",1,1,69835,NS_Alt,"MT 6* G8 zzAV Spirit 5* G8 Daka Talia",0
"Godofmen",1,0,79094,ShaakClones,"Shaak Ti G8, zRex zEcho Fives G9 Clone Sergeant G9,",0
"Godofmen",1,0,52244,Troopers,"Veers G8 Starck G4 Shoretrooper 6* G8 Snowtrooper G9 Stormtrooper G8",0
"Godofmen",1,0,110248,zMaul,"Maul zBSF zDooku zzDN zSavage",0
"Cao Hao",0,1,105926,padme,"zzPadme zGK zJKA zAhsoka zBarriss G9",1
"Cao Hao",0,1,86147,Grievous,"zzGG B2 G8 MagnaGuard G9 Nute zDooku",1
"Cao Hao",1,1,83885,Ewoks,"zChirpa Elder zPaploo Teebo Scout",1
"Cao Hao",0,1,95421,BH,"zzBossk Boba Cad Greedo IG-88",1
