Player,Offense,Defense,GP,Name,Squad,Viable
"Mol Eliza",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Spirit 5* G8, Talia 5* G8, Daka 5* G8",0
"Mol Eliza",1,0,37564,501st,"Rex 5* Clone Sergeant 5* G8, Echo 5* G8, Fives 5* G8, Ahsoka 5* G9",0
"Mol Eliza",1,0,33161,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"Mol Eliza",0,1,51331,BS,"BS 6* GMY 5* JKA 5* G8, Old Ben 5* G8, Ezra 5* G8",0
"Mol Eliza",0,1,32885,Phoenix,"Hera 5* G8, Sabine 5* G8, Chopper 5* G8, Kanan 5* G8, Zeb 5* G8",0
"Mol Eliza",0,1,32609,FO,"KRU 5* G8, Kylo 5* G8, Phasma 5* G8, FOST 5* G8, FOE 5* G8",0
"CrankPants",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Spirit 5* G8, Talia 5* G8, Daka 5* G8",0
"CrankPants",1,0,38309,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo 5* G8, Fives 5* G8, Ahsoka 5*",0
"CrankPants",0,1,49531,Phoenix,"Hera G8, Ezra 6* G9, Chopper G8, Kanan G8, Zeb 6* G8",0
"CrankPants",1,0,33161,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"CrankPants",0,1,32609,FO,"KRU 5* G8, Kylo 5* G8, Phasma 5* G8, FOO 5* G8, FOE 5* G8",0
"Aϙυαツ",0,1,68755,Phoenix,"Hera G9, Ezra Chopper Kanan G8, Zeb G8",1
"Aϙυαツ",1,1,76873,zEP,"zEP zzVader Tarkin G9, TFP G8, Traya 6* G8",0
"Aϙυαツ",1,0,36349,Troopers,"Veers 3* G8, Starck 5* G6, Snowtrooper 4* G8, DT 2* G5, Admiral Piett 3* G7",0
"Aϙυαツ",0,1,69459,BH,"zJango 4* zThe Mandalorian 3*, Greedo G8, IG-88 6* G7, Boba G9",0
"Louisj",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Spirit 5* G8, Talia 5* G8, Daka 5* G8",0
"Louisj",1,1,46606,zEP,"EP 5* Vader 5* Tarkin 6* G8, Dooku 5* G8, DN 5* G8",0
"Louisj",1,0,33161,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"Louisj",1,0,33161,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"Louisj",0,1,36305,Phoenix,"Hera 5* G8, Ezra 5* G8, Chopper 6* G8, Kanan 6* G8, Zeb 6* G8",0
"Louisj",0,1,32609,FO,"KRU 5* G8, Kylo 5* G8, Phasma 5* G8, FOST 5* G8, FOE 5* G8",0
"The Aleran Hyper",1,1,41147,NS_Alt,"MT 5* G8, AV 5* G8, Spirit 5* G8, Talia 5* Daka 5* G9",0
"The Aleran Hyper",1,0,44237,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo 5* G9, Fives 6* G9, Ahsoka 6*",0
"The Aleran Hyper",1,0,33161,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"The Aleran Hyper",0,1,34151,Phoenix,"Hera 5* G8, Sabine 5* G8, Ezra 5* G8, Chopper 5* G8, Zeb 5* G8",0
"The Aleran Hyper",0,1,32609,FO,"KRU 5* G8, Kylo 5* G8, Phasma 5* G8, FOST 5* G8, FOE 5* G8",0
"TimelessSage",1,1,118296,NS,"zzMT zzAV zDaka Zombie Spirit",1
"TimelessSage",1,1,96894,JTR,"zzzJTR Scav Rey, zBB-8 G9, zzR2-D2 zFinn",1
"TimelessSage",0,1,88053,BH,"zzBossk zEmbo G9, Dengar G8, zAurra Boba G9",1
"TimelessSage",1,1,89974,zEP,"zzEP Vader G8, Tarkin TFP G8, zBSF",1
"TimelessSage",0,1,71599,Phoenix,"Hera G8, zEzra Chopper Kanan G8, Zeb G8",1
"TimelessSage",0,1,95766,BS,"zBS zGMY zJolee G8, GK zHYoda",1
"TimelessSage",1,1,55794,Carth,"zCarth Onasi G8, Mission 5* G6, Zaalbar G7, zJuhani G8, Canderous G7",0
"TimelessSage",1,0,10011,SionSolo (Counter),"zSion 3* G6",0
