Player,Offense,Defense,GP,Name,Squad,Viable
"kingphlippienips",0,1,90914,FO,"zzKRU zKylo Phasma FOE FOO",1
"kingphlippienips",0,1,69919,Phoenix,"Hera G8 Ezra G9 Zeb G8 Kanan G8 Sabine",1
"kingphlippienips",0,1,98981,BS,"zBS G8 zzGMY Aayla zGK G9 zAhsoka",1
"Matti Ooch",0,1,104352,Phoenix,"zHera zEzra zZeb zKanan zSabine",1
"Matti Ooch",1,0,74140,Wiggs,"Wedge G8 Biggs G8 zzzCLS Han G7 Fulcrum G8",1
"Matti Ooch",1,1,99464,zEP,"zzEP zzzVader Tarkin G7 zDooku TFP G5",0
"Matti Ooch",0,1,74834,BS,"BS G5 zzGMY G8 Aayla G8 zGK G8 zzHYoda G8",0
"Matti Ooch",0,1,50952,FO,"KRU G5 Kylo G5 Phasma G7 FOSFTP G6 FOST G5",0
"Matti Ooch",1,0,42012,Jawas,"Nebit G6 Jawa Engineer G3, Jawa Scavenger G4, Jawa G4 Dathcha G4",0
"Shiro",1,0,62247,Zader (Counter),"Vader G8 Tarkin Sidious G8 Boba G9 Stormtrooper G8",1
"Shiro",0,1,74500,Geonosians,"zGBA G9 Poggle G8 Geo Soldier, Geo Spy, Sun Fac G8,",0
"Shiro",1,0,68667,ShaakClones,"zShaak Ti 4* G9, Rex Echo G8 zFives G9 ARC Trooper 5* G8,",0
"Shiro",0,1,65543,BH,"Bossk Dengar G9 IG-88 G7 Jango G8 Nest 4* G9",0
"Shiro",1,0,70747,CLS,"zCLS Han G9 Leia G8 Old Ben G9, Chewbacca 5* G9",0
"Shiro",0,1,68581,BS,"BS 5* G9 GMY G9 JKA G9 zGK 5* zAhsoka",0
"peaches",0,1,120457,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"peaches",,,358550,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"peaches",0,1,105146,DR,"zzzDR zzHK-47 zBSF SiT G8 Sith Assassin,",1
"peaches",,,254778,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"peaches",0,1,95483,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"peaches",0,1,121035,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"peaches",1,0,111888,Traya,"zzTraya DN zSion zDooku zzThrawn",1
"peaches",1,1,111778,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 RT",1
"peaches",1,1,103939,Revan Offense,"zzzJKR zGMY zHYoda zJolee zEzra",1
"peaches",1,1,89545,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"peaches",1,0,116011,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper,",1
"peaches",0,1,110837,BH,"zzBossk zBoba Dengar zGreedo zzJango",1
"peaches",1,1,95274,zEP,"zzEP zzzVader Tarkin IPD G8 TFP G9",1
"peaches",1,0,92431,Troopers,"zVeers zStarck DT Shoretrooper Snowtrooper",1
"peaches",1,0,129673,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"peaches",0,1,100390,FO,"zzKRU zKylo FOO zFOST zFOTP",1
"peaches",0,1,68900,Phoenix,"Hera G8 Chopper G9 Zeb G8 Kanan G8 Sabine G8",1
"peaches",1,1,82779,Rogue1,"Jyn Chirrut Baze Cassian K-2SO G9",1
"peaches",1,0,70433,Jawas,"Nebit G9 Jawa Engineer G9, Jawa Scavenger G9, Jawa G9 Dathcha",1
"peaches",1,1,88069,NS,"zMT G8 zzAV Daka Zombie Spirit G9",0
"peaches",1,1,73330,Carth,"zCarth Onasi, Mission G8 Zaalbar G8 Juhani G8 Canderous G7",0
"peaches",1,0,11470,NestSolo (Counter),"Nest 4*",0
"The Greige Side",0,1,75408,Phoenix,"Hera G9 Chopper Ezra Zeb G8 zKanan G9",1
"The Greige Side",1,0,53859,Wiggs,"Wedge G9 Biggs G8 CLS G2 Han 6* G7 Leia G8",0
"KillerKemphfer",1,1,99494,NS,"zzMT zzAV Daka Zombie Spirit",1
"KillerKemphfer",0,1,94185,padme,"zzPadme zGK zJKA Ahsoka CW Chewbacca G8,",1
"KillerKemphfer",,,358225,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"KillerKemphfer",0,1,99786,DR,"zzzDR HK-47 zBSF Sith Assassin G8, zThrawn",1
"KillerKemphfer",0,1,93430,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"KillerKemphfer",0,1,93931,Grievous,"zzGG zB2 zB1 Droideka MagnaGuard G8",1
"KillerKemphfer",1,1,99636,JTR,"zJTR Scav Rey, zBB-8 zR2-D2 zFinn",1
"KillerKemphfer",1,0,111209,Traya,"zzTraya zzDN zSion zDooku zzEP",1
"KillerKemphfer",1,1,111077,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"KillerKemphfer",1,0,100747,ShaakClones,"zzShaak Ti, zRex Echo zFives zARC Trooper,",1
"KillerKemphfer",1,1,88031,Ewoks,"zChirpa Elder zPaploo Scout Wicket",1
"KillerKemphfer",1,1,79240,Carth,"zCarth Onasi, Mission G8 Zaalbar G8 Juhani Canderous",1
"KillerKemphfer",0,1,150262,BH,"zzBossk zBoba zDengar zzEmbo zzJango",1
"KillerKemphfer",0,1,85571,FO,"zKRU Kylo FOE FOO FOST G8",1
"KillerKemphfer",0,1,69833,Phoenix,"Hera G8 Ezra G8 Zeb G8 Kanan G8 Sabine G8",1
"KillerKemphfer",1,0,103895,CLS,"zzCLS zHan Leia Old Ben, zzChewbacca",1
"KillerKemphfer",1,0,74750,Wiggs,"Wedge G8 Biggs Fulcrum G8 Chirrut G8 Baze G8",1
"KillerKemphfer",1,0,73725,Krennic,"Krennic G9 DT G9 Shoretrooper G8 Range Trooper G9, Starck",1
"KillerKemphfer",1,0,95413,Zader (Counter),"zzzVader Wampa G9 zTarkin Sidious Stormtrooper",1
"KillerKemphfer",1,0,16335,NestSolo (Counter),"Nest",1
"KillerKemphfer",,,367794,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 5*, First Order TIE Fighter,",0
"KillerKemphfer",1,0,67101,Jawas,"Nebit G8 Jawa Engineer 4* G9, Jawa Scavenger G8, Jawa G9 Dathcha",0
"JR",0,1,85589,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy G9, Sun Fac G9,",1
"JR",1,1,117634,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn",1
"JR",0,1,109585,BH,"zzBossk zBoba zDengar G9 zGreedo zIG-88",1
"JR",1,1,93691,zEP,"zzEP zzzVader Tarkin DT TFP G8",1
"JR",1,0,111743,CLS,"zzzCLS zHan Leia zzOld Ben, zzChewbacca",1
"JR",0,1,76372,Phoenix,"Hera G8 Chopper G8 zEzra Zeb G8 zKanan G8",1
"JR",0,1,92490,padme,"zzPadme G8 zGK JKA Ahsoka Fives",1
"JR",1,1,69193,NS,"MT G9 zAV Daka Zombie 6* G8 Spirit 5* G7",0
"JR",1,0,81478,Traya,"Traya G8 DN 6* Sion 4* G8 Dooku zzThrawn",0
"JR",0,1,66074,Grievous,"GG G9 B2 5* G8 MagnaGuard G8 Nute G8 T3-M4 G9",0
"JR",,,283170,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 5*, Imperial TIE Fighter, Gauntlet Starfighter 5*, First Order SF TIE Fighter 4*, First Order TIE Fighter,",0
"JR",1,1,73738,Ewoks,"zChirpa 6* G9 Elder G9 Paploo Scout Logray G8",0
"JR",1,1,72446,Carth,"Carth Onasi 6* G8, Mission G8 Zaalbar 6* G9 zJuhani 6* G9 zCanderous",0
"JR",1,0,61617,Troopers,"Veers Starck G8 Range Trooper 4* G8, Snowtrooper G8 Stormtrooper G8",0
"JR",0,1,64741,BH,"zJango G9 Aurra 3* G8 Cad G8 Zam G7 Nest 3* G9",0
"JR",0,1,83261,FO,"zKRU zKylo Phasma G8 FOO G9 FOTP",0
"JR",1,0,53283,Jawas,"Nebit G7 Jawa Engineer G8, Jawa Scavenger G7, Jawa 5* G8 Dathcha G8",0
"Kal Valin",1,1,114925,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Kal Valin",0,1,141561,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin,",1
"Kal Valin",0,1,135047,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Kal Valin",,,377247,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Kal Valin",0,1,103315,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Kal Valin",0,1,132704,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Kal Valin",1,0,116912,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Kal Valin",1,1,100855,JTR,"zJTR Scav Rey, zBB-8 zR2-D2 Finn",1
"Kal Valin",,,99575,Nute-Wat,"zNute zDooku zWat Tambor 4*, zJango zNest",1
"Kal Valin",1,1,143536,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Kal Valin",1,1,136398,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Kal Valin",1,1,81049,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Kal Valin",1,1,87060,Carth,"zCarth Onasi, Mission Zaalbar Juhani Canderous",1
"Kal Valin",0,1,107181,BH,"zzBossk Aurra zBoba Dengar IG-88",1
"Kal Valin",0,1,96598,FO,"zzKRU zKylo FOE FOO FOST",1
"Kal Valin",1,0,88718,Troopers,"zVeers Starck DT Range Trooper, Shoretrooper",1
"Kal Valin",1,0,114296,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Kal Valin",0,1,77762,Phoenix,"Hera Ezra Zeb Kanan Sabine",1
"Kal Valin",1,1,82281,Rogue1,"Jyn Chirrut Baze Cassian K-2SO G9",1
"Kal Valin",1,0,107956,Zader (Counter),"zzzVader zWampa Tarkin Sith Empire Trooper, Stormtrooper",1
"Em3ry08",1,1,122101,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"Em3ry08",0,1,78107,Geonosians,"zzGBA Poggle G8 Geo Soldier, Geo Spy G7, Sun Fac G8,",1
"Em3ry08",0,1,89613,Grievous,"zzGG B2 G8 MagnaGuard G8 zDooku zIG-88",1
"Em3ry08",0,1,104971,BH,"zzBossk zBoba Dengar G8 zGreedo zzJango",1
"Em3ry08",0,1,119545,BS,"zBS zzGMY zzHYoda zGK zAhsoka",1
"Em3ry08",1,0,74021,Jawas,"Nebit Jawa Engineer G9, Jawa Scavenger G8, Jawa G9 Dathcha",1
"Em3ry08",1,0,69991,Traya,"Traya G8 DN G8 Sion 4* G9 zzEP Sith Assassin G7,",0
"Em3ry08",1,0,67335,ShaakClones,"Shaak Ti 3* G7, zRex Echo 5* G9 Fives G8 Clone Sergeant G9,",0
"Em3ry08",1,0,90706,Wiggs,"Wedge 4* G8 Biggs G9 zzzCLS zHan zLeia",0
"Em3ry08",1,0,51789,Troopers,"Veers 4* G7 Starck G7 Magma G7 Snowtrooper G8 Stormtrooper G7",0
"Em3ry08",1,1,53943,Rogue1,"Jyn G7 Chirrut 3* G7 Baze 3* G7 Cassian G8 K-2SO G8",0
"Em3ry08",0,1,74537,FO,"zzKRU Kylo G8 zPhasma FOO 5* G8 FOSFTP G7",0
"Em3ry08",1,0,62098,QGJ,"QGJ G7 Aayla 5* G8 JKA 6* G9 zzOld Ben, Ezra 3* G7",0
"Em3ry08",0,1,55812,Phoenix,"Hera 6* G8 Chopper G9 Zeb G7 Kanan G7 Sabine 4* G7",0
"Em3ry08",1,0,78899,Zader (Counter),"zzzVader Mission 5* G8 Zaalbar 6* G8 Tarkin zSidious",0
"legnataf",0,1,123138,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"legnataf",0,1,137066,DRMalak,"zzzDR zzHK-47 zBSF zzMalak zThrawn",1
"legnataf",1,1,101557,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"legnataf",0,1,96211,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"legnataf",0,1,119092,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"legnataf",1,1,106344,JTR,"zzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"legnataf",,,348922,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing,",1
"legnataf",,,102593,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"legnataf",1,1,112897,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra",1
"legnataf",1,1,91697,Ewoks,"zChirpa Elder zPaploo zWicket zLogray G9",1
"legnataf",1,0,106459,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper,",1
"legnataf",0,1,98968,BH,"zzBossk Boba Cad zGreedo IG-88",1
"legnataf",1,1,95235,zEP,"zzEP zzzVader Tarkin DT TFP",1
"legnataf",0,1,95762,FO,"zzKRU zKylo FOE FOO zFOST",1
"legnataf",1,0,109733,CLS,"zzzCLS zHan Leia zzOld Ben, zzChewbacca",1
"4thunder",0,1,101014,padme,"zzPadme GK JKA Ahsoka C-3PO",1
