Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Far Woodalin",146892488,2720272,1700801,1019471,166,-51,52,80,29,24,102,4,4,13,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3
"Bellgarion",872631186,4085461,2419194,1666267,145,24,115,91,70,31,159,2,9,22,70,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,14,11,8
"Mike",676218863,4921745,3038469,1883276,161,129,302,298,101,174,192,16,39,73,105,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,17,11,7
"The Greige Side",882914624,922814,507463,415351,122,129,19,0,6,0,28,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Resmi Hardin",678784224,4802283,2718763,2083520,130,72,235,194,79,66,176,2,20,60,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,15,10,8
"4thunder",843223928,3582183,2199002,1383181,158,96,154,262,40,96,156,7,23,52,75,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,11,5,6
"StrokemySaber",383839872,5666674,3354238,2312436,145,69,107,308,105,193,191,22,39,97,126,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,17,13,9
"Shiro",627163421,1306422,732586,573836,127,168,191,15,10,0,54,0,0,2,13,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"The Armorer",216667356,3201729,1846639,1355090,136,293,167,124,30,49,133,8,10,20,41,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,7,5
"Joshua I K Wilson",172459436,4653668,2664788,1988880,133,92,240,97,77,48,177,6,9,27,91,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,16,10,10
"Kal Valin",753432372,5803611,3336183,2467428,135,-87,356,387,101,293,200,46,59,107,139,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,20,11,8
"Em3ry08",774515174,4166228,2531459,1634769,154,16,63,96,65,46,140,5,10,21,60,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,10,7,5
"Bort Moddler",875657132,4571031,2669027,1902004,140,204,104,182,93,83,169,8,19,48,84,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,13,9,7
"Chalbran Leone",962221741,4039655,2464693,1574962,156,-29,36,81,48,19,180,0,7,22,62,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,12,9,7
"MrMajestyk",382313729,4982257,2885737,2096520,137,-46,131,234,89,103,201,10,24,72,98,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,18,13,10
"Ashla Bogan",378192553,5361861,2993480,2368381,126,33,76,221,82,165,177,24,24,62,86,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,16,11,10
"lawrence485",779313411,5185148,2871830,2313318,124,-67,55,155,87,47,198,4,14,57,83,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,15,11,5
"Sergentation",474988372,2830817,1447688,1383129,104,79,276,164,35,33,105,1,9,31,47,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,5,1
"Sunnyjoe",414887643,2923409,1650627,1272782,129,-48,48,111,39,13,125,1,4,26,34,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,2
"Kid Dynamite",283133872,5008661,2735608,2273053,120,-156,201,154,84,47,193,5,10,58,102,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,21,13,10
"halfway",486729994,2451904,1239786,1212118,102,14,129,99,25,22,74,1,7,13,23,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,7,4,2
"Moochi",713867699,4867343,2903895,1963448,147,77,261,242,93,131,190,16,28,64,108,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,18,13,10
"ManBearPig34t",481144387,4612060,2785352,1826708,152,-39,240,134,80,40,187,3,12,42,73,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,15,8,9
"legnataf",399775727,4148175,2460201,1687974,145,-92,321,266,88,103,158,7,25,65,98,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,16,11,8
"Battlehammer",184621815,4197365,2474108,1723257,143,0,109,96,71,32,159,2,10,24,72,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,13,10,8
"Matti Ooch",159888466,2900020,1651914,1248106,132,101,42,118,52,22,154,0,14,16,27,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1
"Jtennill",922322774,5688318,3358865,2329453,144,-52,220,232,102,146,201,23,27,76,115,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,19,12,11
"Keggkiller",972129517,3884911,2287938,1596973,143,44,113,85,67,32,152,3,8,19,64,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,13,10,8
"SteveTheBandit",558111281,5454980,3092410,2362570,130,16,261,165,107,62,207,5,16,62,112,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,20,14,10
"Erock",611573726,4401038,2475379,1925659,128,40,72,149,67,64,145,10,11,42,57,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,5,4
"Harbe Fulcrum",542331974,3054632,1717489,1337143,128,281,52,105,41,26,110,2,6,21,52,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,4,4
"KillerKemphfer",249539328,5532693,3254359,2278334,142,-53,190,111,88,49,206,7,7,45,113,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,19,13,9
"Kayjeth Tasith",535234796,2767865,1730228,1037637,166,-323,121,170,35,46,100,6,9,29,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3
"AfroDude",639145365,4013851,2376769,1637082,145,43,33,132,57,55,151,4,15,27,55,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,12,10,6
"SirLordStrat",269755856,4272015,2457864,1814151,135,257,48,201,89,56,162,4,13,62,69,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,10,6,6
"Kruineph Pennington",226146735,6161023,3597278,2563745,140,-76,200,333,113,293,233,38,58,89,141,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,21,13,10
"JR",616554861,4243783,2557765,1686018,151,30,129,72,63,34,153,5,6,18,62,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,8,5
"DarthBruce",426419243,5193113,2964149,2228964,132,19,37,100,89,20,211,0,8,40,80,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,20,12,9
"Dogdaze",678947114,4198737,2357480,1841257,128,71,106,186,73,31,168,1,11,61,80,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,14,10,7
"peaches",775672595,5552079,3072794,2479285,123,32,182,229,111,123,199,14,32,71,106,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,20,12,10
"sharks198",449632632,2418986,1379595,1039391,132,70,36,52,25,8,104,0,4,7,26,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,4,1
"Dr Porkins",222493767,5561333,3306984,2254349,146,-60,160,230,108,75,203,10,15,98,118,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,18,13,10
"Cade Doneeta",619547922,5019324,2850232,2169092,131,-27,371,240,91,108,180,8,26,73,112,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,20,14,10
"MrMajestyk2",224757413,2065501,1163856,901645,129,2,111,151,24,26,92,2,7,19,26,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,2,1
"Tizzlee",152261796,1938301,1058573,879728,120,-62,179,145,16,21,84,0,6,18,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,2
