Player,Offense,Defense,GP,Name,Squad,Viable
"Busan Kaz",1,1,150993,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Busan Kaz",1,1,107587,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Busan Kaz",0,1,129603,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Busan Kaz",0,1,144508,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Busan Kaz",,,501168,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Busan Kaz",0,1,94369,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Busan Kaz",,,375620,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Busan Kaz",0,1,123553,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Busan Kaz",1,1,114717,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"Busan Kaz",1,0,119576,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Busan Kaz",1,1,156974,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Busan Kaz",1,1,119427,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Busan Kaz",1,1,76907,Ewoks,"zChirpa G9, Elder G9, zPaploo G9, Wicket Logray G9",1
"Busan Kaz",1,1,93821,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Busan Kaz",0,1,93457,BH,"zzBossk Boba Dengar G9, Jango IG-88",1
"Busan Kaz",0,1,73075,Phoenix,"Hera G8, Sabine G8, zEzra Zeb G8, Kanan G8",1
"Busan Kaz",1,0,120492,CLS,"zzzCLS zHan Leia zzOld Ben, zzChewbacca",1
"Busan Kaz",1,0,87699,Troopers,"zVeers Starck Snowtrooper DT Stormtrooper",1
"Busan Kaz",1,1,69424,Rogue1,"Jyn G8, Chirrut G8, Baze G8, Cassian G8, K-2SO G8",1
"Busan Kaz",1,0,19848,NestSolo (Counter),"zNest",1
"Busan Kaz",1,0,51499,Jawas,"Nebit G8, Jawa Engineer G8, Jawa Scavenger G7, Jawa G9, Dathcha",0
"KnightRayden",0,1,128514,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"KnightRayden",1,1,98826,NS_Alt,"zzMT zAV Zombie Talia zDaka",1
"KnightRayden",0,1,91861,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"KnightRayden",1,1,118926,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"KnightRayden",0,1,83327,Grievous,"zzGG B2 G8, Droideka G8, MagnaGuard G8, zIG-88",1
"KnightRayden",,,437906,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"KnightRayden",1,1,140734,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"KnightRayden",1,1,91021,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"KnightRayden",1,0,102524,ShaakClones,"zzShaak Ti, zRex zEcho zFives Clone Sergeant",1
"KnightRayden",1,1,93347,Carth,"zCarth Onasi, zMission Zaalbar zJuhani zCanderous",1
"KnightRayden",0,1,108126,BH,"zzBossk zGreedo zBoba Cad zJango",1
"KnightRayden",1,1,111911,zEP,"zzEP zzzVader zzTarkin zIPD TFP G8",1
"KnightRayden",1,0,118631,Wiggs,"Wedge Biggs zzzCLS zzChewbacca zEzra",1
"KnightRayden",0,1,86459,Phoenix,"zHera Chopper zSabine zZeb G8, zKanan G8",1
"KnightRayden",1,0,19116,NestSolo (Counter),"zNest",1
"KnightRayden",0,1,121572,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 5* zzThrawn",0
"KnightRayden",1,0,66016,Traya,"Traya G8, DN G8, Sion 5* G8, zDooku Sith Assassin 6* G7",0
"KnightRayden",,,61935,Mon Mothma,"Mon Mothma 4* G8, Pao G8, Chirrut G8, Hoth Rebel Scout G8, Lando G8",0
"KnightRayden",1,0,55091,Troopers,"Veers G9, Starck G7, Snowtrooper G8, Range Trooper 3* G6, Stormtrooper G8",0
"KnightRayden",0,1,68158,FO,"KRU G8, Kylo G9, Phasma G9, FOTP FOO G8",0
"KnightRayden",1,0,57508,Jawas,"Nebit G8, Jawa Engineer 4* G8, Jawa Scavenger G8, Jawa G8, Dathcha G8",0
"Frankie",1,1,104692,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Frankie",0,1,130834,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Frankie",0,1,116660,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Frankie",,,417178,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Frankie",,,314282,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Frankie",0,1,93713,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Frankie",,,336615,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Frankie",0,1,114567,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Frankie",1,0,118536,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Frankie",1,1,95327,JTR,"zJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"Frankie",1,1,140008,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Frankie",1,1,110351,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Frankie",1,1,84511,Ewoks,"zChirpa Elder zPaploo Wicket Logray",1
"Frankie",0,1,93062,BH,"zBossk Greedo Boba Dengar Cad",1
"Frankie",1,1,90424,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Frankie",0,1,121890,FO,"zzKRU zKylo zHux FOE zFOST",1
"Frankie",1,0,96957,CLS,"zzCLS zHan Wedge Biggs zChewbacca",1
"Frankie",1,0,77716,Troopers,"zVeers Starck Snowtrooper Shoretrooper DT",1
"Frankie",0,1,73850,Phoenix,"Hera Chopper Ezra Zeb G9, Kanan G8",1
"Frankie",1,1,71242,Rogue1,"Jyn G8, Chirrut G8, Baze K-2SO G8, Pao G8",1
"Eric",0,1,145184,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Eric",0,1,131250,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Eric",1,1,113263,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Eric",,,376970,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Eric",0,1,112925,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Eric",0,1,120089,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Eric",1,0,111761,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Eric",1,1,99593,JTR,"zzzJTR Scav Rey, zBB-8 zR2-D2 Finn",1
"Eric",,,385235,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Eric",,,97862,Nute-OR,"zNute Dooku zJango zZaalbar zMission",1
"Eric",1,1,136226,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Eric",1,1,122920,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra",1
"Eric",1,1,86813,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Eric",0,1,92413,BH,"zzBossk Greedo G8, Boba Dengar IG-88",1
"Eric",0,1,102388,FO,"zzKRU zKylo zHux FOE FOO",1
"Eric",1,0,104622,CLS,"zzzCLS zHan Leia G8, Old Ben, zzChewbacca",1
"Eric",0,1,71001,Phoenix,"Hera G8, Chopper Sabine G8, Zeb Kanan G8",1
"Eric",,,72005,Mon Mothma,"zzMon Mothma 5* G9, Wedge G8, Biggs Chirrut G8, Hoth Rebel Scout G8",0
"JCB0861",1,1,148673,GL Rey,"zzzzzzRey zzChewbacca zGK zResistance Hero Poe, zResistance Hero Finn",1
"JCB0861",0,1,83751,Qira,"Qira L3-37 G8, zVandor Chewbacca G9, Mission Zaalbar",1
"JCB0861",0,1,129448,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"JCB0861",1,1,107210,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"JCB0861",,,439070,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"JCB0861",0,1,96776,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"JCB0861",,,408350,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"JCB0861",0,1,130693,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"JCB0861",1,0,118201,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
"JCB0861",1,1,151239,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"JCB0861",,,421796,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"JCB0861",1,1,126710,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"JCB0861",1,1,87951,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"JCB0861",1,0,104961,ShaakClones,"zzShaak Ti, zRex zEcho zzFives ARC Trooper G9",1
"JCB0861",0,1,109365,BH,"zzBossk zGreedo zBoba zDengar zIG-88",1
"JCB0861",0,1,95367,FO,"zzKRU zKylo FOE zFOST FOO",1
"JCB0861",1,0,117013,Wiggs,"Wedge Biggs zzzCLS zHan zzC-3PO",1
"JCB0861",0,1,82501,Phoenix,"zHera Sabine Ezra Zeb Kanan",1
"JCB0861",1,1,84166,Rogue1,"Jyn Chirrut Baze Cassian K-2SO G9",1
"JCB0861",1,0,91312,zMaul,"zMaul zDooku Sidious zSavage Sith Marauder",1
"JCB0861",1,0,99348,QGJ,"zQGJ Aayla G7, zJKA zOld Ben, zAhsoka",1
"JCB0861",1,0,71875,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha",1
"JCB0861",,,71908,Mon Mothma,"Mon Mothma 3* G8, Bodhi Rook G8, Hoth Rebel Soldier G9, Pao G8, Lando",0
"JCB0861",1,0,70750,Troopers,"Veers Starck Shoretrooper DT Range Trooper 5* G7",0
"JCB0861",0,1,83443,BH,"Jango G9, Embo G8, Aurra Zam Cad",0
"Arwkin",0,1,126779,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Arwkin",,,410237,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Arwkin",0,1,102857,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Arwkin",,,348808,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Arwkin",0,1,111747,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Arwkin",1,0,110799,Traya,"zzTraya zzDN zSion zEP zThrawn",1
"Arwkin",1,1,121185,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Arwkin",1,0,109164,ShaakClones,"zzShaak Ti, zRex Echo zzFives zARC Trooper",1
"Arwkin",1,1,93346,Ewoks,"zChirpa Elder Paploo Scout zWicket",1
"Arwkin",1,1,96304,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous G9",1
"Arwkin",0,1,108701,BH,"zzBossk zEmbo zBoba Cad zIG-88",1
"Arwkin",0,1,84479,FO,"zzKRU Kylo G9, FOE FOST G8, FOO",1
"Arwkin",0,1,78845,Phoenix,"Hera Sabine Ezra Zeb G9, Kanan",1
"Arwkin",1,0,89879,Wiggs,"Wedge G8, Biggs zzzCLS Han zFulcrum",1
"Arwkin",1,0,81583,QGJ,"QGJ G7, Aayla G8, zJKA Old Ben G9, zAhsoka",1
"Arwkin",,,356102,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 6*, Vulture Droid 6*, IG-2000",0
"Arwkin",1,1,84983,NS,"zMT G8, zzAV Daka Zombie Spirit",0
"Arwkin",,,369048,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",0
"Arwkin",,,81515,Nute-Wat,"zNute zDooku zWat Tambor 6* G8, Jango G8, zNest 5*",0
"Arwkin",1,0,66402,Troopers,"Veers G9, Starck G8, Snowtrooper G8, DT G9, Range Trooper G7",0
