Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Waldo",288837662,4122565,2442762,1679803,145,-134,151,222,72,103,181,11,23,48,69,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,13,10,8
"C3MO",777719932,4386350,2615686,1770664,147,78,64,219,95,97,182,3,27,50,91,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,16,12,7
"Easy E",221724179,4860142,2799768,2060374,135,139,107,162,61,40,198,2,15,56,85,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,14,9,8
"TB0ne",788196177,4857747,2708920,2148827,126,22,103,207,83,64,190,4,23,65,103,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,20,13,11
"Tau Beta",454169494,5578058,3231278,2346780,137,-60,173,167,94,66,199,5,22,58,110,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,19,11,9
"Chakko",191441344,4571688,2310467,2261221,102,-79,90,118,65,36,165,2,15,32,65,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,13,6,7
"Hera",429324266,4434168,2536930,1897238,133,590,283,299,73,185,164,28,36,60,78,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,13,7,7
"Apac",414568945,4902113,2862726,2039387,140,-4,220,273,97,120,183,8,30,80,105,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,19,13,9
"PrincessKitana",551729285,4906892,2917277,1989615,146,128,41,239,75,112,186,16,26,69,90,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,13,10,7
"Zynix",675754989,7025441,4078289,2947152,138,56,269,395,129,396,242,53,77,122,158,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,23,12,11
"Yoda4President",963167295,3746053,2469625,1276428,193,-48,137,307,89,111,132,5,27,66,91,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,14,11,8
"JCB0861",159913347,6168911,3581505,2587406,138,79,142,279,111,186,224,26,37,98,138,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,22,13,12
"Scrappy",297688521,4157456,2460352,1697104,144,-17,125,241,67,46,179,3,28,63,79,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,13,10,7
"Kahn",275551246,4374115,2566053,1808062,141,-160,292,325,91,187,147,23,36,69,85,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,14,10,6
"Greatfuljed I",717658145,5731635,3255123,2476512,131,-127,288,336,101,190,202,17,46,109,139,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,19,13,9
