Player,Offense,Defense,GP,Name,Squad,Viable
"ELCapitan",1,1,107415,NS,"zzMT zzAV zDaka Zombie Spirit",1
"ELCapitan",0,1,108501,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"ELCapitan",0,1,92272,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"ELCapitan",0,1,96006,Grievous,"zzGG B2 MagnaGuard zNute zDooku",1
"ELCapitan",1,1,88687,Ewoks,"zChirpa Elder zPaploo Wicket Logray",1
"ELCapitan",0,1,100942,BH,"zzBossk Cad Boba Dengar Greedo",1
"ELCapitan",1,0,94407,Clones,"zCody Rex zEcho zFives ARC Trooper",1
"ELCapitan",0,1,104702,FO,"zzKRU zKylo Phasma FOO FOE",1
"ELCapitan",1,0,111887,CLS,"zzzCLS zHan Leia zzOld Ben, zzChewbacca",1
"ELCapitan",0,1,77451,Phoenix,"Hera G9, Ezra Chopper Zeb Kanan",1
"ELCapitan",1,0,95192,Zader (Counter),"zzVader zTarkin Sidious G9, Sith Empire Trooper, Stormtrooper G9",1
"ELCapitan",1,0,20842,SionSolo (Counter),"zSion",1
"ELCapitan",1,0,19056,NestSolo (Counter),"zNest",1
"ELCapitan",0,1,68551,BH,"Jango G9, Greef Karga 4*, The Mandalorian 4* G9, Embo 3* G8, IG-88",0
"ELCapitan",1,0,63394,Troopers,"Veers Starck Snowtrooper G9, Admiral Piett 3* G7, Shoretrooper 3* G7",0
"ELCapitan",1,0,52179,Jawas,"Nebit G6, Jawa Engineer 4* G7, Jawa Scavenger G8, Jawa G9, Dathcha G9",0
"Gauch",0,1,132952,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Gauch",0,1,120362,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Gauch",,,415767,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
