Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Auchris",224177887,1849210,1192368,656842,181,55,50,31,15,4,72,0,1,4,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
"jack4 and jack3",145589357,5350122,3105289,2244833,138,-118,293,323,105,190,180,19,41,94,102,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,16,11,9
"reemil10",787775939,4652411,2879639,1772772,162,-166,399,283,112,169,166,17,39,59,105,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,15,11,10
"ELCapitan",765387381,4425497,2613732,1811765,144,-121,244,119,64,19,139,3,3,46,92,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,12,8,6
"Icyshadowz26",767521765,2943380,1774299,1169081,151,-57,95,113,56,12,98,0,4,27,51,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,7,6,3
"Krooked",115786486,4142582,2425963,1716619,141,-13,111,126,68,21,177,0,11,37,66,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,13,10,6
"Jefe",843154652,4982500,2917744,2064756,141,83,229,197,88,98,199,11,22,57,90,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,20,14,10
"Kya Skyff",664861787,3985983,2295580,1690403,135,-154,34,162,52,84,156,11,18,30,65,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,8,5,6
"Seasu Gohay",241156488,5554822,3240495,2314327,140,-13,305,185,107,61,190,4,15,76,115,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,19,13,10
"CFall87",575596166,1609406,1006864,602542,167,152,99,44,12,6,70,0,2,4,20,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
"The Grillmaster spud",116222941,3280937,1976568,1304369,151,-42,80,138,72,53,115,7,8,27,54,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,7,5
"Anraeth Grim",496673158,4009790,2282772,1727018,132,2,83,215,46,23,171,0,9,73,95,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,16,11,9
"Biuejed",478284627,2731807,1690967,1040840,162,-172,100,194,47,35,106,2,12,34,61,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,8,6,5
"Blackivarr",768322548,3618303,2140038,1478265,144,146,182,88,42,35,147,5,6,19,51,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,4,6
"MattBerg757",864968452,5512853,3211538,2301315,139,-54,348,187,105,93,208,12,20,65,113,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,18,12,10
"Drew",177465895,3137927,1913995,1223932,156,-16,62,118,34,36,117,3,9,21,51,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,10,8,4
"Sotiri",156727472,5059701,2937839,2121862,138,77,268,274,111,165,178,21,36,70,102,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,17,11,8
"N'RG Theef",316225128,4561298,2507859,2053439,122,29,87,203,77,43,188,3,15,69,82,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,16,12,9
"Dark Helmet",693159347,5017429,2892779,2124650,136,64,58,187,93,56,188,3,16,67,97,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,19,13,11
"chinpokomon",329251861,5739121,3334458,2404663,138,87,167,197,107,128,221,22,24,64,128,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,23,13,13
