Player,Offense,Defense,GP,Name,Squad,Viable
"Luckysandwich",0,1,139768,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Luckysandwich",,,446683,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Luckysandwich",1,0,108475,CLS,"zzzCLS zHan zzChewbacca zR2-D2 Old Ben",1
"Luckysandwich",0,1,97609,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper 8, Sith Assassin 8",1
"Luckysandwich",,,392920,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Luckysandwich",0,1,90926,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Luckysandwich",0,1,119553,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Luckysandwich",1,0,127903,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
"Luckysandwich",,,87001,Disintegration,"Aurra Greef Karga 8, Boba zzBossk The Mandalorian 8",1
"Luckysandwich",1,1,104654,GAS,"zzzzGAS zRex zEcho (501st), zzFives ARC Trooper 8",1
"Luckysandwich",1,1,110338,Revan Offense,"zzzJKR zGMY zBS zJolee HYoda",1
"Luckysandwich",1,1,78282,Ewoks,"zChirpa 9, Elder Paploo Wicket Logray",1
"Luckysandwich",1,1,91926,Carth,"zCarth Onasi, zMission zZaalbar Juhani 9, zCanderous",1
"Luckysandwich",0,1,79410,FO,"zKRU Kylo FOO FOE 9, FOST 9",1
"Luckysandwich",1,0,110635,Troopers,"zVeers zStarck zzAdmiral Piett, Shoretrooper DT",1
"Luckysandwich",0,1,76278,Phoenix,"Hera 9, Kanan 8, zEzra Zeb 8, Sabine",1
"Luckysandwich",1,1,79113,Rogue1,"Jyn Chirrut Baze 8, K-2SO 9, Cassian",1
"Luckysandwich",1,0,127195,zMaul,"zMaul zDooku zSidious zSavage Sith Marauder",1
"Luckysandwich",1,0,18543,NestSolo (Counter),"zNest",1
"Luckysandwich",,,302240,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 4*, Vulture Droid 3*, IG-2000",0
"Luckysandwich",1,1,82176,NS,"MT zzAV Daka Zombie Spirit 8",0
