Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Loken",785127428,5194904,2905393,2289511,126,-150,392,337,104,197,213,26,49,87,99,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,16,12,8
"Supconq",452942447,3218754,1716967,1501787,114,-85,273,326,30,171,105,26,31,40,56,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,11,8,6
"Spaceman Spiff",815112369,5120675,2814296,2306379,122,-90,383,302,106,205,169,22,42,72,107,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,17,12,8
"Galatea Griffiths III",782394594,7196078,4261816,2934262,145,34,192,409,129,434,240,56,85,123,156,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,22,11,9
"Thexder",922134598,5195036,2894047,2300989,125,-14,89,264,101,111,204,8,40,75,97,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,18,10,9
"Suav3NaNav3",379538155,2222368,1416203,806165,175,124,324,303,47,102,85,15,19,28,40,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5
"Kimsey",381189146,5421573,3249132,2172441,149,-229,230,308,128,191,188,20,46,83,108,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,16,10,8
"Justaginger",367183516,5747785,3390460,2357325,143,-236,286,298,125,233,213,33,46,79,109,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,15,9,8
"Cisero The Merciful",684834753,4594422,2508936,2085486,120,-286,111,279,76,198,164,27,39,50,69,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,12,9,7
"Beans11235",588476775,6308823,3805769,2503054,152,-93,120,313,105,314,215,42,62,73,120,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,19,9,10
"Luckysandwich",651742735,5532863,3176326,2356537,134,-112,78,210,82,103,221,12,23,73,104,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,19,11,10
"matarife",721677634,5737753,3331383,2406370,138,-158,345,276,126,159,221,15,45,82,122,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,18,11,10
"First Hokage",399946489,3118863,1933397,1185466,163,-355,227,331,53,162,105,21,31,40,53,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,9,5,4
"JohnnyKills",659415855,3422403,1984148,1438255,137,-114,262,286,74,125,113,16,27,46,74,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,14,12,6
"Keanu Reeves",725431872,3577389,2081828,1495561,139,-213,249,258,71,92,130,11,20,54,85,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,13,8,7
"Spidey",333234284,6078319,3439471,2638848,130,-80,206,286,126,207,215,24,47,86,124,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,21,13,12
"Nomad",153365148,4361192,2730926,1630266,167,130,292,387,101,221,158,25,50,75,99,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,17,11,7
"Brownie the Elf",259229473,4232491,2345381,1887110,124,-373,336,343,78,216,163,36,42,60,71,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,15,11,7
"Durhamj92",996837822,4411416,2695539,1715877,157,-77,126,200,78,108,178,14,24,43,81,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,16,12,9
"Nam Gordo",112364723,3610668,1934995,1675673,115,118,144,189,41,92,152,16,17,33,43,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,8,7
"Walker",618416781,5473965,3077144,2396821,128,-154,204,281,97,155,220,15,42,81,106,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,18,11,10
"DUNNBY",452179375,5718849,3310698,2408151,137,-167,72,255,112,182,206,12,46,64,98,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,18,10,9
"M",158831224,6382157,3711063,2671094,138,-4,317,291,132,254,225,27,55,80,109,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,19,12,9
"Trufra Cadav",114174812,4343058,2566919,1776139,144,-39,93,263,72,152,168,22,33,51,94,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,14,9,8
"Namdrah",918996792,5863928,3279267,2584661,126,-142,91,274,119,154,202,14,33,97,129,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,19,12,8
"old man ben",526642674,5308712,3157545,2151167,146,-225,186,298,112,197,207,20,45,74,107,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,21,13,13
"TigerTonksie",324573616,4622420,2611955,2010465,129,47,95,189,64,93,188,9,24,45,67,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15,10,7
"Chewpucka",796596261,2714729,1581703,1133026,139,45,113,162,31,55,96,8,13,20,37,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,8,7,3
"Hel",264883618,4518970,2620426,1898544,138,-275,160,188,64,116,160,15,22,40,70,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,10,9,6
"Mol Kotanner",329911484,4665306,2785488,1879818,148,-9,247,345,87,207,183,29,45,75,106,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,15,11,6
"KBR04DY",333368581,4791741,2790285,2001456,139,-88,211,236,97,141,172,21,29,56,102,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,18,14,11
"darh tsompanis",214955713,3578149,1984472,1593677,124,-459,272,238,70,117,133,17,26,36,62,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,11,8,6
"Dogfrog",838326216,6239082,3691317,2547765,144,-75,116,295,122,237,219,31,54,83,119,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,19,12,10
"MastrYoda",929317914,3543873,2084704,1459169,142,171,62,322,42,161,125,24,30,52,66,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,7,4,4
"Elo Ren",721562374,5443959,3100113,2343846,132,-53,174,180,91,117,206,17,24,51,80,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,18,11,9
"Sols",596926765,6276738,3684092,2592646,142,110,127,244,125,167,237,19,39,81,127,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,23,14,9
"Delmon Enz",271397965,5470621,3123651,2346970,133,-34,105,273,112,153,208,17,41,78,105,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,19,14,10
"CptKixButt",494577223,6438640,3693609,2745031,134,-103,441,401,121,377,241,55,76,107,126,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,20,13,10
"truestoppa",479549299,5857233,3355069,2502164,134,-85,274,285,102,197,227,19,45,83,104,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,19,11,10
"Hondo Ohnaka",748769557,2925587,1741863,1183724,147,-348,195,248,33,119,106,17,23,26,36,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,7,4,4
"Worsenary",664115823,5356373,3058725,2297648,133,-47,114,297,103,146,231,14,50,80,104,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,19,12,9
"GrandMastrYoda",752493964,5410013,3195762,2214251,144,-5,422,464,106,401,187,59,76,95,112,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,16,8,8
"MnBearPig",513683225,5281615,3201486,2080129,153,-134,59,215,98,168,186,24,31,49,85,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,12,8,7
"MINI Donte",334467939,5273343,3056847,2216496,137,-46,104,241,70,207,206,36,36,50,88,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,17,9,10
"Fallen",149328852,5818280,3386483,2431797,139,33,141,310,116,258,202,25,46,83,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,18,12,10
"Purple Jacket",887813189,4450457,2997595,1452862,206,-228,270,499,110,341,154,47,61,93,104,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,14,9,10
"Echo 'Grogu' Falls",432152131,4194849,2343162,1851687,126,-60,166,150,78,61,196,6,17,34,58,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,8,7
