Player,Offense,Defense,GP,Name,Squad,Viable
"stewaf",0,1,97388,padme,"zPadme zGK zJKA zAhsoka zC-3PO",1
"stewaf",1,1,89035,JTR,"zzJTR Scav Rey, BB-8 9, zR2-D2 Finn",1
"stewaf",,,95244,Nute-OR,"zNute zDooku Jango zZaalbar zMission",1
"stewaf",1,1,127673,Revan Offense,"zzzJKR zzGMY BS zJolee zzHYoda",1
"stewaf",1,1,94477,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"stewaf",0,1,98716,BH,"zzBossk Dengar zBoba Greedo Cad",1
"stewaf",0,1,77321,Phoenix,"Hera Sabine Zeb Ezra Kanan",1
"stewaf",1,0,91843,Wiggs,"Wedge Biggs zCLS Han zzChewbacca",1
"stewaf",1,0,85733,Wampa (Counter),"Rex 8, zzWampa DT Krennic Jyn 9",1
"stewaf",1,0,96268,EP (Traya),"zEP Traya zDN Sith Empire Trooper, zzVader",1
"stewaf",1,0,19143,SionSolo (Counter),"zSion",1
"stewaf",0,1,112504,DRMalak,"zzDR HK-47 zBSF zzMalak Sith Assassin",0
"stewaf",1,1,79875,NS,"zMT zAV zDaka 9, Zombie Spirit 4",0
"stewaf",,,312727,Raddus,"Raddus 4* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"stewaf",1,0,56687,Troopers,"Veers 7, Starck 7, Snowtrooper 8, Stormtrooper 5, Magma 5",0
"stewaf",0,1,67277,FO,"KRU 8, zKylo FOTP 6, FOSFTP 7, Phasma 9",0
"SLObinger",1,1,117882,NS,"zzMT zAV Daka Zombie Spirit",1
"SLObinger",0,1,149583,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"SLObinger",0,1,150906,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"SLObinger",1,0,136229,CLS,"zzCLS zHan zzChewbacca zR2-D2 Old Ben",1
"SLObinger",,,432941,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"SLObinger",,,469514,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"SLObinger",0,1,103627,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"SLObinger",1,0,138644,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"SLObinger",0,1,136180,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"SLObinger",,,117218,Mon Mothma,"zzMon Mothma, Wedge zPao Bistan Hoth Rebel Scout",1
"SLObinger",1,1,152366,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"SLObinger",1,1,89737,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"SLObinger",1,0,150446,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"SLObinger",0,1,125673,BH,"zBossk IG-88 Dengar Boba Greedo",1
"SLObinger",1,1,89520,Carth,"zCarth Onasi, Mission Zaalbar Juhani Canderous",1
"SLObinger",0,1,125217,FO,"zzKRU zKylo FOE FOO FOST",1
"SLObinger",0,1,91687,Phoenix,"Hera Sabine Zeb zEzra zKanan",1
"SLObinger",1,0,81227,Troopers,"Veers Starck 8, Range Trooper 9, Shoretrooper Moff Gideon",0
"SLObinger",0,1,78793,BH,"Jango The Mandalorian, Zam 8, Greef Karga, Cad",0
"SLObinger",1,1,49589,Rogue1,"Jyn 5* 8, Chirrut 5* 8, Baze 5* 8, K-2SO 8, Cassian 8",0
"Mol Eliza",0,1,70469,Phoenix,"Hera Sabine 8, Zeb 8, Ezra Kanan 8",1
"Mol Eliza",0,1,76785,BS,"BS zzGMY Jolee 8, Old Ben 6* 8, Ahsoka",0
"Howling Mad",1,1,103679,NS_Alt,"zzMT zzAV Talia Zombie zDaka",1
"Howling Mad",0,1,115639,BH,"zzBossk zDengar zBoba zzAurra Cad",1
"Howling Mad",0,1,98278,Phoenix,"zHera zSabine zZeb zEzra Kanan",1
"Howling Mad",1,0,98075,Wiggs,"Wedge 9, Biggs zzzCLS zHan zzChewbacca",1
"Howling Mad",1,0,72056,Troopers,"zVeers Starck 8, Snowtrooper 9, Stormtrooper 7, Magma 7",1
"Howling Mad",1,1,67178,Ewoks,"Chirpa 5* 9, Elder Paploo 9, Teebo 9, Scout 9",0
"Howling Mad",1,1,42443,Carth,"Carth Onasi 3* 6, Mission 5* 8, Zaalbar 4* 8, Juhani 3* 6, Canderous 4* 7",0
"Howling Mad",1,1,108645,zEP,"zzEP zzzVader zzTarkin TFP BSF 6* 8",0
"Howling Mad",0,1,63089,BS,"zBS 5* 7, zGMY Jolee 5* 8, GK 1, Ahsoka 9",0
"Howling Mad",0,1,68441,FO,"KRU 9, Kylo 8, FOTP 9, FOSFTP 7, Phasma 7",0
"Howling Mad",1,0,59509,IG88,"IG-88 GG 6* 5, BB-8 T3-M4 5* 7, L3-37 4* 6",0
"Keyani",0,1,104537,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper 8, Sith Assassin",1
"Keyani",1,1,98599,NS_Alt,"zzMT zzAV Talia Zombie zDaka",1
"Keyani",,,331647,HansMF,"Home One, Han's MF 5*, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Keyani",1,1,137435,JTR,"zzzJTR zzR2-D2 zzBB-8 zResistance Hero Finn, zResistance Hero Poe",1
"Keyani",0,1,89369,Grievous,"zzGG B2 zDroideka 9, MagnaGuard 9, zzT3-M4",1
"Keyani",1,1,119059,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Keyani",1,1,87049,Ewoks,"zChirpa Elder zPaploo Wicket Logray",1
"Keyani",1,1,99726,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Keyani",0,1,106325,BH,"zzBossk zDengar zBoba Zam zzJango",1
"Keyani",1,1,99932,zEP,"zzEP zzzVader Tarkin 9, TFP 9, zzDN",1
"Keyani",1,0,80616,501st,"Rex Clone Sergeant, Echo (501st), Fives Ahsoka",1
"Keyani",0,1,94339,Phoenix,"zHera zSabine zZeb zEzra zKanan",1
"Keyani",1,0,81242,Wiggs,"Wedge 8, Biggs 8, zzzCLS Han Leia",1
"Keyani",0,1,86908,FO,"zzKRU zKylo FOO 9, FOST 8, zPhasma",1
"Keyani",1,0,69956,Thragma (Counter),"zzThrawn Magma 7, DT 8, Stormtrooper 8, Shoretrooper 8",1
"Keyani",1,1,85563,Rogue1,"zzJyn Chirrut Baze K-2SO 8, Cassian",1
"Keyani",1,0,14919,SionSolo (Counter),"Sion 9",1
"Keyani",0,1,63279,Geonosians,"GBA 8, Sun Fac 7, Geo Soldier, Geo Spy 8, Poggle",0
"Keyani",,,321220,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper 5*, Imperial TIE Fighter, Gauntlet Starfighter 6*, First Order SF TIE Fighter, First Order TIE Fighter",0
"Keyani",,,61012,Mon Mothma,"Mon Mothma 3* 8, Pao 8, Lando Hoth Rebel Scout 9, Hoth Rebel Soldier 9",0
"Keyani",1,0,52725,Troopers,"Veers 8, Starck 7, Snowtrooper 8, Range Trooper 4* 8, Moff Gideon 3* 8",0
"Keyani",1,0,57595,Jawas,"Nebit 8, Jawa Engineer 8, Jawa Scavenger 7, Jawa 8, Dathcha 9",0
