Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"ba",996868948,3589768,2065233,1524535,135,-6,67,152,57,73,143,10,15,25,44,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,2
"Alysha Doneeta",281768229,3452996,2124382,1328614,159,-14,47,111,41,27,139,1,12,21,56,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,6
"Keyani",255621261,4960919,2972263,1988656,149,47,74,139,84,65,197,9,13,43,91,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,17,12,11
"Howling Mad",192722338,2865037,1623622,1241415,130,-170,98,101,40,6,103,0,2,26,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,3
"kettyKen",782759277,319205,208824,110381,189,13,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lailahcat",399452383,2110913,1308259,802654,162,-108,30,126,12,9,93,0,6,19,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"salads",715863786,638843,394725,244118,161,-343,25,0,0,0,22,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Mandalorians Finest",947739419,4729029,2621070,2107959,124,-195,68,113,88,69,145,11,14,26,56,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8,6,2
"Mr Poopybutthole",367182649,3251593,1920213,1331380,144,14,104,177,60,64,118,1,19,26,45,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,4
"BorgPorg",343431558,4198446,2520942,1677504,150,48,11,46,22,8,194,1,2,16,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,3,6
