Player,Offense,Defense,GP,Name,Squad,Viable
"MIL2F NOW",1,1,105230,NS_Alt,"zzMT zzAV Talia zDaka Zombie",1
"MIL2F NOW",,,321367,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"MIL2F NOW",1,1,109029,Revan,"zzzJKR zBS zGMY zJolee zGK",1
"MIL2F NOW",0,1,119786,BH,"zzJango zzThe Mandalorian, zDengar zBoba zzBossk",1
"MIL2F NOW",0,1,84936,Phoenix,"zHera zSabine Kanan G9, Zeb G8, zEzra",1
"MIL2F NOW",1,0,91579,Wiggs,"Wedge Biggs G8, zzzCLS zHan zLeia",1
"MIL2F NOW",1,1,109297,zEP,"zzEP zzzVader zzTarkin zDooku TFP G9",1
"MIL2F NOW",0,1,87526,FO,"zzKRU zKylo FOTP FOO G8, FOSFTP G9",1
"MIL2F NOW",1,0,12819,SionSolo (Counter),"Sion G9",1
"MIL2F NOW",1,1,78069,JTR,"JTR G7, Scav Rey, BB-8 G8, zzR2-D2 Finn G9",0
"MIL2F NOW",0,1,70256,Grievous,"zGG B2 G5, MagnaGuard G7, IG-88 T3-M4 G7",0
"MIL2F NOW",1,1,56009,Ewoks,"Chirpa 6* G7, Elder G8, Paploo G6, Teebo G8, Scout G7",0
"MIL2F NOW",1,0,61301,501st,"Rex G7, ARC Trooper G8, Echo G3, Fives G9, Ahsoka G8",0
"MIL2F NOW",1,0,56792,Troopers,"Veers G9, Starck G6, Stormtrooper G7, Snowtrooper G9, Admiral Piett 3* G7",0
"Darthtim",0,1,97637,Grievous,"zzGG zB2 MagnaGuard G9, zDooku zIG-88",1
"Darthtim",1,1,101540,Ewoks,"zChirpa Elder zPaploo Teebo zWicket",1
"Darthtim",0,1,105220,BH,"zzBossk zDengar zBoba Greedo Cad",1
"Darthtim",0,1,89730,Phoenix,"Hera Sabine Kanan Zeb Ezra",1
"Darthtim",1,0,94009,Wiggs,"Wedge Biggs G9, zzzCLS zHan Leia",1
"Darthtim",0,1,103183,padme,"zzPadme zGK zJKA zAhsoka Fives G9",1
"Darthtim",0,1,86101,FO,"zzKRU Kylo FOO FOSFTP G9, Phasma G9",1
"Darthtim",1,0,109147,Traya,"zzTraya zzDN 6* Sion 6* G9, zzEP zzThrawn",0
"Darthtim",1,1,100637,JTR,"zJTR G8, zScav Rey, zzBB-8 zzR2-D2 Finn",0
"Darthtim",1,1,68918,NS,"MT 6* G8, zAV Daka G9, Zombie 6* Spirit G7",0
"Darthtim",1,1,70474,Carth,"Carth Onasi 6*, Mission 5* Zaalbar 6* Juhani 5* Canderous 5*",0
"Darthtim",0,1,46109,BH,"Jango 4* Zam 6* G5, The Mandalorian 3* G6, Embo 3* G8, Aurra 4* G7",0
"Darthtim",1,0,90840,Zader (Counter),"zzzVader Wampa 6* G5, zzTarkin Sidious Stormtrooper G7",0
"Space Station Middle Finger",0,1,142371,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Space Station Middle Finger",0,1,131533,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Space Station Middle Finger",0,1,94687,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Space Station Middle Finger",1,1,129408,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Space Station Middle Finger",1,1,129352,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"Space Station Middle Finger",1,1,93783,Ewoks,"zChirpa Elder zPaploo Wicket zLogray",1
"Space Station Middle Finger",0,1,131512,BH,"zzJango zZam zDengar zBoba zzBossk",1
"Space Station Middle Finger",1,1,100375,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Space Station Middle Finger",1,0,123526,CLS,"zzzCLS zHan Leia zzOld Ben, zzChewbacca",1
"Space Station Middle Finger",0,1,94578,FO,"zzKRU zKylo FOE FOO Phasma",1
