Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"DatGuyHigh",315922489,3242925,1890254,1352671,139,-190,111,107,47,39,126,3,9,18,42,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,5
"Hadriel Jetberg",945359717,3787293,2235800,1551493,144,-74,143,192,77,60,153,7,15,46,76,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,12,8,5
"Celeb",147333853,5011160,2900494,2110666,137,156,196,292,65,163,203,22,34,80,117,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,20,14,13
"GIJoe1988",992354276,4488077,2729387,1758690,155,-17,106,120,72,35,172,1,12,35,70,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,13,11,7
"Areki Mawr",258963642,4653758,2808606,1845152,152,235,160,243,71,146,159,20,30,54,80,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,10,4,3
"Notorious",561653138,4229638,2488961,1740677,142,-201,184,243,83,109,157,9,27,54,90,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,16,11,10
"Shewy",822681348,5431513,3223061,2208452,145,71,145,271,100,151,193,19,33,84,111,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,17,13,9
"bryanb",234158394,4954427,2880244,2074183,138,-76,166,185,89,94,198,7,23,50,106,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,18,13,8
"Guill118",932325566,5970624,3411382,2559242,133,80,448,268,103,161,218,17,43,85,112,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,22,14,12
"Balakay",621546373,5492750,3234274,2258476,143,86,204,316,99,204,204,20,49,84,123,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,21,12,11
"Wborobaggins",838378747,5245608,2866920,2378688,120,-324,101,208,82,157,181,22,31,47,79,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,16,9,9
"Tree11",143655265,5810382,3224664,2585718,124,9,440,341,97,281,212,30,61,81,101,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,19,11,7
"Uvad Squirl",868679139,4542324,2678033,1864291,143,64,313,269,94,133,182,23,26,70,101,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,17,11,9
"Char Nimbus",968922433,5935627,3398565,2537062,133,89,147,225,111,130,229,15,28,80,129,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,25,13,11
"Aldershot",329714956,5405631,3098777,2306854,134,-75,145,207,96,85,208,5,22,73,115,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,22,14,11
"DrGMargo7",362873238,5308590,3021647,2286943,132,-91,211,268,102,144,182,11,36,78,113,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,17,11,9
"Dwreck",333786422,3779140,2326034,1453106,160,-14,55,50,46,5,176,0,2,16,82,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,18,13,10
"Stu McGree",659723461,4514052,2623402,1890650,138,88,141,241,98,91,182,6,26,65,91,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,12,7,6
"Aynida Ghiobb",936233587,4305218,2403564,1901654,126,-415,253,279,84,141,170,20,28,64,82,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,14,10,8
