Player,Offense,Defense,GP,Name,Squad,Viable
"Algandar",1,1,101597,NS,"zAV zzMT zDaka Zombie Talia",1
"Algandar",0,1,145149,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Algandar",0,1,112737,GG-Wat,"zzGG zB1 zB2 zWat Tambor, zMagnaGuard",1
"Algandar",0,1,102700,DRMalak,"zzzDR HK-47 zBSF zzMalak Thrawn G9",1
"Algandar",,,494371,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Algandar",1,0,134398,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Algandar",,,352926,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Algandar",0,1,102120,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Algandar",,,365009,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Algandar",1,0,109222,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Algandar",,,334430,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Algandar",1,1,156757,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Algandar",1,1,118504,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"Algandar",1,1,97698,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Algandar",0,1,98597,BH,"zzBossk Greedo IG-88 Boba Dengar",1
"Algandar",1,1,87700,Carth,"zCarth Onasi, zMission Zaalbar Juhani G8, Canderous",1
"Algandar",0,1,68294,Phoenix,"Hera G8, Ezra G8, Zeb G8, Sabine G8, Kanan G8",1
"Algandar",1,0,88012,Troopers,"zVeers zStarck Shoretrooper DT Snowtrooper",1
"Algandar",1,1,92761,Rogue1,"zJyn Chirrut Baze Cassian zK-2SO",1
"Algandar",0,1,81948,FO,"KRU G8, zKylo zFOST zPhasma FOO",0
"Algandar",1,0,57185,Jawas,"Nebit G8, Jawa Engineer G8, Jawa Scavenger G7, Jawa G9, Dathcha G9",0
"Musical XP",1,1,106635,NS,"zzAV zzMT zDaka Zombie Spirit",1
"Musical XP",0,1,98095,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Musical XP",0,1,145088,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Musical XP",0,1,127889,GG-Wat,"zzGG zB1 zB2 zWat Tambor, zMagnaGuard",1
"Musical XP",0,1,132221,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Musical XP",1,0,132747,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zOld Ben",1
"Musical XP",,,124265,Nute-Sep,"zNute zDooku zzJango zNest zDroideka",1
"Musical XP",,,449726,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Musical XP",0,1,93013,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Musical XP",1,0,125136,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"Musical XP",1,1,140974,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Musical XP",1,1,98380,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Musical XP",1,0,110404,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"Musical XP",0,1,109494,BH,"zzBossk Cad zZam zBoba zDengar",1
"Musical XP",0,1,91637,FO,"zzKRU zKylo FOST G8, FOE FOO",1
"Musical XP",1,0,93879,Troopers,"zVeers Starck Range Trooper G9, Shoretrooper zDT",1
"Musical XP",0,1,88563,Phoenix,"Hera zEzra Zeb Sabine Kanan",1
"Musical XP",1,1,95504,Rogue1,"zzJyn Chirrut Baze zCassian K-2SO G9",1
"Musical XP",1,0,94465,zMaul,"zMaul zSidious Sith Assassin, zSavage Sith Marauder",1
"Musical XP",1,0,72978,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha",1
"Musical XP",,,423757,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 5*, First Order TIE Fighter",0
"Musical XP",,,82441,Mon Mothma,"Mon Mothma 4* G8, Lando Biggs Wedge Bistan G8",0
"Pokey",1,1,102633,NS,"zzAV zMT zDaka Zombie Spirit",1
"Pokey",1,1,153392,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Pokey",0,1,132150,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Pokey",0,1,141032,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Pokey",0,1,119225,GG-Wat,"zzGG zB1 zB2 zWat Tambor, zMagnaGuard",1
"Pokey",,,467363,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Pokey",1,0,132608,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zStormtrooper Han",1
"Pokey",,,347358,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Pokey",,,105412,Nute-Sep,"zNute zDooku zzJango zNest G9, zDroideka",1
"Pokey",0,1,101176,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Pokey",,,409889,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Pokey",,,409269,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Pokey",1,1,145643,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Pokey",1,1,121989,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Pokey",1,1,84180,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Pokey",1,1,93858,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Pokey",0,1,99785,BH,"zzBossk Cad Greedo zBoba Dengar G9",1
"Pokey",1,1,113105,zEP,"zzEP zzzVader zTarkin IPD TFP G8",1
"Pokey",0,1,90301,Phoenix,"zHera zEzra Zeb G9, zSabine zKanan",1
"Pokey",1,1,83973,Rogue1,"zJyn Chirrut Baze Cassian G8, K-2SO G9",1
"Pokey",1,0,19444,SionSolo (Counter),"zSion",1
"Pokey",,,85826,Mon Mothma,"zzMon Mothma 4* G9, Lando Biggs Pao G8, Wedge",0
"Pokey",1,0,72112,Troopers,"Veers Starck G9, Shoretrooper G9, DT Snowtrooper G8",0
"Pokey",1,0,62552,Jawas,"Nebit G8, Jawa Engineer G7, Jawa Scavenger G7, Jawa G8, Dathcha G8",0
"Andrew",1,1,102404,NS,"zzAV zMT zDaka Zombie Spirit",1
"Andrew",0,1,94909,Qira,"Qira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Andrew",0,1,136535,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Andrew",0,1,123332,GG-Wat,"zzGG zB1 zB2 zWat Tambor, zMagnaGuard",1
"Andrew",0,1,109807,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
