Player,Offense,Defense,GP,Name,Squad,Viable
"Ego3",1,1,98987,Revan Offense,"zzzJKR GMY BS zJolee Ezra",1
"Ego3",1,0,80505,Zader (Counter),"zzVader Mission G8, Zaalbar G8, Tarkin G8, Boba G9",1
"Ego3",1,0,77942,501st,"zRex ARC Trooper 5* G7, Echo Fives G9, Ahsoka",0
"Ego3",0,1,61844,Phoenix,"Hera G8, Sabine 5* G8, Kanan G8, Zeb G8, Chopper G8",0
"Bellanoche",,,350122,HansMF,"Home One, Han's MF 5*, HT 6* Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Bellanoche",1,1,122663,Revan,"zzzJKR zBS zzGMY zJolee zGK G8",1
"Bellanoche",0,1,109474,BH,"zzJango zDengar zBoba IG-88 zzBossk",1
"Bellanoche",1,1,65401,Carth,"Carth Onasi G8, Mission G8, Zaalbar G8, Juhani G8, Canderous G8",1
"Bellanoche",1,0,110302,CLS,"zzzCLS zHan zLeia zOld Ben, zzChewbacca",1
"Bellanoche",0,1,87464,Phoenix,"zHera zKanan Zeb G8, Chopper Ezra",1
"Bellanoche",1,1,83033,JTR,"zzJTR G9, Scav Rey, zBB-8 G9, R2-D2 G7, Finn G9",0
"Bellanoche",0,1,71288,Grievous,"GG B2 G8, Droideka G8, MagnaGuard G8, Dooku",0
"Bellanoche",1,1,61993,NS,"MT 5* G8, AV Daka Zombie 6* G8, Spirit 6* G8",0
"Bellanoche",,,55216,Mon Mothma,"Mon Mothma 3* G8, zCara Dune 5* G8, Biggs G8, Cassian G8, Wedge G8",0
"Bellanoche",1,1,68365,Ewoks,"Chirpa Elder Paploo G7, Teebo G8, Logray G9",0
"Bellanoche",1,1,81913,zEP,"zEP zzzVader Tarkin G8, DT 5* G8, TFP 6* G8",0
"Bellanoche",1,0,62221,501st,"Rex G8, Clone Sergeant G8, Echo Fives G9, Ahsoka G8",0
"Bellanoche",1,0,41054,Troopers,"Veers 5* G8, Starck G4, Stormtrooper G8, Snowtrooper G8, Shoretrooper 5* G8",0
"Bellanoche",1,1,44064,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Bodhi Rook G8, K-2SO G9",0
