Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Dadja",513761239,4253890,2540780,1713110,148,-27,62,125,63,31,136,2,9,38,74,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,4
"G Reaper",135851516,736933,558710,178223,313,-70,35,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Fugawe",677327867,4924184,2843355,2080829,136,-56,116,209,70,96,172,14,18,66,92,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,16,9,9
"Hî",997346837,2396484,1546485,849999,181,-90,45,81,17,13,76,0,5,12,49,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1
"Grandola Paca",715376443,2379984,1414439,965545,146,305,42,54,24,0,97,0,0,13,31,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,3
"JesusFreak",548679439,2908893,1805881,1103012,163,379,132,161,26,60,95,6,12,23,43,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3
"Dogface",722313731,3959952,2416912,1543040,156,-43,111,143,50,45,151,2,14,34,69,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,7
"Ceth Senpai",497849423,2344856,1390167,954689,145,-108,35,87,21,13,58,2,2,16,30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1
"Jue",716123395,1663572,1065256,598316,178,-10,159,135,12,23,73,3,6,12,30,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"hardlooks",316414764,2350586,1508150,842436,179,-284,39,59,11,5,86,1,1,12,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,4
"Ash10",276822185,2298930,1479742,819188,180,-28,182,121,26,25,67,2,8,15,30,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1
"Vlad the Impaler",968151115,1696450,977280,719170,135,112,30,42,10,6,71,0,2,4,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Captainblinx",613873926,2176105,1385396,790709,175,-51,36,118,21,29,77,5,5,15,28,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"Luka Ren",342622913,2484731,1514977,969754,156,-44,85,53,27,12,85,2,2,9,22,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3
"Dani Vao",435684793,3566040,2118185,1447855,146,-82,94,189,64,52,122,7,11,46,65,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,8,5
"Call Me Mando",451998367,2822686,1663526,1159160,143,-38,144,80,29,23,90,3,5,13,30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0
"Zack g",133311619,5576107,3315755,2260352,146,105,108,208,105,131,222,13,28,62,97,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,19,14,9
"Mol Chod",748559391,4982476,2989764,1992712,150,136,86,191,63,106,198,16,21,53,79,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,15,9,9
