Player,Offense,Defense,GP,Name,Squad,Viable
"CommanderVanto",0,1,123122,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO G8",1
"CommanderVanto",0,1,84406,Grievous,"zzGG G9, zB2 G8, zB1 zDroideka G8, MagnaGuard G8",1
"CommanderVanto",1,0,89020,Traya,"zzTraya zDN G8, zSion Sith Empire Trooper G8, zNest",1
"CommanderVanto",1,1,87243,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"CommanderVanto",1,0,117123,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"CommanderVanto",0,1,82653,BH,"zBossk Greef Karga G8, IG-88 G9, Jango Boba G8",1
"CommanderVanto",0,1,62525,Phoenix,"Hera G8, Zeb G8, Ezra G8, Chopper G8, Kanan G8",1
"CommanderVanto",1,1,63453,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G8, Cassian G8",1
"CommanderVanto",0,1,82333,Geonosians,"zGBA Poggle Geo Soldier, Geo Spy, Sun Fac G8",0
"CommanderVanto",,,271332,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom 5* Ghost 5* Cassian's U-wing, Wedge X-wing",0
"CommanderVanto",1,1,58529,NS,"MT 6* G8, AV G9, Daka G8, Zombie 4* G8, Spirit 6* G8",0
"CommanderVanto",1,1,58477,zEP,"EP G8, Vader G8, Tarkin G9, Dooku 5* G8, BSF 6* G8",0
"CommanderVanto",1,0,56817,Wiggs,"Wedge 5* G8, Biggs G8, CLS G8, Han G8, Leia G9",0
"CommanderVanto",0,1,42924,FO,"KRU 5* G8, Kylo 5* G8, FOE 5* G8, Phasma G8, FOO G8",0
"Jangobama",0,1,130300,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Jangobama",0,1,142499,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Jangobama",,,515169,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Jangobama",1,1,112910,JTR,"zzzJTR zzR2-D2 zzBB-8 zResistance Hero Finn, zResistance Hero Poe",1
"Jangobama",0,1,91456,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Jangobama",0,1,118171,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Jangobama",,,104321,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Jangobama",1,1,123399,Revan Offense,"zzzJKR zzGMY zBS zJolee zEzra",1
"Jangobama",1,1,88331,Ewoks,"zChirpa Elder Paploo zWicket zLogray G9",1
"Jangobama",1,0,130466,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"Jangobama",0,1,112404,BH,"zzBossk zGreedo Dengar G9, zzEmbo zBoba",1
"Jangobama",1,1,116567,zEP,"zzEP zzzVader zTarkin TFP G9, zzDN",1
"Jangobama",1,0,88251,Troopers,"zVeers Starck Snowtrooper Range Trooper, Shoretrooper",1
"Jangobama",1,0,105821,CLS,"zzzCLS zHan zLeia Old Ben G9, zzChewbacca",1
"Jangobama",0,1,92280,Phoenix,"zHera zZeb Chopper zSabine zKanan",1
"Jangobama",1,1,77099,Rogue1,"zJyn Chirrut G8, Baze G8, K-2SO G9, Cassian",1
"Jangobama",1,0,21262,SionSolo (Counter),"zSion",1
"Jangobama",1,0,15699,NestSolo (Counter),"Nest",1
"Jangobama",1,1,90422,NS,"zMT zzAV zDaka Zombie Spirit G8",0
"Jangobama",,,368713,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 5*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Jangobama",,,342413,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 2*, First Order TIE Fighter",0
"Jangobama",1,0,72314,Thragma (Counter),"zzThrawn Magma G9, DT 5* G8, Krennic G9, Stormtrooper G9",0
"Jangobama",0,1,71485,FO,"KRU Kylo G9, Phasma FOO G8, FOST G8",0
"Jangobama",1,0,61376,Jawas,"Nebit G8, Jawa Engineer 6* G8, Jawa Scavenger G7, Jawa G8, Dathcha G9",0
"Belgarris",1,1,101329,NS,"zzMT zzAV Daka Zombie Spirit",1
"Belgarris",0,1,127472,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Belgarris",0,1,119022,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Belgarris",,,444417,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Belgarris",0,1,108753,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Belgarris",,,354783,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Belgarris",0,1,118407,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Belgarris",1,0,101278,Traya,"zzTraya zDN Sion G9, zEP zThrawn",1
"Belgarris",1,1,103421,JTR,"zzzJTR Scav Rey, zzBB-8 zR2-D2 Finn",1
"Belgarris",1,1,116067,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra",1
"Belgarris",1,1,93331,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Belgarris",1,0,105181,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"Belgarris",0,1,102527,BH,"zzBossk Greedo Dengar Cad zBoba",1
"Belgarris",1,1,99297,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Belgarris",1,0,105131,CLS,"zzzCLS zHan Leia Old Ben, zzChewbacca",1
"Belgarris",0,1,85207,FO,"zzKRU Kylo Phasma FOO FOST G8",1
"Belgarris",0,1,79207,Phoenix,"zHera Zeb Chopper Sabine G8, Kanan",1
"Belgarris",1,0,60626,Troopers,"Veers G9, Starck G7, Snowtrooper G7, Range Trooper 5* G7, DT 6* G5",0
"Nomad",1,1,149917,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Nomad",0,1,119223,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Nomad",1,1,103376,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Nomad",,,439690,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Nomad",0,1,94336,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Nomad",,,366605,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Nomad",0,1,129412,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Nomad",1,1,115379,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"Nomad",1,0,121609,Traya,"zzTraya zzDN zSion zBSF zzEP",1
"Nomad",1,1,122891,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Nomad",1,1,93038,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"Nomad",1,0,107019,ShaakClones,"zzShaak Ti, zRex zEcho zzFives Clone Sergeant",1
"Nomad",0,1,113614,BH,"zzBossk zZam zDengar zzJango zBoba",1
"Nomad",1,1,91460,Carth,"zCarth Onasi, zMission Zaalbar Juhani Canderous",1
"Nomad",1,0,116112,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Nomad",0,1,78797,Phoenix,"Hera Zeb Ezra Chopper Kanan",1
"Nomad",1,0,102492,zMaul,"zMaul zDooku zzzDR Sidious zSavage",1
"Teal",1,1,89430,NS,"zMT zAV zDaka Zombie Spirit",1
"Teal",0,1,109112,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Teal",0,1,91104,DR,"zzzDR zHK-47 zBSF Sith Empire Trooper G8, Sith Assassin G8",1
"Teal",,,314021,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"Teal",1,0,109174,Traya,"zzTraya zzDN zSion G8, zzEP zThrawn",1
"Teal",1,1,106154,JTR,"zzzJTR Scav Rey G8, zBB-8 zR2-D2 zFinn",1
"Teal",0,1,92662,Grievous,"zzGG B2 G8, Droideka G8, MagnaGuard G9, zDooku",1
"Teal",1,1,115384,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"Teal",1,1,87911,Ewoks,"zChirpa Elder zPaploo zWicket G9, zLogray",1
"Teal",0,1,84796,BH,"zBossk Dengar G8, Jango G9, Cad G9, Boba G9",1
"Teal",0,1,74479,FO,"zzKRU Kylo G8, FOE FOTP G9, FOO G8",1
"Teal",0,1,70656,Phoenix,"Hera G8, Zeb G8, zEzra Sabine G8, Kanan G8",1
"Teal",1,0,95623,Wiggs,"Wedge G9, Biggs G8, zzCLS zHan zzChewbacca",1
"Teal",1,0,73608,ShaakClones,"Shaak Ti G9, Rex Echo G7, Fives G9, ARC Trooper G8",0
"Teal",1,1,73211,Carth,"zCarth Onasi, Mission G8, Zaalbar G8, zJuhani Canderous G7",0
"Nrb1234",1,1,148198,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Nrb1234",0,1,121996,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Nrb1234",0,1,109367,DRMalak,"zzzDR zHK-47 BSF zzMalak Sith Empire Trooper G8",1
"Nrb1234",1,1,105420,NS_Alt,"zMT zzAV zDaka Talia Zombie",1
"Nrb1234",,,431518,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Nrb1234",1,1,99497,JTR,"zJTR zR2-D2 zBB-8 zResistance Hero Finn, zResistance Hero Poe",1
"Nrb1234",0,1,116117,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Nrb1234",1,0,109236,Traya,"zzTraya DN zSion Dooku zzEP",1
"Nrb1234",1,1,119660,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Nrb1234",1,1,113205,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda G9",1
"Nrb1234",1,1,78780,Ewoks,"zChirpa G9, Elder Paploo G9, zWicket G9, Logray G9",1
"Nrb1234",1,1,84403,Carth,"zCarth Onasi, Mission Zaalbar Juhani G8, Canderous",1
"Nrb1234",0,1,95030,BH,"zBossk zGreef Karga, Jango Cad Boba",1
"Nrb1234",0,1,63669,Phoenix,"Hera G8, Zeb G8, Ezra G8, Sabine G8, Kanan G8",1
"Nrb1234",1,0,101678,CLS,"zzCLS zHan Leia Old Ben, zChewbacca",1
"Nrb1234",1,0,16404,NestSolo (Counter),"Nest",1
"Nrb1234",,,303485,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 4*, Vulture Droid 5*, IG-2000",0
"Nrb1234",0,1,85339,Geonosians,"zGBA Poggle Geo Soldier, Geo Spy, Sun Fac G8",0
"Nrb1234",1,1,39983,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, K-2SO G8, Cassian G8",0
"mugsy",1,1,148983,GL Rey,"zzzzzzRey zzMalak zGK zResistance Hero Poe, zResistance Hero Finn",1
"mugsy",,,409805,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"mugsy",0,1,111738,DR,"zzzDR zHK-47 zBSF Sith Empire Trooper, Thrawn G8",1
"mugsy",0,1,97593,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"mugsy",,,334577,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"mugsy",0,1,108156,Grievous,"zGG zB2 zB1 zDroideka zMagnaGuard",1
"mugsy",1,1,149066,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"mugsy",,,88698,Nute-Wat,"zNute zDooku zWat Tambor 5*, Jango Nest",1
"mugsy",1,1,103187,GAS,"zzzzGAS Rex Echo zFives ARC Trooper G8",1
"mugsy",1,0,99560,CLS,"zzCLS G9, zHan zChewbacca Leia zzC-3PO",1
"mugsy",1,1,116146,Revan Offense,"zzzJKR zGMY zBS zJolee zJKA",1
"mugsy",1,1,82895,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"mugsy",0,1,97683,BH,"zzBossk zDengar IG-88 Cad Boba",1
"mugsy",1,1,86711,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, Canderous",1
"mugsy",1,1,102548,zEP,"zzEP zzzVader Tarkin G8, TFP G8, zSion",1
"mugsy",0,1,90802,FO,"zzKRU zKylo FOE FOO FOSFTP",1
"mugsy",0,1,71849,Phoenix,"Hera G8, Zeb G8, Ezra Chopper G8, Kanan G8",1
"mugsy",1,1,83913,NS,"zMT G8, zzAV zDaka G9, Zombie Spirit G8",0
"mugsy",,,71085,Mon Mothma,"zzMon Mothma 6* G8, Chirrut G8, Wedge G8, Pao G8, Biggs G8",0
"mugsy",1,0,63520,Troopers,"Veers G7, Starck G7, Stormtrooper G8, Snowtrooper G8, DT G8",0
"mugsy",1,0,67242,Jawas,"Nebit G7, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha G8",0
"FRM",1,1,101762,NS,"zzMT zzAV zDaka Zombie Spirit",1
"FRM",0,1,141651,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"FRM",0,1,141224,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"FRM",,,373454,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"FRM",,,468432,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"FRM",0,1,113885,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"FRM",,,384798,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"FRM",0,1,98459,Grievous,"zzGG zB2 zB1 Droideka G8, MagnaGuard G8",1
"FRM",1,1,128147,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"FRM",0,1,111823,BH,"zzBossk zzGreef Karga, Dengar G9, zzJango zBoba",1
"FRM",1,1,100282,zEP,"zzEP zzzVader Tarkin DT G8, TFP",1
"FRM",1,0,116812,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"FRM",1,0,79289,Troopers,"zVeers zStarck G9, Snowtrooper G9, Range Trooper G9, Magma G9",1
"FRM",0,1,78481,Phoenix,"Hera G8, Zeb G8, zEzra Chopper G8, Kanan",1
"FRM",1,0,24778,NestSolo (Counter),"zNest",1
"FRM",0,1,80038,Qira,"Qira 6* G7, L3-37 Vandor Chewbacca G3, zMission zZaalbar",0
"FRM",1,0,95766,ShaakClones,"zzShaak Ti G8, zRex zEcho zzFives G8, ARC Trooper G8",0
"modestdinosaur",0,1,129603,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"modestdinosaur",1,1,108034,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn G9",1
"modestdinosaur",0,1,84877,Grievous,"zzGG B2 G8, Droideka zNute T3-M4 G9",1
"modestdinosaur",,,399943,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"modestdinosaur",1,1,102993,Revan Offense,"zzzJKR zGMY zBS Jolee G8, HYoda",1
"modestdinosaur",1,1,102268,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"modestdinosaur",0,1,98872,BH,"zBossk zZam Dengar G9, Jango Boba",1
"modestdinosaur",1,1,84243,Carth,"zCarth Onasi, Mission G8, Zaalbar G8, zJuhani zCanderous",1
"modestdinosaur",1,1,103727,zEP,"zzEP zzzVader Tarkin G9, zBSF Traya G8",1
"modestdinosaur",0,1,87707,FO,"zzKRU zKylo FOE FOTP FOO G8",1
"modestdinosaur",1,0,115481,Wiggs,"Wedge Biggs zzzCLS zzChewbacca zLeia",1
"modestdinosaur",0,1,85595,Phoenix,"zHera zZeb zEzra Chopper G9, zKanan G8",1
"modestdinosaur",1,0,12417,SionSolo (Counter),"Sion G8",1
"modestdinosaur",0,1,64514,Geonosians,"zGBA 4* G9, Poggle Geo Soldier 6* G8, Geo Spy 6* G8, Sun Fac G8",0
"modestdinosaur",1,1,67071,NS,"MT zAV Daka G9, Zombie 6* G8, Spirit 5* G8",0
"modestdinosaur",,,70387,Mon Mothma,"Mon Mothma 5* G8, Lando Jyn G8, Hoth Rebel Scout G8, Cassian",0
"modestdinosaur",1,0,98477,ShaakClones,"zzShaak Ti, zRex Echo G9, zzFives Clone Sergeant",0
"modestdinosaur",1,0,16863,NestSolo (Counter),"zNest 6*",0
"KitFistMe",0,1,140657,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"KitFistMe",,,465879,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"KitFistMe",0,1,116754,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"KitFistMe",1,1,123694,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"KitFistMe",1,1,80288,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"KitFistMe",1,0,103176,ShaakClones,"zzShaak Ti, Rex Echo zzFives ARC Trooper",1
"KitFistMe",0,1,110266,BH,"zzBossk Greedo Dengar zJango zBoba",1
"KitFistMe",1,1,84849,Carth,"Carth Onasi, Mission Zaalbar Juhani Canderous",1
"KitFistMe",1,1,97851,zEP,"zzEP zzzVader Tarkin G9, TFP G9, zBSF",1
"KitFistMe",0,1,74168,Phoenix,"Hera G8, Zeb zEzra Sabine G9, Kanan G8",1
"KitFistMe",1,0,99085,CLS,"zzzCLS zHan Leia G9, Old Ben G9, zzChewbacca",1
"KitFistMe",1,0,20403,SionSolo (Counter),"zSion",1
"KitFistMe",1,1,82343,JTR,"JTR G8, Scav Rey G9, BB-8 zzR2-D2 Finn G9",0
"KitFistMe",0,1,69041,FO,"KRU G9, Kylo G9, Phasma G8, FOTP G9, FOO G8",0
"Tat Wambor",1,1,95457,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Tat Wambor",0,1,132425,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper G8",1
"Tat Wambor",0,1,87386,Grievous,"zzGG zB2 zB1 Droideka G9, MagnaGuard G9",1
"Tat Wambor",1,1,101705,Revan,"zzzJKR BS zGMY zJolee GK G8",1
"Tat Wambor",1,1,83007,Ewoks,"zChirpa G9, Elder zPaploo G9, zWicket zLogray G9",1
"Tat Wambor",1,1,94371,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"Tat Wambor",0,1,85400,BH,"zBossk Dengar G8, IG-88 Cad Boba",1
"Tat Wambor",0,1,87231,FO,"zzKRU Kylo G8, FOE G8, FOO G8, FOST",1
"Tat Wambor",0,1,66308,Phoenix,"Hera G8, Zeb G8, Ezra G8, Chopper G8, Kanan G8",1
"Tat Wambor",1,0,94219,CLS,"zzCLS G8, zHan zChewbacca Old Ben, zzR2-D2",1
"Tat Wambor",,,300325,HansMF,"Home One 6*, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing 5*",0
"Tat Wambor",0,1,59845,Geonosians,"zGBA Poggle G7, Geo Soldier G7, Geo Spy G7, Sun Fac G7",0
"Tat Wambor",1,0,64070,Traya,"Traya G8, DN G7, Sion G7, zEP G7, Thrawn G7",0
"Darדh Freeday",1,1,106537,NS,"zzMT zAV zDaka Zombie Spirit",1
"Darדh Freeday",0,1,136270,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Darדh Freeday",0,1,144033,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Darדh Freeday",,,488416,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Darדh Freeday",,,130970,JKL,"zzJKL zzzJKR zHYoda Old Ben, Ezra",1
"Darדh Freeday",0,1,99615,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Darדh Freeday",,,375462,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Darדh Freeday",1,0,119614,Traya,"zzTraya DN Sion zzEP Thrawn",1
"Darדh Freeday",0,1,121249,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Darדh Freeday",1,1,121318,JTR,"zJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Darדh Freeday",,,100625,Nute-Wat,"zNute zDooku zWat Tambor 5*, zJango Nest",1
"Darדh Freeday",1,1,143508,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Darדh Freeday",1,1,88228,Ewoks,"zChirpa Elder Paploo Scout zLogray",1
"Darדh Freeday",0,1,119097,BH,"zzBossk zzThe Mandalorian, Dengar Cad Boba",1
"Darדh Freeday",1,1,92065,Carth,"zCarth Onasi, zMission Zaalbar zJuhani Canderous",1
"Darדh Freeday",0,1,88874,FO,"zKRU Kylo FOE FOO Sith Trooper",1
"Darדh Freeday",1,0,119790,Wiggs,"Wedge Biggs zCLS zHan zChewbacca",1
"Darדh Freeday",,,81693,Mon Mothma,"zzMon Mothma 6* G8, Chirrut G8, Lando K-2SO G9, Hoth Rebel Scout G7",0
"Darדh Freeday",0,1,63053,Phoenix,"Hera G8, Zeb G8, Chopper G8, Sabine 3* G7, Kanan G8",0
"Redeemer",0,1,118168,padme,"zzPadme zGK zJKA zAhsoka C-3PO",1
"Redeemer",0,1,106720,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Marauder G9",1
"Redeemer",,,453927,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Redeemer",1,1,140922,GAS,"zzzzGAS zRex Echo zzFives zARC Trooper",1
"Redeemer",1,1,105111,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda G8",1
"Redeemer",1,1,80863,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Redeemer",0,1,93474,BH,"zBossk Dengar Jango Cad Boba",1
"Redeemer",1,1,92054,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Redeemer",1,1,90861,zEP,"zzEP zzVader Tarkin G8, TFP G9, Sion",1
"Redeemer",0,1,78540,FO,"zKRU zKylo G9, FOE G9, FOTP FOO",1
"Redeemer",1,0,78954,Wiggs,"Wedge G8, Biggs G8, zzCLS zHan G9, Leia G9",1
"Redeemer",0,1,68102,Phoenix,"Hera G8, Zeb G8, Ezra G8, Chopper G8, Kanan G8",1
"Redeemer",1,0,15298,NestSolo (Counter),"Nest",1
"Redeemer",0,1,76745,Geonosians,"zGBA Poggle G8, Geo Soldier, Geo Spy G9, Sun Fac G8",0
"Redeemer",0,1,98977,Grievous,"GG G8, zB2 zB1 zDroideka MagnaGuard",0
"Redeemer",1,1,78351,NS,"zMT AV Daka G8, Zombie Spirit G9",0
"QUENTITRON",1,1,88707,NS_Alt,"zMT Acolyte Daka zAV Zombie",1
"QUENTITRON",1,0,125161,Traya,"zzTraya zzDN zSion zzEP Thrawn G9",1
"QUENTITRON",0,1,106232,Grievous,"zzGG B2 G9, MagnaGuard zDooku zIG-88",1
"QUENTITRON",1,1,91552,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"QUENTITRON",0,1,107857,BH,"zzBossk zGreedo zDengar Cad zBoba",1
"QUENTITRON",0,1,71672,FO,"zKRU Kylo G9, FOE G9, FOTP FOO G8",1
"QUENTITRON",1,0,79327,Troopers,"zVeers Starck G7, Stormtrooper Snowtrooper zDT",1
"QUENTITRON",1,0,78308,Wiggs,"Wedge G8, Biggs G8, zzCLS zHan Ezra",1
"QUENTITRON",0,1,41018,Qira,"Qira 5* G8, L3-37 4* G8, Vandor Chewbacca 3* G7, Mission 5* G9, Zaalbar 4* G8",0
"QUENTITRON",0,1,74312,padme,"Padme G8, GK G9, JKA Ahsoka zC-3PO 6* G8",0
"QUENTITRON",1,1,81842,JTR,"JTR Scav Rey, zBB-8 G9, zR2-D2 Finn",0
"QUENTITRON",1,0,79488,ShaakClones,"zzShaak Ti 4* G9, Rex Echo Fives G9, Clone Sergeant",0
"QUENTITRON",0,1,71333,Phoenix,"Hera G9, zZeb G9, Chopper G8, Sabine 6* G8, zKanan",0
"QUENTITRON",1,1,59632,Rogue1,"Jyn 5* G8, Chirrut G8, Baze 5* G9, K-2SO G8, Cassian G8",0
"QUENTITRON",0,1,44736,BH,"Jango 3* G7, Zam G8, Aurra 5* The Mandalorian 3* G6, Nest 5* G6",0
