Player,Offense,Defense,GP,Name,Squad,Viable
"doowhat99",0,1,134637,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"doowhat99",0,1,115867,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"doowhat99",,,354151,Malevolence,"Malevolence 6* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"doowhat99",,,336381,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"doowhat99",0,1,98945,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"doowhat99",0,1,107614,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"doowhat99",1,0,108256,Traya,"zzTraya DN zSion zzEP zThrawn",1
"doowhat99",1,1,97462,JTR,"zzzJTR Scav Rey, zBB-8 G9, zzR2-D2 RT",1
"doowhat99",,,95079,Nute-Wat,"zNute G9, zDooku zWat Tambor 5*, zzJango zNest",1
"doowhat99",1,1,121720,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"doowhat99",1,1,96493,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"doowhat99",1,0,106609,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"doowhat99",0,1,99960,BH,"zBossk zIG-88 zBoba Cad Dengar",1
"doowhat99",1,1,92297,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"doowhat99",0,1,98071,FO,"zzKRU zKylo zHux 5* FOE Phasma",1
"doowhat99",1,0,97040,CLS,"zzzCLS zHan Wedge Biggs zChewbacca",1
"doowhat99",0,1,70895,Phoenix,"Hera Zeb G8, Kanan Chopper Ezra G8",1
"doowhat99",1,1,83856,NS,"zMT G8, zzAV zDaka G9, Zombie G8, Spirit G8",0
"doowhat99",,,63379,Mon Mothma,"Mon Mothma 4* G8, Baze 6* G9, Lando 6* Chirrut Cassian G8",0
"doowhat99",1,0,57553,Troopers,"Veers G7, Starck 6* G5, zDT G9, Range Trooper 4* G5, Stormtrooper G7",0
"Aggu Tac Tac",0,1,140051,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Aggu Tac Tac",0,1,119010,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Empire Trooper",1
"Aggu Tac Tac",1,1,106319,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Aggu Tac Tac",,,470827,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Aggu Tac Tac",0,1,117423,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Aggu Tac Tac",,,428345,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Aggu Tac Tac",0,1,123529,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Aggu Tac Tac",1,1,103595,JTR,"zzzJTR zScav Rey, BB-8 G8, zzR2-D2 zFinn G9",1
"Aggu Tac Tac",1,1,135835,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Aggu Tac Tac",1,1,94488,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Aggu Tac Tac",1,0,107109,ShaakClones,"zzShaak Ti, zRex zEcho zzFives Clone Sergeant",1
"Aggu Tac Tac",1,1,99643,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Aggu Tac Tac",0,1,113243,BH,"zzBossk zIG-88 zBoba zGreedo Cad",1
"Aggu Tac Tac",1,1,106412,zEP,"zzEP zzzVader Tarkin G9, TFP zzDN",1
"Aggu Tac Tac",1,0,118266,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Aggu Tac Tac",0,1,82288,Phoenix,"Hera zZeb Kanan G8, zEzra Sabine",1
"Aggu Tac Tac",1,1,95497,Rogue1,"zzJyn Chirrut Baze zK-2SO zCassian",1
"Aggu Tac Tac",0,1,92049,FO,"zzKRU Kylo zFOTP FOO Sith Trooper G8",1
"Aggu Tac Tac",1,0,21418,SionSolo (Counter),"zSion",1
"Aggu Tac Tac",,,343428,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 4*, Vulture Droid 3*, IG-2000",0
"Aggu Tac Tac",,,353935,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",0
"Aggu Tac Tac",,,69446,Mon Mothma,"zzMon Mothma 5* G8, Bodhi Rook G8, Bistan G8, Pao G8, Hoth Rebel Scout G9",0
"Aggu Tac Tac",1,0,65620,Troopers,"Veers Starck Shoretrooper G8, Range Trooper 5* G6, Snowtrooper G8",0
"Aggu Tac Tac",1,0,68937,Thragma (Counter),"zzThrawn Magma G7, DT 5* G8, Krennic 5* G7, Stormtrooper G8",0
"Aggu Tac Tac",0,1,73950,BH,"Jango G9, Dengar G7, Greef Karga G8, The Mandalorian G8, Zam G9",0
"Aggu Tac Tac",1,0,59529,Jawas,"Nebit G7, Jawa Engineer 6* G7, Jawa Scavenger G7, Jawa G7, Dathcha G7",0
"Mol Jen",1,1,150559,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Mol Jen",0,1,140623,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Mol Jen",0,1,135162,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Mol Jen",1,1,94142,NestSisters,"zzAV zMT Daka Zombie zNest",1
"Mol Jen",,,478752,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Mol Jen",0,1,99437,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Mol Jen",0,1,126735,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Mol Jen",1,1,105138,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Mol Jen",1,0,120199,Traya,"zzTraya zzDN zSion zDooku zzEP",1
"Mol Jen",1,1,143401,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Mol Jen",1,1,126489,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"Mol Jen",1,1,88113,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Mol Jen",0,1,99223,BH,"zzBossk zJango Boba Greedo Dengar G9",1
"Mol Jen",0,1,77956,Phoenix,"Hera Zeb G8, Kanan Ezra Sabine G8",1
"Mol Jen",1,0,105863,CLS,"zzzCLS zHan Wedge Biggs zChewbacca",1
"Mol Jen",,,351200,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid 6*, IG-2000",0
"Mol Jen",,,332903,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing 5*, Wedge X-wing",0
"Mol Jen",1,1,86880,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous G7",0
"Scoots",0,1,142649,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Scoots",0,1,134486,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Scoots",,,473203,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Scoots",0,1,100204,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Scoots",0,1,100775,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Scoots",1,1,117456,Revan Offense,"zzzJKR zzGMY BS zJolee HYoda",1
"Scoots",1,1,85841,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Scoots",1,0,108194,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"Scoots",0,1,93864,BH,"zzBossk IG-88 G9, zJango Boba G9, Dengar G9",1
"Scoots",1,1,104203,zEP,"zzEP zzzVader Tarkin TFP G9, Sion G9",1
"Scoots",1,0,89812,Wiggs,"Wedge G8, Biggs zzCLS zHan Leia",1
"Scoots",0,1,74274,Phoenix,"Hera Zeb G8, Kanan G8, Chopper Ezra G8",1
"Scoots",0,1,82182,FO,"zzKRU zKylo G8, FOTP FOO Phasma G8",1
"Scoots",1,0,19510,NestSolo (Counter),"zNest",1
"Scoots",0,1,66271,Qira,"Qira 3* G6, L3-37 3* G8, Vandor Chewbacca 2* G6, zMission zZaalbar",0
"Scoots",,,299162,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 5*, Vulture Droid 5*, IG-2000",0
"Scoots",,,334915,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 6*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Scoots",1,1,72737,JTR,"JTR G8, Scav Rey, BB-8 G9, R2-D2 G8, Finn G8",0
"Scoots",1,1,71506,NS,"MT G8, zAV Daka G9, Zombie 6* G8, Spirit 6* G8",0
"Scoots",,,321940,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter 6*, First Order SF TIE Fighter, First Order TIE Fighter",0
"Scoots",,,62717,Mon Mothma,"Mon Mothma 4* G8, K-2SO G8, Jyn G8, Chirrut G8, Hoth Rebel Scout G8",0
"Scoots",1,0,49536,Troopers,"Veers 6* G8, Starck 6* G6, DT 5* G8, Snowtrooper G8, Stormtrooper G8",0
"Nightshow",0,1,111787,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Nightshow",0,1,88857,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Nightshow",0,1,126828,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Nightshow",1,0,117356,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Nightshow",1,0,110671,CLS,"zzzCLS zHan Chewbacca G9, zzR2-D2 zzC-3PO G9",1
"Nightshow",1,1,80168,Ewoks,"zChirpa Elder Paploo G9, Wicket Logray",1
"Nightshow",0,1,95760,BH,"zzBossk IG-88 Jango Boba Dengar G8",1
"Nightshow",0,1,87958,FO,"zzKRU zKylo FOTP FOO FOE",1
"Nightshow",1,0,71290,Troopers,"zVeers Starck Shoretrooper Snowtrooper G9, Stormtrooper G7",1
"Nightshow",0,1,85233,Phoenix,"Hera Zeb Kanan Chopper zEzra",1
"Nightshow",,,62579,Mon Mothma,"Mon Mothma 3* G8, K-2SO G8, Wedge G8, Biggs Lando",0
"Nightshow",1,0,65265,ShaakClones,"Shaak Ti 6* G9, Rex Echo G7, Fives G9, Clone Sergeant G8",0
"Nightshow",1,1,52153,Carth,"Carth Onasi G8, Mission 5* G5, Zaalbar 5* G7, Juhani G7, Canderous G7",0
"Nightshow",1,0,94856,zMaul,"Maul zBSF zDooku Sidious Savage",0
"Nightshow",1,0,12588,NestSolo (Counter),"Nest 4*",0
"Adjuran",1,1,125050,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Adjuran",0,1,135157,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Adjuran",,,477341,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Adjuran",0,1,105479,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Adjuran",,,361739,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Adjuran",0,1,111934,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Adjuran",1,0,119079,Traya,"zzTraya zDN Sion G8, zzEP zzThrawn",1
"Adjuran",1,1,151142,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Adjuran",1,1,85744,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Adjuran",0,1,109682,BH,"zzBossk zzJango zBoba Dengar Zam",1
"Adjuran",0,1,74288,Phoenix,"Hera G9, Zeb G8, Kanan G9, Ezra Sabine",1
"Adjuran",1,0,107165,CLS,"zzCLS zHan Wedge G8, Biggs zzChewbacca",1
"Adjuran",,,317276,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 4*, Vulture Droid 5*, IG-2000",0
"Adjuran",1,0,68265,Troopers,"zVeers 6* G8, zStarck Snowtrooper G8, Stormtrooper G8, zzAdmiral Piett 6*",0
"Adjuran",0,1,68408,FO,"KRU G8, Kylo G8, FOO FOE FOST G8",0
"Adjuran",1,1,53120,Rogue1,"Jyn G8, Chirrut G8, Baze 5* G8, K-2SO G8, Cassian G8",0
"Avner",0,1,140306,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
