Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Nightshow",578897975,3606304,2197062,1409242,155,-237,232,168,56,48,150,3,14,37,79,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,11,8,5
"Vegie",412128111,4735258,2693496,2041762,131,66,59,239,96,78,181,5,24,74,101,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,16,14,8
"Hewbs Tzu",291312774,4836818,2853720,1983098,143,37,378,362,70,266,181,37,52,70,89,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,20,11,9
"SaBaF",694117231,2242789,1338891,903898,148,-182,141,105,27,33,71,5,7,10,32,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,3,1
"MrJordan",656844597,3345226,1920418,1424808,134,-56,145,162,54,51,140,3,13,31,58,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,12,8,4
"ColeWorld",333773867,3241054,1886099,1354955,139,141,349,316,77,113,117,8,28,52,72,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,12,9,6
"Revenant SubZero",217859353,2874817,1828517,1046300,174,-179,218,149,48,35,91,2,8,28,47,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,8,5,5
"Speesquack",916373264,4245847,2595065,1650782,157,44,111,157,65,85,161,6,18,32,61,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,14,10,6
"Scoots",416379936,4841894,2707846,2134048,126,-3,147,141,58,88,168,8,20,31,70,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,14,10,6
"Flingus",336481518,4810169,2701030,2109139,128,-158,181,234,77,118,197,14,26,63,88,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,18,13,8
"Hansolodolo",435757877,4494380,2605284,1889096,137,207,414,285,77,162,161,24,33,63,85,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,16,13,8
"Skynet",463342543,3339004,1861066,1477938,125,-55,360,278,56,120,112,16,24,45,56,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,12,9,6
"Prime A",172528982,4305174,2504217,1800957,139,0,219,117,29,62,201,9,12,26,60,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,12,5,7
"DJ Maxximus",962877636,4170265,2348049,1822216,128,-49,161,206,58,76,184,4,26,45,72,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,14,9,6
"ANewDope",529996621,2429592,1454419,975173,149,-236,158,199,42,47,105,4,13,26,45,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3
"Genesis",521785823,5076665,2887409,2189256,131,-212,176,232,63,164,198,25,33,52,72,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,13,11,7
"MacGyver",291824784,5524485,3049511,2474974,123,-32,98,252,91,142,207,11,33,78,112,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,18,10,8
"KennedyHawk",183519641,4932971,2795164,2137807,130,-125,100,347,63,226,175,25,47,79,98,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,15,11,8
"DarthChecked",862741626,5597892,3281549,2316343,141,125,210,266,102,147,193,17,34,86,112,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,18,11,10
"Peldor Varga",965118915,3187770,1959812,1227958,159,-83,183,203,42,84,115,11,18,30,73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,7,5
"shane",782373741,5543646,3140028,2403618,130,-265,356,363,75,347,187,49,58,74,100,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,14,9,6
"Aceoffaith",834537215,4074327,2365973,1708354,138,-130,88,195,70,98,149,12,22,38,66,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,8,8,6
