Player,Offense,Defense,GP,Name,Squad,Viable
"Sleazy E",0,1,119177,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Sleazy E",0,1,118818,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Sleazy E",,,432966,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Sleazy E",1,1,101014,NS_Alt,"zzMT Acolyte zDaka zAV Zombie",1
"Sleazy E",0,1,93617,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Sleazy E",1,1,112674,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn",1
"Sleazy E",0,1,102224,Grievous,"zzGG zB2 zDroideka zMagnaGuard zDooku",1
"Sleazy E",1,1,120289,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Sleazy E",1,1,95390,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Sleazy E",1,0,118437,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"Sleazy E",0,1,105402,BH,"zzBossk zBoba zDengar IG-88 Cad",1
"Sleazy E",1,1,98128,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Sleazy E",1,1,108974,zEP,"zzEP zzzVader Tarkin TFP zzDN",1
"Sleazy E",1,0,110530,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Sleazy E",0,1,86963,FO,"zzKRU zKylo FOE FOO FOTP",1
"Sleazy E",1,0,66159,Troopers,"zVeers Starck G7, Stormtrooper G9, Snowtrooper G7, DT G7",1
"Sleazy E",0,1,73711,Phoenix,"Hera Ezra Kanan G8, Zeb G8, Chopper",1
"Sleazy E",1,0,65753,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha G9",1
"Sleazy E",,,352681,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 4*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Sleazy E",,,64960,Mon Mothma,"Mon Mothma 3* G6, Cassian G7, Lando Chirrut G7, Jyn G7",0
"Sleazy E",0,1,56157,BH,"Jango G5, zGreedo The Mandalorian 4* G6, Greef Karga 4* G6, Nest 6* G7",0
"Sleazy E",1,0,14142,SionSolo (Counter),"Sion G7",0
"Excrothe",1,1,143520,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Excrothe",0,1,116030,padme,"zzPadme zGK zJKA Ahsoka CW Chewbacca G9",1
"Excrothe",0,1,148574,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* zThrawn",1
"Excrothe",,,411544,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"Excrothe",0,1,129412,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Excrothe",1,1,108300,JTR,"zzzJTR Scav Rey, BB-8 zzR2-D2 RT",1
"Excrothe",1,1,143527,Revan Offense,"zzzJKR zzGMY zBS zJolee HYoda",1
"Excrothe",1,1,92238,Ewoks,"zChirpa Elder Paploo Teebo Wicket",1
"Excrothe",0,1,132631,BH,"zzBossk zGreedo Boba Dengar Jango",1
"Excrothe",1,1,114050,Carth,"Carth Onasi, Mission zZaalbar Juhani zCanderous",1
"Excrothe",1,1,134127,zEP,"zzEP zzzVader Tarkin zSion zzDN",1
"Excrothe",0,1,89610,FO,"zzKRU Kylo G9, FOE FOO G8, FOTP",1
"Excrothe",0,1,82824,Phoenix,"zHera Ezra Kanan Sabine Zeb G8",1
"Excrothe",1,0,126177,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Excrothe",,,377502,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 5*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Excrothe",0,1,68844,Grievous-Wat,"GG B2 B1 4* G7, MagnaGuard G9, Wat Tambor 5*",0
"Excrothe",,,72122,Mon Mothma,"Mon Mothma 3* G7, Cassian G9, Chirrut Baze K-2SO G9",0
"Excrothe",1,0,97712,ShaakClones,"zzShaak Ti, Rex Echo 6* Fives G9, zARC Trooper",0
"Excrothe",1,0,51464,Troopers,"Veers 6* G9, Starck G7, Stormtrooper G8, Snowtrooper G8, Range Trooper 3* G6",0
"Excrothe",1,0,53687,Jawas,"Nebit G8, Jawa Engineer 4* G7, Jawa Scavenger G7, Jawa 4* G6, Dathcha G9",0
"Til",0,1,145646,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Til",0,1,117492,DRMalak,"zzzDR zHK-47 zBSF zzMalak zThrawn",1
"Til",,,488156,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Til",1,1,101738,NS_Alt,"zzMT zzAV zDaka Talia Zombie",1
"Til",0,1,94509,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Til",,,346290,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Til",0,1,121358,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Til",1,1,107864,JTR,"zzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Til",1,0,116517,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Til",1,1,126400,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Til",1,1,106701,Revan Offense,"zzzJKR zGMY BS zJolee Ezra",1
"Til",1,1,86783,Ewoks,"zChirpa Elder Paploo Teebo Wicket",1
"Til",0,1,98358,BH,"zBossk Greedo Boba IG-88 Cad",1
"Til",0,1,135454,FO,"zzKRU zKylo FOE zHux zFOST",1
