Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Tim",682839262,2973124,1659868,1313256,126,-279,204,254,38,98,111,13,19,37,52,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9,7,5
"Jason",576549933,5564417,3169011,2395406,132,-44,82,175,100,82,207,5,20,61,95,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,17,9,7
"LeeJo LeeTre",713375299,4636591,2764788,1871803,147,-113,115,197,61,114,161,11,23,46,76,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,11,7,6
"Meetra Surik",989184811,3810326,2196507,1613819,136,30,77,163,57,46,164,2,16,37,67,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,14,11,7
"HemiSkywalker",852163432,3882348,2241991,1640357,136,177,62,56,54,29,150,3,5,11,45,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,6
"Berzerk Hobo",252285491,5971523,3530854,2440669,144,-103,291,269,111,150,211,18,32,99,136,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,19,13,11
"Bsville",424867781,5085589,2934703,2150886,136,52,119,167,79,61,185,7,13,60,93,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,19,11,10
"Will Obi1",215141515,4297708,2591375,1706333,151,-34,50,156,90,61,150,5,17,38,73,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,10,7,6
"Sentinius",232387682,3237417,1870866,1366551,136,116,42,18,25,0,128,0,0,6,19,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,2
"DrDarkRoast",181267235,3933268,2317472,1615796,143,75,401,259,81,95,156,11,23,60,84,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,16,12,7
