Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Zetas,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Shaak Ti,General Skywalker,The Negotiator,Malevolence,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Green Garoo",973416345,3730496,2295159,1435337,159,45,161,0,36,58,0,0,0,1,0,1,0,0,0,6,5,4
"Dixz",968575939,3472060,1940139,1531921,126,51,144,8,49,63,0,0,0,1,0,0,0,0,0,8,6,5
"Bex",968556754,2640364,1429280,1211084,118,27,105,4,18,32,0,0,0,0,0,1,0,0,0,3,2,1
"Ttekcah Semaj",966188221,2304106,1408239,895867,157,17,102,1,11,27,1,1,0,1,0,1,0,0,0,2,2,1
"RobMaul226",964183179,4044261,2482858,1561403,159,64,158,3,32,68,1,1,0,1,1,1,0,0,0,10,8,6
"Vagabond12",957436722,3617320,2161618,1455702,148,37,159,3,20,61,1,0,0,1,1,1,0,0,0,8,6,5
"Ozzie Olin",928464636,2624976,1563033,1061943,147,37,82,5,14,29,1,1,0,0,0,1,0,0,0,2,2,1
"docMorbius",918771616,4177044,2516145,1660899,151,70,200,4,59,88,1,1,1,1,1,1,0,0,0,15,10,10
"TP",893647684,3419694,2191445,1228249,178,55,147,4,43,73,1,0,0,1,1,1,0,0,0,11,8,7
"Sinlo",843356217,3597441,1982061,1615380,122,48,135,5,34,66,0,0,0,1,1,1,0,0,0,8,5,4
"Tumnus",841168558,2932385,1828121,1104264,165,39,139,2,18,39,0,0,0,1,0,1,0,0,0,5,3,3
"Krejo Brosh",831264412,3396644,1998141,1398503,142,51,150,3,26,54,0,0,0,1,1,1,0,0,0,9,6,6
"The Senate",829637175,2837040,1643181,1193859,137,31,116,1,18,44,0,0,0,1,1,1,0,0,0,9,5,6
"Xaven",779993281,3539066,2240689,1298377,172,45,174,5,35,63,1,1,1,1,1,1,0,0,0,9,8,5
"Kujo",775581766,3163685,1738913,1424772,122,20,119,1,10,42,0,0,0,1,1,1,0,0,0,3,3,0
"Vanisaris",733897663,3109652,1955344,1154308,169,42,145,6,36,66,1,1,1,1,1,1,0,0,0,12,9,8
"incydancer",733142241,1598665,917657,681008,134,11,62,0,10,33,0,0,0,1,1,1,0,0,0,3,3,0
"SireEby",727165894,4097308,2479178,1618130,153,59,167,9,55,101,1,0,0,1,1,0,0,0,0,14,8,10
"Ultraman",723285784,2595121,1643316,951805,172,34,80,4,32,53,0,0,0,1,1,1,0,0,0,3,2,2
"Shalien Renfield",717273842,2319765,1369606,950159,144,27,102,1,15,21,1,0,0,0,0,1,0,0,0,3,2,2
"Raxis prime",688726497,2069676,1263305,806371,156,27,92,7,24,40,1,1,1,0,0,1,0,0,0,6,5,3
"Guihori",639674374,2896606,1787606,1109000,161,49,115,4,32,60,1,0,0,1,0,1,0,0,0,8,6,5
"E Rod",623687665,3792681,2252479,1540202,146,59,171,6,34,71,1,0,0,1,1,1,0,0,0,9,6,6
"kadakorn",598911372,4294727,2570444,1724283,149,57,170,5,41,85,1,1,0,1,1,1,0,0,0,14,9,7
"Djchocothunda",595978954,2402932,1434655,968277,148,30,96,0,26,46,1,0,0,1,0,1,0,0,0,6,4,4
"Hego Damask",573371427,2066109,1223876,842233,145,26,83,2,10,26,1,0,0,0,0,1,0,0,0,3,2,2
"Chardek",567166451,2296888,1257019,1039869,120,15,116,1,8,22,0,0,0,0,0,0,0,0,0,1,0,1
"Manhofung",564738937,4826051,2891416,1934635,149,63,199,3,36,98,1,1,0,1,1,1,0,1,0,16,10,10
"SchweitzerBeast",549741913,3057964,1758349,1299615,135,28,134,1,18,36,1,1,0,1,1,1,0,0,0,6,5,4
"Mol Slash",499445554,4004536,2404046,1600490,150,37,169,1,27,59,1,0,0,1,1,1,0,0,0,6,5,3
"Slatherfist",454673229,2313482,1481970,831512,178,38,118,0,20,34,1,0,0,1,0,1,0,0,0,6,5,3
"Daze79",435891414,3384355,1916997,1467358,130,40,123,4,33,65,1,0,0,1,1,1,0,0,0,7,7,3
"Itsatrap",397492694,1854535,1213878,640657,189,16,75,1,10,27,0,1,0,1,1,1,0,0,0,4,4,1
"TwoRed",391958232,3759422,2223913,1535509,144,47,134,4,36,59,0,0,0,1,1,1,0,0,0,9,6,5
"Dark Yoga",372413721,3536718,2074110,1462608,141,45,139,3,43,74,0,0,0,1,1,1,0,0,0,5,4,2
"Bearsfan4life34",347549235,3563837,2095245,1468592,142,44,152,4,28,60,1,0,0,1,1,1,0,0,0,9,8,5
"Knighthawk",345771246,2856592,1716766,1139826,150,33,123,1,24,38,1,0,0,1,1,1,0,0,0,4,3,2
"Zalandas Gosular",328878472,3591617,2166792,1424825,152,44,139,3,50,62,0,0,0,0,0,1,0,0,0,7,4,5
"MarkSolo",323363645,3206362,1885882,1320480,142,35,113,4,27,52,0,0,0,1,1,1,0,0,0,7,4,4
"Mum",288489768,2016776,1127744,889032,126,31,69,1,23,29,1,0,0,0,0,1,0,0,0,4,3,2
"QuiGonLynx",283452694,2862721,1730607,1132114,152,33,125,5,19,40,1,0,0,1,0,1,0,0,0,8,7,4
"APlayerNamedGus",273126953,2573133,1570458,1002675,156,41,90,5,21,52,1,1,1,1,1,1,0,0,0,6,5,4
"Chuds",256599284,2598409,1479799,1118610,132,23,111,2,17,38,0,0,0,1,0,0,0,0,0,7,5,5
"Green Manalishi",232666641,3599974,2202654,1397320,157,65,129,7,49,66,1,0,0,1,0,1,0,0,0,5,3,3
"Kaspa",217422451,4517726,2702728,1814998,148,54,191,1,37,93,0,0,0,1,1,1,0,0,0,14,8,8
"Luckyycharm",182375575,2188810,1385390,803420,172,33,87,8,23,40,0,0,0,1,0,1,0,0,0,6,3,4
"BullzeyeBilly",174111426,4417496,2611400,1806096,144,43,174,3,23,70,0,0,0,1,0,1,0,0,0,7,6,4
"dferb",146328566,1920926,1108590,812336,136,17,57,2,15,27,0,0,0,1,0,1,0,0,0,2,1,1
