Player,Offense,Defense,GP,Name,Squad,Viable
"istomponjapan",1,1,99464,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"istomponjapan",,,396479,HansMF,"Home One, Han's MF 5*, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"istomponjapan",0,1,117826,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"istomponjapan",0,1,117371,BH,"zzBossk zzAurra zBoba Cad zIG-88",1
"istomponjapan",0,1,96876,Phoenix,"zHera zEzra zZeb zKanan zSabine",1
"istomponjapan",1,0,91770,Wiggs,"Wedge G8 Biggs zzzCLS zHan zLeia G9",1
"istomponjapan",,,395419,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",0
"istomponjapan",1,1,70764,Ewoks,"Chirpa 4* G7 Elder zPaploo G9 Teebo G8 Scout",0
"istomponjapan",1,0,78001,ShaakClones,"Shaak Ti 3* G7, zRex Echo G9 zzFives Clone Sergeant G8,",0
"istomponjapan",1,1,86925,GK,"zGK Barriss G8 zAhsoka JKA 4* G8 zzGMY",0
"istomponjapan",1,1,116305,zEP,"zzEP zzzVader zzTarkin zDooku G7 TFP",0
"istomponjapan",0,1,66820,BH,"Jango G7 Dengar 5* G8 Embo 3* G8 Greedo G8 Zam G9",0
"istomponjapan",1,0,63768,Thragma (Counter),"zzThrawn Magma G7 DT 3* G7 Stormtrooper G7 Shoretrooper 3* G7",0
"istomponjapan",0,1,87634,FO,"zzKRU zKylo G9 Phasma G7 FOSFTP zFOTP",0
"istomponjapan",1,0,9475,SionSolo (Counter),"Sion 4* G7",0
"AndrewtheHutt",0,1,105146,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"AndrewtheHutt",0,1,113441,DR,"zzzDR zHK-47 zBSF Sith Marauder, zThrawn",1
"AndrewtheHutt",0,1,80090,Geonosians,"zGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"AndrewtheHutt",1,1,157939,Revan Offense,"zzzJKR zzGMY zBS zJolee zEzra",1
"AndrewtheHutt",1,0,104538,ShaakClones,"zzShaak Ti, zRex zEcho zzFives Clone Sergeant,",1
"AndrewtheHutt",1,1,95268,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"AndrewtheHutt",1,0,93787,Wiggs,"Wedge Biggs zzzCLS zHan Leia G9",1
"AndrewtheHutt",1,1,97234,zEP,"zzEP zVader Tarkin zDooku TFP",1
"AndrewtheHutt",1,0,20632,SionSolo (Counter),"zSion",1
"AndrewtheHutt",1,0,16650,NestSolo (Counter),"Nest",1
"AndrewtheHutt",1,1,87994,NS,"MT zAV zDaka Zombie Spirit G8",0
"AndrewtheHutt",0,1,54689,Grievous,"GG 6* G7 B2 5* G8 Nute G9 IG-88 G8 T3-M4 G8",0
"AndrewtheHutt",0,1,59004,BH,"Bossk 3* G7 Boba G9 Cad Greedo G8 Zam G5",0
"AndrewtheHutt",0,1,62474,Phoenix,"Hera Chopper Zeb G8 Kanan G8 Sabine 5* G8",0
"AndrewtheHutt",1,1,63908,Rogue1,"Jyn G8 Chirrut Baze 5* G8 K-2SO G8 Cassian",0
"AndrewtheHutt",0,1,51532,FO,"KRU G8 Kylo G8 Phasma G8 FOO G8 FOST 5* G8",0
"Nielsen61703",0,1,72031,Phoenix,"Hera G9 Chopper G9 Ezra G9 Zeb G8 zKanan G8",1
"Nielsen61703",0,1,47487,BH,"Bossk 3* G8 Boba G8 Cad G7 Greedo 5* G7 Jango 4* G8",0
"Cam",1,0,99203,501st,"zRex Clone Sergeant, zEcho zFives zAhsoka",1
"Cam",0,1,63949,Phoenix,"Hera G8 Chopper G8 Ezra G8 Zeb G8 Kanan G8",1
"Cam",0,1,67303,Geonosians,"zGBA 6* Poggle G8 Geo Soldier G8, Geo Spy 6* G9, Sun Fac G8,",0
"Cam",0,1,91456,BH,"Bossk 4* G8 zBoba Cad Dengar G9 zJango",0
"Cam",1,0,67444,Zader (Counter),"zVader Wampa 5* G9 Tarkin G8 Sidious G8 Stormtrooper G7",0
"Cam",1,0,65341,EP (Traya),"EP G9 zTraya 6* G8 DN 5* G9 Sith Empire Trooper 4* G7, BSF 6*",0
