Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Cweneldic",591287488,4468938,2544610,1924328,132,-205,102,220,68,108,159,13,23,54,76,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,15,10,8
"Xarlun Stormrider",741157213,3849843,2288810,1561033,146,-15,179,204,59,59,159,1,16,51,67,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,6
"Rocky94",612994668,3561366,2094108,1467258,142,-245,109,183,52,87,143,12,17,31,60,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,7,6,4
"Rednaxela",573577796,3410651,2023577,1387074,145,18,59,84,43,19,116,2,7,18,52,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,7,6,3
"Storm3po",566638132,1639817,1026332,613485,167,-164,136,141,29,16,60,2,4,16,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
"Abe",162251947,4686418,2775673,1910745,145,7,277,224,100,122,174,8,27,54,89,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,16,13,9
"Shrub R E",644735319,4161066,2399297,1761769,136,276,120,159,55,82,180,12,16,34,66,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,12,8,8
"KrazyRussianSpy",996361589,1257689,692122,565567,122,-557,14,31,10,0,40,0,0,4,15,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"X688",675588514,1555905,863296,692609,124,-30,92,50,14,4,55,0,1,6,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2
"Jbird",951768939,3088827,1832604,1256223,145,-13,21,111,38,12,148,0,5,27,49,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,6,5
"Drayzo",518883755,1881621,1014724,866897,117,269,68,233,22,40,88,1,16,20,32,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2
"mychemsg",637764896,2223586,1337348,886238,150,-207,74,105,29,7,92,0,2,20,45,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,3,1
"schenbri",133646753,1811181,1028510,782671,131,-148,29,56,14,11,58,1,2,6,25,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1
"Benji",873945644,4907418,2773219,2134199,129,-41,176,133,64,88,182,14,15,33,65,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,15,10,7
"Pelagrined",256128392,2571069,1532787,1038282,147,287,45,117,21,31,82,5,6,18,33,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3
"Cbnielse",992733959,2033219,1211875,821344,147,-232,16,75,16,17,67,2,4,8,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"istomponjapan",812714528,4655167,2391226,2263941,105,-148,79,147,72,64,158,9,15,41,62,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,8,6,3
"Tevx",613337736,2983491,1655895,1327596,124,-478,48,223,55,94,116,14,18,30,44,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,6
"Lepper Mesiah",164495314,2932505,1925883,1006622,191,15,109,80,33,23,98,0,8,11,48,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1
"jacklesmith5",778514892,2492053,1533016,959037,159,-459,234,88,42,15,89,1,6,13,43,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3
"Epsilon",624934447,3952998,2324566,1628432,142,-267,51,193,75,92,155,3,22,36,56,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10,8,5
"jerico ct",181455861,3363991,1983225,1380766,143,-411,161,146,25,61,126,10,10,27,47,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7
"Gopher420",777739969,4473657,2632562,1841095,142,-36,140,91,73,44,169,7,8,24,64,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,11,6
"Nielsen61703",532817114,1420914,924397,496517,186,-135,54,26,9,4,52,0,1,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Brutalocalypse",832953584,3567795,2036024,1531771,132,-115,24,63,39,4,156,0,2,20,37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,6,3
"Darkmaster",646842212,4623149,2670830,1952319,136,63,131,156,60,82,191,5,18,38,79,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,18,12,9
"Tucker Graham",512647598,4424780,2684628,1740152,154,3,115,148,87,44,183,5,12,45,78,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,17,11,9
"Giarny",266292125,1759838,996484,763354,130,147,40,43,11,3,66,0,1,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
"BG535",228789139,2376138,1530120,846018,180,-20,78,162,37,38,98,2,8,23,49,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,4,4
"Palo Rex",733128292,3423894,2119995,1303899,162,103,84,111,53,26,121,2,6,27,66,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,9,6
"Herdrn3",991373912,3965766,2241042,1724724,129,79,84,149,58,26,181,1,9,45,65,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,12,8,4
"díZZy",616729394,1217968,726802,491166,147,63,13,62,5,3,20,0,1,6,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Templeb3",384167388,2170923,1217499,953424,127,130,73,77,16,9,73,0,3,12,27,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1
"EarthFlyer",428442281,2747192,1680450,1066742,157,-169,124,135,50,31,122,4,6,25,45,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,6
"MagicMike93",439428128,4350377,2707914,1642463,164,108,136,153,77,63,165,9,13,41,62,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,10,9,6
"DJalec703",714886331,1127089,703148,423941,165,120,0,60,10,4,41,0,2,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1
"Vortex",411442611,1807920,1155402,652518,177,82,17,81,14,4,51,0,1,13,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"Japherwaki",773824494,2250229,1411015,839214,168,81,14,43,13,9,103,1,2,6,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"StarLord",896239968,3822700,2287918,1534782,149,-97,91,34,44,0,171,0,0,13,66,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10,6,3
"Walto Dangrel",468333915,4389310,2589310,1800000,143,94,30,103,81,22,175,1,8,33,55,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,7
"Ragnarock",138462562,4431661,2815686,1615975,174,14,60,148,68,40,174,3,9,49,80,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,14,10,9
"Bloopwez",838917748,4926220,3084883,1841337,167,87,152,243,77,79,187,9,17,87,121,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19,12,11
