Player,Offense,Defense,GP,Name,Squad,Viable
"Haywood Jablomi",1,1,147426,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Haywood Jablomi",0,1,131675,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Haywood Jablomi",,,466548,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Haywood Jablomi",0,1,92347,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Haywood Jablomi",1,1,108636,JTR,"zzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Haywood Jablomi",1,0,138569,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Haywood Jablomi",0,1,91800,BH,"zBossk Dengar 9, Cad Jango zBoba",1
"Haywood Jablomi",1,1,112468,zEP,"zzEP zzzVader Tarkin 8, Traya Sion 9",1
"Haywood Jablomi",0,1,71006,Phoenix,"Hera Ezra Zeb 9, Kanan 8, Chopper 8",1
"Haywood Jablomi",1,0,67885,Jawas,"Nebit 8, Jawa Engineer 8, Jawa Scavenger, Jawa 8, Dathcha",1
"Haywood Jablomi",1,1,73472,NS,"zMT zAV zDaka Zombie 5* 8, Spirit 5* 8",0
"Haywood Jablomi",,,354167,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 6*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Haywood Jablomi",0,1,66518,Grievous-Wat,"zGG B2 5, B1 5* 5, MagnaGuard 8, zWat Tambor",0
"Haywood Jablomi",1,0,103242,Wiggs,"Wedge 6* Biggs zzCLS zzChewbacca zLeia",0
"Haywood Jablomi",1,0,39439,Troopers,"Veers 5* 8, Starck 7, Stormtrooper 5* 8, DT 5* 8, Snowtrooper 5* 8",0
"Haywood Jablomi",1,1,57155,Rogue1,"Jyn Chirrut 5* 8, Baze 5* 8, K-2SO 8, Cassian 9",0
"Haywood Jablomi",0,1,89853,BS,"zBS GMY Aayla 7, Old Ben 9, zHYoda",0
"Dford69",,,170599,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"Dford69",,,182111,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Dford69",0,1,132171,DRMalak,"zzzDR HK-47 BSF zzMalak Sith Empire Trooper",1
"Dford69",1,0,148334,CLS,"zzzCLS zHan zChewbacca zR2-D2 zChewpio",1
"Dford69",0,1,129373,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Dford69",,,112076,Mon Mothma,"zzMon Mothma, Wedge Biggs zCara Dune, Lando",1
"Dford69",1,1,84293,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Dford69",1,1,96019,Carth,"Carth Onasi, Mission Zaalbar Juhani Canderous",1
"Dford69",0,1,130950,BH,"zBossk Cad Jango zBoba zGreef Karga",1
"Dford69",1,1,120609,zEP,"zzEP zzzVader Tarkin 9, zSith Trooper, zSion",1
"Dford69",1,0,139917,501st,"zRex zARC Trooper, Echo (501st), zFives zAhsoka",1
"Dford69",1,0,127939,Troopers,"zVeers zStarck zzMoff Gideon, zDark Trooper, zzAdmiral Piett",1
