Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"MINI  Vodrev",252775387,4078133,2472541,1605592,153,-264,440,409,72,271,148,41,52,61,76,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,12,7,7
"MINI thecleps",734748422,3865855,2229851,1636004,136,-361,340,349,73,190,118,29,37,60,74,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,11,8,6
"MINI carovnicek",979789966,5428705,2987386,2441319,122,80,371,336,113,268,210,43,51,78,108,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,21,11,6
"Carlo Carrillion",283172368,3791961,2166508,1625453,133,-353,498,334,67,155,133,22,31,65,78,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,14,8,7
"Mini Jarjarbinks",622325818,3580234,2116730,1463504,144,-245,179,271,52,151,141,23,29,38,54,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,9,7,4
"Niiiiiiiice",944359395,4153541,2386668,1766873,135,-72,599,353,67,229,136,34,43,58,73,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,10,6,3
"MINI Levezzy",142331952,4748075,2967527,1780548,166,222,131,537,74,446,175,61,76,90,100,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,14,5,6
"DarthBinks",472267697,4782507,2829748,1952759,144,-70,307,431,90,283,165,33,65,85,96,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,15,6,6
"Sirael Kira",141463835,4722236,2767577,1954659,141,-225,289,295,106,178,184,25,37,67,84,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,14,10,7
"Yodaspeak",351541457,9033948,5415805,3618143,149,58,441,663,151,1074,260,162,183,202,207,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,26,10,13
"4Lom",326561697,7094713,4175472,2919241,143,-26,366,420,137,395,236,45,80,139,172,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,24,13,13
"Dubi Nuz",245769968,5034717,3034297,2000420,151,-115,191,235,97,183,200,24,35,47,81,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,17,9,9
"VirginAlarm",736712549,4691315,2725139,1966176,138,184,231,356,65,287,184,49,50,60,81,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,16,8,6
"HighlanderTM",564979834,5062856,2996407,2066449,145,98,297,443,91,378,179,59,69,80,94,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,14,7,7
"Haywood Jablomi",577387331,4116628,2403841,1712787,140,0,183,290,65,168,143,23,35,51,82,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,11,8,5
"Tylord",483827882,3670848,2075170,1595678,130,313,380,288,66,140,142,17,31,47,65,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,11,6,4
"Elias Lund",764634461,5664368,3080902,2583466,119,-287,269,252,56,239,200,35,43,52,72,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,12,6,5
"MINI Danielson",635836449,6650077,3906117,2743960,142,82,284,390,152,339,232,39,71,121,139,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,24,11,11
"The Next Reclaimer",774998361,5804531,3183937,2620594,121,-8,263,301,99,241,223,32,48,79,100,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,14,9,7
"Q2cold",566548746,3552347,2339054,1213293,192,-543,119,360,55,186,140,28,37,54,70,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,9,5,5
"Sellie101",913713173,3511223,2027334,1483889,136,-608,207,283,49,157,115,21,30,38,58,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,9,8,5
"JediBreakout",543934581,5704501,3310224,2394277,138,-182,299,406,99,369,199,50,70,88,103,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,16,7,9
"MINI Davram Bashere",195583113,6061854,3534652,2527202,139,306,486,437,126,427,210,62,81,99,114,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,21,11,9
"MINI Brightframe",686711653,5722082,3403130,2318952,146,274,135,288,96,239,221,31,51,66,101,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,21,11,11
"Shoey Kabloey",635441156,7018810,4125729,2893081,142,174,349,419,129,478,229,74,79,120,135,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,20,11,8
"Regal Misfit",264452656,5140520,3085107,2055413,150,-96,103,368,72,247,199,26,58,82,99,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,16,9,8
"MINIQuagmire",975276668,5033301,2981857,2051444,145,-227,335,470,77,413,159,56,71,83,102,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,13,7,6
"MINI KingSlayer54",386768436,4506276,2585753,1920523,134,-127,348,337,70,246,162,35,46,57,74,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,11,9,5
"MINI Ghost513",219972855,4171795,2348937,1822858,128,-226,229,341,63,223,145,33,42,56,67,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,11,8,5
"Jonc the Oddball",472176875,6745244,3820157,2925087,130,95,408,455,125,487,237,71,92,118,127,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,20,10,9
"MiniZeroKiryu",998362924,5346682,3113527,2233155,139,-181,256,320,83,252,168,28,55,66,100,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,17,12,10
"MikeNice",952134197,4686703,2779164,1907539,145,-78,363,407,93,294,162,38,61,71,97,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,16,6,6
"Danyo",466124939,6675086,3873843,2801243,138,53,167,384,96,364,233,51,74,110,146,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,21,12,11
"MINI Thiya",569752558,3537497,1929869,1607628,120,29,150,200,40,100,146,17,20,31,53,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,9,6,6
"Dford69",597936425,4767487,2909903,1857584,156,71,477,522,86,411,146,53,77,90,107,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,13,7,6
"NikGor",714145675,4906226,2883671,2022555,142,-129,402,443,88,352,180,49,67,80,96,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,16,3,9
"Jonny",213314477,4413621,2558376,1855245,137,74,488,321,69,230,157,36,40,56,80,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,13,8,7
"Phantom",982834476,4081465,2267582,1813883,125,-33,401,238,55,131,144,19,23,48,69,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,15,10,8
"Hotsauce",695177853,5994215,3419030,2575185,132,-2,225,261,99,208,219,26,44,71,135,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,17,7,10
"Mini Willsi",488893923,3094986,1741217,1353769,128,381,287,233,45,102,139,11,22,30,47,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,10,7,4
"Sarfa Jons",477351389,5663445,3400723,2262722,150,52,370,547,91,514,197,75,96,111,120,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,14,8,7
"Finnz",732713199,5332172,3036253,2295919,132,-106,138,383,85,292,191,37,58,88,116,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,17,11,7
"Krepler",963262333,4934486,2759170,2175316,126,-230,141,217,88,141,184,19,30,49,76,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,12,8,7
"Arre Phi",459471232,4938327,2838552,2099775,135,-137,190,311,100,220,175,32,41,69,89,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,15,10,8
"Nevermind",764269128,5646105,3293080,2353025,139,-43,397,378,122,324,190,45,65,84,115,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,20,10,9
"Hersh Bathens",876417788,6640448,3840784,2799664,137,107,473,556,90,644,208,90,108,133,140,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,21,6,11
"Disturbance in the force",784729181,6528571,3927401,2601170,150,-107,226,371,133,328,228,48,63,114,155,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,21,12,11
"Tantema Garnik",198649424,5058021,2871212,2186809,131,-208,543,482,85,405,152,56,77,86,98,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,13,6,6
"paindemonium",283246189,6137532,3764365,2373167,158,8,233,337,144,235,217,22,54,106,135,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,23,11,10
"Blackthorne",172552789,5433182,2978739,2454443,121,-310,302,319,104,249,191,36,50,74,104,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,16,9,7
