Player,Offense,Defense,GP,Name,Squad,Viable
"Bland McRib",0,1,116722,BH,"zzJango zBoba zzBossk zZam zDengar",1
"Bland McRib",0,1,133208,FO,"zzKRU zKylo FOE zHux FOO",1
"Bland McRib",0,1,68924,Phoenix,"Hera G8, Chopper Kanan G8, Ezra G8, Zeb G8",1
"Bland McRib",1,0,18963,SionSolo (Counter),"zSion",1
"Bland McRib",0,1,80120,Geonosians,"zGBA Poggle Geo Soldier, Geo Spy G9, Sun Fac G8",0
"Bland McRib",,,325041,HansMF,"Home One 6*, Han's MF 5*, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing 5*",0
"Bland McRib",1,1,53183,NS_Alt,"zMT 5* G8, AV G9, Spirit 5* G8, Daka Talia 5* G8",0
"Bland McRib",1,1,56694,Ewoks,"zChirpa 6* G9, Elder 6* G8, Paploo 6* G9, Wicket 4* G7, Logray 6* G9",0
"Bland McRib",1,1,102791,zEP,"zzEP zzzVader Tarkin Dooku 5* G8, TFP",0
"Bland McRib",1,0,58010,501st,"Rex G8, Clone Sergeant 5* G8, Echo G8, Fives G8, Ahsoka",0
"Bland McRib",1,0,80576,Wiggs,"Wedge 5* G8, Biggs zCLS zHan zChewbacca",0
"Bland McRib",1,1,57815,Rogue1,"Jyn 5* G8, Chirrut 6* G8, Baze 5* G8, Cassian G9, K-2SO G8",0
"Bland McRib",0,1,67855,BS,"zBS G8, GMY HYoda 6* G8, GK G7, JKA 5* G8",0
"hellwas",0,1,100025,DR,"zzzDR zHK-47 zBSF Sith Marauder, Sith Empire Trooper G8",1
"hellwas",,,424458,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"hellwas",0,1,88979,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac G9",1
"hellwas",1,0,104304,Traya,"zzTraya zzDN zSion zzEP Thrawn G8",1
"hellwas",0,1,93191,Grievous,"zzGG zB2 G9, zB1 zDroideka zMagnaGuard G8",1
"hellwas",1,1,105345,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"hellwas",,,97570,Nute-OR,"zNute zDooku Jango zZaalbar zMission",1
"hellwas",1,1,113757,Revan,"zzzJKR zBS zGMY Jolee zGK",1
"hellwas",1,1,94511,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"hellwas",1,0,113373,ShaakClones,"zzShaak Ti, zRex zEcho zzFives Clone Sergeant",1
"hellwas",0,1,104251,BH,"zzBossk zBoba zIG-88 Dengar G9, Cad",1
"hellwas",0,1,126277,FO,"zzKRU zKylo FOE zFOST FOO",1
"hellwas",0,1,80036,Phoenix,"zHera Kanan G8, Ezra zZeb G8, zSabine",1
"hellwas",1,0,68442,Wiggs,"Wedge G8, Biggs G8, CLS G8, Han Leia G9",1
"hellwas",1,0,83304,QGJ,"QGJ G8, Aayla G9, zJKA Old Ben, zAhsoka",1
"hellwas",1,0,85125,Zader (Counter),"zzzVader Wampa G9, Tarkin Sidious G8, Shoretrooper G8",1
"hellwas",1,0,67466,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha",1
"hellwas",1,1,71105,NS,"MT AV Daka Zombie G8, Spirit G8",0
"hellwas",,,335680,Raddus,"Raddus 4* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"hellwas",1,0,66297,Troopers,"Veers Starck Range Trooper 4* G8, Stormtrooper G8, Snowtrooper G9",0
"hellwas",1,1,74372,Rogue1,"zJyn Chirrut Baze 5* G8, Cassian K-2SO G8",0
"hellwas",1,0,8448,NestSolo (Counter),"Nest 4* G8",0
