Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Mellacer",971852397,5548214,3246242,2301972,141,-8,135,143,92,48,209,10,60,124,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,21,13,12
"Xvorlon",942892128,4917742,2852092,2065650,138,-130,262,259,68,119,178,28,76,115,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,16,10,8
"TheLegacyOfDarthAssEater",857623755,5330790,3072413,2258377,136,-67,133,187,94,91,193,16,66,119,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,18,11,9
"Original Maath Faselli",714276533,5702564,3236469,2466095,131,4,253,267,105,98,209,30,103,135,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,22,13,12
"Slade Bishop",772841157,5331473,3164387,2167086,146,66,126,171,91,57,215,14,66,122,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,18,11,9
"BiggsRememberingMitth",927928484,5316595,2971085,2345510,126,-159,164,296,83,182,190,40,81,114,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,19,12,10
"Bland McRib",976554329,2819197,1592078,1227119,129,-400,194,164,34,52,81,13,23,42,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,4,3,1
"Skrillex",586814663,3144000,1898004,1245996,152,-30,79,204,66,82,121,15,33,53,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,12,10,7
"FSPro",858742512,6407528,3651953,2755575,132,-95,128,341,112,284,214,50,112,140,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,22,14,13
"Schicki",685632884,6379220,3605431,2773789,129,-28,352,367,112,313,225,60,112,135,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,23,14,12
