Player,Offense,Defense,GP,Name,Squad,Viable
"BoboFett",1,1,105626,NS,"zzMT zzAV zDaka Zombie Spirit",1
"BoboFett",0,1,127626,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"BoboFett",,,281630,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"BoboFett",0,1,120800,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"BoboFett",0,1,117771,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"BoboFett",1,0,108390,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"BoboFett",1,1,114789,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"BoboFett",,,414561,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing,",1
"BoboFett",1,1,138521,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"BoboFett",1,1,105816,Revan Offense,"zzzJKR zGMY zBS zJolee HYoda",1
"BoboFett",1,1,85307,Ewoks,"zChirpa Elder Paploo Scout Wicket",1
"BoboFett",0,1,111327,BH,"zzBossk zBoba Greedo zIG-88 zJango",1
"BoboFett",1,0,132686,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"BoboFett",0,1,80648,FO,"zzKRU Kylo G9 FOO FOST G9 FOTP",1
"BoboFett",0,1,75331,Phoenix,"Hera G9 Chopper Ezra Zeb G9 Kanan G8",1
"BoboFett",0,1,67334,Qira,"Qira 6* zL3-37 Vandor Chewbacca 3* G7, Mission G8 Zaalbar G7",0
"BoboFett",1,0,67643,Jawas,"Nebit G8 Jawa Engineer G9, Jawa Scavenger G9, Jawa 6* G9 Dathcha G9",0
"BoboFett",1,0,70205,Zader (Counter),"zzVader Tarkin Sidious G7 Sith Empire Trooper G8, Stormtrooper G7",0
"scott",0,1,132523,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"scott",1,1,104580,NS_Alt,"zzMT Acolyte zDaka zAV Zombie",1
"scott",0,1,102816,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"scott",1,1,118376,JTR,"zzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"scott",1,1,125367,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda",1
"scott",1,1,84686,Ewoks,"zChirpa Elder Paploo Wicket G8 zLogray",1
"scott",1,1,81933,Carth,"zCarth Onasi, Mission G8 Zaalbar G8 Juhani Canderous",1
"scott",0,1,106400,BH,"zzBossk zBoba Cad zDengar zGreedo",1
"scott",1,0,102072,CLS,"zzzCLS zHan Wedge Biggs zChewbacca",1
"scott",0,1,78386,Phoenix,"Hera Chopper zEzra Zeb G8 Kanan",1
"scott",,,386188,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter 5*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter,",0
"scott",0,1,74869,Grievous,"GG B2 G2 MagnaGuard G8 Nute G8 zDooku",0
"scott",1,0,98809,ShaakClones,"Shaak Ti 5* G9, zRex zEcho zzFives zARC Trooper,",0
"scott",0,1,81557,FO,"KRU zKylo Phasma FOSFTP G8 FOTP",0
"scott",1,0,11271,NestSolo (Counter),"Nest 6* G7",0
"Zaljko Petrescu",1,1,122801,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Zaljko Petrescu",0,1,141359,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Zaljko Petrescu",0,1,108717,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Assassin G8,",1
"Zaljko Petrescu",,,442361,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"Zaljko Petrescu",0,1,107759,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Zaljko Petrescu",0,1,119031,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Zaljko Petrescu",1,0,110577,Traya,"zzTraya DN zSion zzEP zzThrawn",1
"Zaljko Petrescu",1,1,99698,JTR,"zJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Zaljko Petrescu",,,108059,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Zaljko Petrescu",1,1,132810,GAS,"zzzzGAS zRex Echo zzFives zARC Trooper,",1
"Zaljko Petrescu",1,1,116781,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Zaljko Petrescu",1,1,93114,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Zaljko Petrescu",0,1,112066,BH,"zzBossk zBoba Cad Greedo zIG-88",1
"Zaljko Petrescu",0,1,91565,FO,"zKRU Kylo FOE FOO zFOST",1
"Zaljko Petrescu",1,0,117242,CLS,"zzzCLS zHan zLeia Old Ben, zzChewbacca",1
"Zaljko Petrescu",1,0,86578,Troopers,"zVeers Starck DT Snowtrooper Stormtrooper",1
"Zaljko Petrescu",0,1,92972,Phoenix,"zHera Chopper zEzra zZeb zKanan",1
"Zaljko Petrescu",1,1,84376,Rogue1,"zJyn Chirrut Baze K-2SO G9 Cassian",1
"Zaljko Petrescu",,,265803,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 5*, Vulture Droid 5*, IG-2000",0
"Zaljko Petrescu",1,0,74667,Zader (Counter),"zVader zTarkin Sidious G8 Sith Empire Trooper 6* G8, Shoretrooper 5* G8",0
"Zaljko Petrescu",1,0,45471,Jawas,"Nebit 6* G8 Jawa Engineer 5* G7, Jawa Scavenger G7, Jawa G8 Dathcha G9",0
"Zaljko Petrescu",1,0,11394,NestSolo (Counter),"Nest 6* G9",0
"Shwaggs",0,1,131170,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Shwaggs",0,1,121889,DRMalak,"zzzDR zzHK-47 zBSF zzMalak zThrawn",1
"Shwaggs",1,1,109877,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"Shwaggs",,,400352,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"Shwaggs",0,1,107782,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Shwaggs",0,1,126102,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Shwaggs",1,1,121058,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Shwaggs",1,1,126874,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Shwaggs",1,1,114008,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Shwaggs",1,1,89486,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Shwaggs",1,1,93249,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Shwaggs",0,1,102504,BH,"zzBossk Boba Cad zDengar Greedo",1
"Shwaggs",1,1,93746,zEP,"zzEP zzVader zTarkin DT G9 TFP G9",1
"Shwaggs",0,1,88520,FO,"zzKRU zKylo FOE FOO FOST G9",1
"Shwaggs",1,0,106498,Wiggs,"Wedge Biggs zzzCLS zHan zzChewbacca",1
"Shwaggs",0,1,74742,Phoenix,"Hera G9 Chopper Ezra Zeb G8 Kanan G8",1
"Shwaggs",,,313985,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 5*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 2*, First Order TIE Fighter,",0
"Shwaggs",,,80964,Nute-Wat,"zNute zDooku zWat Tambor 5* G9, Jango G7 Nest 6* G9",0
"Shwaggs",1,0,64638,Traya,"zTraya G8 DN G8 Sion 6* G8 Sith Assassin 6* G7, Sith Empire Trooper 6* G8,",0
"Shwaggs",1,0,65907,Troopers,"Veers Starck G9 Shoretrooper 5* G7 Snowtrooper G8 Stormtrooper G8",0
"Shwaggs",1,0,68557,Jawas,"Nebit G8 Jawa Engineer 5* G9, Jawa Scavenger, Jawa G9 Dathcha G9",0
"Zynix",,,149071,GL Rey,"zzzzzzRey zzChewbacca zGK zResistance Hero Poe, zResistance Hero Finn,",1
"Zynix",0,1,82587,Qira,"Qira L3-37 Vandor Chewbacca G8, Mission zZaalbar",1
"Zynix",1,1,112809,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Zynix",0,1,127729,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G8,",1
"Zynix",,,387793,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Zynix",,,265919,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Zynix",0,1,116318,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Zynix",0,1,132633,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Zynix",1,0,114389,Traya,"zzTraya DN zSion zzEP zzThrawn",1
"Zynix",1,1,147824,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"Zynix",,,409197,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",1
"Zynix",,,102128,Nute-Wat,"zNute zDooku zWat Tambor 6*, Jango zNest",1
"Zynix",1,1,150498,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Zynix",1,1,127078,Revan Offense,"zzzJKR zzGMY zHYoda zJolee zJKA",1
"Zynix",1,1,89743,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Zynix",0,1,109633,BH,"zzBossk zBoba Dengar Greedo zIG-88",1
"Zynix",0,1,104859,FO,"zzKRU zKylo FOE FOO FOST",1
"Zynix",1,0,85811,Troopers,"zVeers Starck DT Range Trooper G9, Shoretrooper",1
"Zynix",1,0,118988,Wiggs,"Wedge Biggs zzzCLS zHan zC-3PO",1
"Zynix",0,1,83127,Phoenix,"zHera zEzra Zeb G8 Kanan G8 Sabine",1
"Zynix",1,1,84451,Rogue1,"Jyn Chirrut Baze K-2SO Cassian",1
"Zynix",1,0,97467,Zader (Counter),"zzVader Wampa zzTarkin Sidious Sith Empire Trooper,",1
"Zynix",1,0,74029,Jawas,"Nebit G8 Jawa Engineer, Jawa Scavenger G8, Jawa G9 Dathcha",1
"Hunt08uk",0,1,84871,Qira,"Qira L3-37 Vandor Chewbacca G8, Mission zZaalbar",1
"Hunt08uk",1,1,106248,NS,"zzMT zzAV Daka Zombie Spirit",1
"Hunt08uk",,,344274,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Hunt08uk",0,1,132740,DR,"zzzDR zzHK-47 zBSF Sith Assassin G8, zzThrawn",1
"Hunt08uk",0,1,94300,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Hunt08uk",,,392215,Raddus,"Raddus 5* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",1
"Hunt08uk",,,358127,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter,",1
"Hunt08uk",1,1,158153,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Hunt08uk",1,1,94581,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Hunt08uk",1,0,87658,ShaakClones,"zzShaak Ti, Rex Echo Fives ARC Trooper G8,",1
"Hunt08uk",0,1,127805,BH,"zzBossk Aurra zBoba zDengar Greedo",1
"Hunt08uk",1,1,96984,zEP,"zzEP Vader Tarkin DT G9 TFP G9",1
"Hunt08uk",0,1,101230,FO,"zzKRU zKylo FOE FOO zFOST",1
"Hunt08uk",0,1,85864,Phoenix,"zHera Ezra Zeb Kanan Sabine",1
"Hunt08uk",1,0,105273,Wiggs,"Wedge G8 Biggs zHan zzChewbacca C-3PO",1
"Hunt08uk",1,1,94593,Rogue1,"zzJyn Chirrut Baze K-2SO Cassian",1
"Hunt08uk",1,0,85184,QGJ,"QGJ Aayla G8 JKA Old Ben, Ahsoka",1
"Hunt08uk",1,0,69877,Jawas,"Nebit G8 Jawa Engineer G9, Jawa Scavenger G8, Jawa G9 Dathcha G9",1
"Hunt08uk",1,0,18067,SionSolo (Counter),"Sion",1
"Hunt08uk",1,0,16173,NestSolo (Counter),"Nest",1
"Hunt08uk",0,1,80073,Grievous,"GG B2 B1 Droideka MagnaGuard",0
"Hunt08uk",1,1,85218,JTR,"JTR Scav Rey, BB-8 R2-D2 RT",0
"Hunt08uk",1,0,67320,Troopers,"Veers G8 Starck G9 Range Trooper G8, Shoretrooper G8 Snowtrooper G8",0
"Hunt08uk",0,1,90876,BH,"Jango Cad Embo IG-88 Zam",0
"Hunt08uk",1,0,87466,zMaul,"Maul G8 zDooku DN Savage Sith Empire Trooper,",0
"Darkwing",0,1,139652,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Darkwing",,,395171,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Darkwing",0,1,94532,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Darkwing",1,1,95017,NS_Alt,"zMT Acolyte zDaka zzAV Zombie",1
"Darkwing",0,1,111008,Grievous,"zzGG zB2 zDroideka zMagnaGuard IG-88",1
"Darkwing",1,1,107744,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"Darkwing",1,1,116210,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Darkwing",1,1,90879,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
