Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Barduke",362536172,5611787,3180320,2431467,130,70,314,291,112,188,197,44,82,120,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,20,13,11
"Aparada",859529475,4743321,2587920,2155401,120,-100,115,215,85,70,199,15,73,96,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,16,11,7
"Nate",588574513,4810360,2669353,2141007,124,-31,52,166,77,60,200,16,52,90,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,18,13,9
"theChad",562927238,4835627,2714778,2120849,128,-228,294,275,87,132,171,28,79,102,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,17,11,8
"Janghis Apes",463328747,5716653,3333423,2383230,139,-21,284,294,110,178,211,39,94,121,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,23,12,11
"Val",351242448,4920341,2628289,2292052,114,-18,319,189,76,107,200,21,51,79,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,18,13,8
"Ren Gundo",686223479,5763630,3305166,2458464,134,-19,96,212,104,103,204,27,75,120,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,21,13,11
"Split trumpet",348867734,6041318,3457510,2583808,133,-76,260,288,105,172,228,49,91,123,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,23,13,12
"Gorante",335728577,5471325,3037990,2433335,124,-57,190,191,99,79,208,21,68,94,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,19,11,9
"Hunt08uk",287966564,5897290,3307987,2589303,127,-53,199,222,59,130,224,22,83,120,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,22,12,11
"EŁ PλÐƦØnE 9460 discord",549612128,4941789,2885015,2056774,140,-58,114,175,79,43,198,10,68,108,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,17,10,11
"barneszo",297316299,4957424,2896015,2061409,140,-120,300,386,100,242,163,51,92,103,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,16,13,9
"Jmax",297743859,5247348,2998888,2248460,133,-204,343,272,89,166,193,32,78,106,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,18,11,11
"Acesoka",668136538,5388401,3076547,2311854,133,-9,162,240,90,113,197,24,83,115,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,19,13,9
"BoboFett",276174116,4948803,2748317,2200486,124,90,280,245,89,138,173,30,64,92,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,16,12,7
"Samu0106",943784655,4533685,2566113,1967572,130,-67,132,217,89,47,200,25,64,97,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,19,14,10
"Woode Sh",275969965,5646927,3263151,2383776,136,132,232,281,97,209,212,41,76,113,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,19,12,11
"Kamikaze",273232245,5449182,2931480,2517702,116,78,122,261,105,78,200,18,109,115,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,18,11,9
