Player,Offense,Defense,GP,Name,Squad,Viable
"DexAsh",0,1,106178,padme,"zzPadme zGK JKA Ahsoka zzC-3PO",1
"DexAsh",0,1,107206,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper, Sith Assassin G8",1
"DexAsh",,,394408,HansMF,"Home One, Han's MF 5*, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"DexAsh",0,1,93766,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"DexAsh",0,1,86216,Grievous,"zzGG B2 G8, zB1 Droideka G8, MagnaGuard G9",1
"DexAsh",1,1,112691,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn",1
"DexAsh",,,103893,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"DexAsh",1,1,137542,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"DexAsh",1,1,89934,Ewoks,"zChirpa Elder Paploo zWicket Logray G9",1
"DexAsh",0,1,103975,BH,"zzBossk zAurra zBoba IG-88 Dengar",1
"DexAsh",1,1,92832,zEP,"zzEP zzzVader Tarkin IPD G8, TFP G9",1
"DexAsh",1,0,106328,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"DexAsh",0,1,80522,Phoenix,"Hera G9, Kanan G8, zEzra Zeb G8, zSabine",1
"DexAsh",1,0,77722,Wampa (Counter),"Rex G8, zzWampa G9, Krennic G9, Visas FOO G9",1
"DexAsh",1,0,70169,Thragma (Counter),"zThrawn Magma G7, DT G7, Stormtrooper G8, Shoretrooper G8",1
"DexAsh",1,1,77516,Rogue1,"Jyn G8, Chirrut G8, Baze G8, zK-2SO G9, zCassian",1
"DexAsh",1,0,16386,SionSolo (Counter),"Sion",1
"DexAsh",1,1,76486,NS,"MT G8, zzAV Daka Zombie G8, Spirit G8",0
"DexAsh",,,319663,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 5*, First Order TIE Fighter",0
"DexAsh",0,1,72525,FO,"KRU G8, Kylo FOTP G9, FOST G8, FOE",0
"DexAsh",1,0,53550,Jawas,"Nebit G8, Jawa Engineer 5* G8, Jawa Scavenger G8, Jawa G8, Dathcha G8",0
"DexAsh",1,0,10797,NestSolo (Counter),"Nest 5* G9",0
"Longshot51",0,1,86870,Geonosians,"zGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Longshot51",0,1,65892,Phoenix,"Hera G8, Kanan G9, Chopper G8, Ezra G8, Zeb G8",1
"Longshot51",1,1,46474,NS_Alt,"MT 5* G8, AV 6* G8, Spirit 5* G8, Talia 5* G8, Daka 6* G8",0
"Longshot51",1,1,68387,zEP,"zEP Vader Tarkin G8, Dooku 5* G8, TFP G8",0
"Longshot51",0,1,55627,BH,"Jango 4* G8, Cad G8, Boba G8, Greedo 6* G8, IG-88 G9",0
"Longshot51",1,0,54582,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo 5* G8, Fives G8, zAhsoka",0
"Longshot51",1,0,33855,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"Longshot51",0,1,63909,BS,"BS GMY Jolee 4* G8, Old Ben 5* G9, JKA G9",0
"Longshot51",0,1,32617,FO,"KRU 5* G8, Kylo 5* G8, FOO 5* G8, Phasma 5* G8, FOST 5* G8",0
"Sarah6248",1,1,100537,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Sarah6248",0,1,118520,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Sarah6248",,,377349,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Sarah6248",0,1,98492,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Sarah6248",1,0,117042,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"Sarah6248",0,1,99499,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard G9",1
"Sarah6248",1,1,109235,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Sarah6248",,,356818,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Sarah6248",,,106692,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Sarah6248",1,1,116866,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Sarah6248",1,0,108719,CLS,"zzzCLS zHan zzChewbacca Leia G8, zzC-3PO",1
"Sarah6248",1,1,93590,Ewoks,"zChirpa Elder zPaploo Wicket zLogray",1
"Sarah6248",0,1,109151,BH,"zzBossk zBoba zZam zDengar zNest",1
"Sarah6248",1,0,77767,501st,"Rex ARC Trooper G8, Echo Fives Ahsoka",1
"Sarah6248",0,1,89915,FO,"zzKRU zKylo FOO zFOST G8, FOE",1
"Sarah6248",0,1,73267,Phoenix,"Hera G8, Kanan G8, zEzra Zeb G8, Sabine G8",1
"Sarah6248",1,1,72036,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G9, Cassian",1
"Sarah6248",1,0,93743,Zader (Counter),"zzzVader zzWampa zTarkin Sidious G9, Shoretrooper G8",1
"Sarah6248",1,0,69016,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger G8, Jawa G9, Dathcha G9",1
"Sarah6248",1,0,74656,Troopers,"Veers Starck Range Trooper G9, DT G9, Snowtrooper",0
"Bubbers",0,1,66307,Geonosians,"GBA 5* G9, Poggle Geo Soldier, Geo Spy G9, Sun Fac G9",0
"Bubbers",0,1,70858,Grievous,"zGG 6* B2 G9, MagnaGuard 6* G8, Nute IG-88 G9",0
"Bubbers",1,1,43629,NS_Alt,"MT 5* G8, AV Spirit 5* G8, Talia 5* G8, Daka 5* G8",0
"Bubbers",1,0,59417,ShaakClones,"Shaak Ti 2* G8, Rex Echo 6* Fives Clone Sergeant 5* G8",0
"Bubbers",1,1,51055,Ewoks,"Chirpa 5* G9, Elder 6* Paploo 5* G9, Teebo G8, Wicket 4* G9",0
"Bubbers",1,1,67343,zEP,"EP Vader G8, Tarkin G8, DT G9, TFP G9",0
"Bubbers",0,1,50799,BH,"Bossk 4* G7, Cad G8, Boba Greedo 6* G8, Dengar 6* G7",0
"Bubbers",1,0,66717,Wiggs,"Wedge Biggs Leia 6* G8, Chirrut Baze 6*",0
"Bubbers",1,0,66219,QGJ,"QGJ G8, Aayla 5* G8, JKA Kanan G8, zAhsoka",0
"Bubbers",0,1,47667,FO,"KRU 5* G8, zKylo FOO 5* G8, Phasma 6* G8, FOE 5* G8",0
"Bubbers",0,1,40898,Phoenix,"Hera 6* G8, Chopper 6* G8, Ezra 6* G8, Zeb 6* G8, Sabine 5* G8",0
"Alcome",0,1,114075,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Alcome",,,307883,HansMF,"Home One, Han's MF 5*, HT 6* Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
