Player,Offense,Defense,GP,Name,Squad,Viable
"Apollo",1,1,121525,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Apollo",0,1,129978,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Apollo",0,1,116135,DRMalak,"zzzDR HK-47 zBSF zzMalak Thrawn",1
"Apollo",,,363914,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",1
"Apollo",0,1,92506,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Apollo",0,1,117638,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Apollo",1,1,94320,JTR,"zJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Apollo",1,1,126341,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda",1
"Apollo",1,1,86340,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Apollo",1,0,104328,ShaakClones,"zzShaak Ti, zRex Echo zzFives zARC Trooper G9,",1
"Apollo",1,1,86578,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous G8",1
"Apollo",0,1,95887,BH,"zBossk zBoba Dengar Greedo Jango",1
"Apollo",1,0,84072,Troopers,"zVeers zStarck Range Trooper, Shoretrooper G9 Snowtrooper",1
"Apollo",1,0,90245,CLS,"zzCLS zHan Leia Old Ben G9, zChewbacca",1
"Apollo",0,1,79173,Phoenix,"Hera Chopper Ezra Zeb G8 zKanan G8",1
"Apollo",0,1,79476,FO,"zKRU Kylo G9 Phasma G8 FOO FOTP",1
"Apollo",1,0,87125,Zader (Counter),"zzVader zWampa Tarkin Sidious G9 Stormtrooper G8",1
"Apollo",1,0,18646,SionSolo (Counter),"Sion",1
"Apollo",1,1,60157,Rogue1,"Jyn 4* G7 Chirrut G8 Baze G8 K-2SO G9 Scarif G7",0
"Gonzo d'great",1,1,96574,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Gonzo d'great",0,1,128697,DRMalak,"zzzDR zzHK-47 zBSF zzMalak SiT G8",1
"Gonzo d'great",0,1,124648,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Gonzo d'great",,,424453,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"Gonzo d'great",0,1,105088,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Gonzo d'great",0,1,122816,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Gonzo d'great",1,0,112135,Traya,"zzTraya zDN zSion zNest zThrawn",1
"Gonzo d'great",1,1,110727,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"Gonzo d'great",,,98047,Nute-OR,"zNute zDooku zJango zZaalbar zMission",1
"Gonzo d'great",1,1,146951,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper,",1
"Gonzo d'great",1,1,119556,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Gonzo d'great",1,1,83007,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"Gonzo d'great",0,1,101331,BH,"zzBossk Boba Cad Dengar IG-88",1
"Gonzo d'great",1,1,91281,zEP,"zEP zVader Tarkin zIPD G8 TFP G9",1
"Gonzo d'great",0,1,91516,FO,"zzKRU zKylo FOE FOO FOST G8",1
"Gonzo d'great",1,0,106344,Wiggs,"Wedge Biggs zCLS zHan zChewbacca",1
"Gonzo d'great",0,1,74800,Phoenix,"Hera G8 Chopper zEzra Zeb G8 Kanan G8",1
"Gonzo d'great",1,1,75629,Rogue1,"Jyn G8 Chirrut Baze K-2SO G8 Cassian G9",1
"Gonzo d'great",,,378548,Raddus,"Raddus 4* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"Gonzo d'great",1,0,65540,Troopers,"Veers G9 Starck G7 DT G8 Range Trooper G9, Shoretrooper G8",0
"X'lor Bintaghr",0,1,122446,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"X'lor Bintaghr",0,1,119682,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Marauder,",1
"X'lor Bintaghr",1,1,104634,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"X'lor Bintaghr",,,364555,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",1
"X'lor Bintaghr",0,1,101510,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"X'lor Bintaghr",0,1,110458,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"X'lor Bintaghr",1,0,103785,Traya,"zzTraya zDN zSion zzEP zThrawn G9",1
"X'lor Bintaghr",1,1,90180,JTR,"zJTR Scav Rey G9, zzBB-8 G9 zR2-D2 G8 Finn",1
