Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Boseephuss",678678686,6162391,3485870,2676521,130,-154,192,333,116,252,221,29,51,104,140,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,20,13,10
"crackercrew2222",823419176,3601146,2120758,1480388,143,-133,80,99,55,20,161,1,6,26,64,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,13,11,7
"Cherno",986843228,7849541,4654428,3195113,145,18,414,562,156,684,244,98,132,173,190,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,25,13,12
"GrumpyPudding",334643198,2479225,1465250,1013975,144,180,13,192,13,49,102,1,14,24,57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3
"Ricks Baby",241397779,5169100,3068695,2100405,146,24,250,254,86,94,210,6,29,84,124,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,18,13,9
"Goroman",272144952,5466179,3141036,2325143,135,-72,280,266,102,163,201,18,34,79,118,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,19,12,9
"TNR",238373879,1738460,1013468,724992,139,-92,49,97,15,15,84,1,5,9,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"Apollo",239418337,4554276,2628363,1925913,136,-102,64,277,80,136,174,19,31,68,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,19,14,9
"crackerjack2222",288445321,3350809,1944075,1406734,138,-109,102,168,61,42,143,3,10,38,59,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,12,10,6
"GratefulDude",925654896,4714410,2966197,1748213,169,-50,252,232,97,123,172,15,24,61,97,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,17,11,9
"Gonzo d'great",696689127,5430858,2982685,2448173,121,-94,194,237,94,174,206,25,34,60,97,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,21,14,10
"Yodizzle",611122258,5118371,2910585,2207786,131,159,171,237,98,117,193,14,25,73,116,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,18,13,8
"Gorgonzoloff",958541997,5516383,3134358,2382025,131,-31,127,274,96,123,212,3,31,96,120,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,19,11,9
"Hammered77",517315251,4667919,2681609,1986310,135,5,100,236,98,96,185,4,27,64,105,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,18,11,8
"Spork",818596548,5853575,3358858,2494717,134,-9,205,240,101,140,224,15,29,84,116,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,23,16,12
"Ron Burgundy",262387629,5692130,3425293,2266837,151,12,312,276,103,157,209,10,42,84,144,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,21,15,12
"Irina",343425637,6152231,3490597,2661634,131,110,363,284,109,195,230,22,44,92,132,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,22,14,11
"Blinkcopter",322267458,3427735,1939561,1488174,130,-167,92,144,45,38,147,3,11,31,62,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,12,10,6
"Chef",528421884,4623161,2771595,1851566,149,44,72,194,59,65,177,0,31,46,88,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,7,8
"Syzagy",285391516,4564704,2711085,1853619,146,104,84,237,68,126,192,16,29,54,85,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,15,10,7
"Unclad",372639244,5998979,3254858,2744121,118,-5,304,253,100,184,232,22,40,75,124,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,22,14,10
"CynEye",162869843,5510515,3358540,2151975,156,-201,208,271,102,112,202,8,28,99,123,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,19,12,10
"DarthStroyer",831174776,1648415,960459,687956,139,241,10,37,8,6,87,0,2,3,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1
"NuMex",331898292,5411345,3132823,2278522,137,-50,252,239,90,54,220,10,15,104,134,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,20,12,9
"Rhaegar Targaryen",267334162,5455071,3244434,2210637,146,-81,243,316,98,197,203,22,41,92,125,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,19,13,10
"BrianAuto1992",771316452,6410060,3671252,2738808,134,-74,253,293,115,241,224,25,49,91,135,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,22,13,11
