Player,Offense,Defense,GP,Name,Squad,Viable
"Shark",1,1,118594,NS_Alt,"zzMT zzAV zDaka Zombie Talia",1
"Shark",0,1,97414,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Shark",0,1,100862,BH,"zzBossk zIG-88 G9, zGreedo Cad zBoba",1
"Shark",1,0,17178,SionSolo (Counter),"zSion G8",1
"Shark",,,81194,Nute-Sep,"zNute G9, zDooku zJango G5, Nest 4* G5, zzGG",0
"Shark",1,0,83733,501st,"zRex G7, Clone Sergeant, zEcho G7, zzFives G9, zAhsoka",0
"Shark",1,0,60385,Wiggs,"Wedge G8, Biggs Han G6, Ezra G5, Leia G5",0
"Shark",0,1,78014,FO,"zzKRU zKylo FOSFTP G7, FOTP G6, zPhasma",0
"Shark",0,1,51393,Phoenix,"Hera 5* G7, Sabine 4* G5, Zeb G6, Kanan G7, Chopper G5",0
"Shark",1,0,62649,Jawas,"Nebit G8, Jawa Engineer G5, Jawa Scavenger G6, Jawa G9, Dathcha G7",0
"Squeegius",0,1,102383,padme,"zzPadme GK JKA zAhsoka zBarriss",1
"Squeegius",,,368347,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Squeegius",0,1,86855,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Squeegius",1,1,117644,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"Squeegius",1,1,95416,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Squeegius",0,1,111158,BH,"zzBossk zEmbo zGreedo zBoba Dengar",1
"Squeegius",1,0,94476,CLS,"zzCLS zHan Wedge G8, Biggs zChewbacca",1
"Squeegius",1,1,91871,zEP,"zEP zzVader Tarkin Dooku G8, TFP",1
"Squeegius",0,1,90037,DRMalak,"zzDR zHK-47 zBSF Malak 5* G7, Thrawn",0
"Squeegius",0,1,87787,Grievous,"zGG zB2 G8, zB1 G8, zDroideka G8, MagnaGuard",0
"Squeegius",1,0,47888,Traya,"Traya 5* G7, DN 6* G7, Sion G7, Sith Assassin 5* G7, Nest G7",0
"Squeegius",1,1,59116,NS,"MT G8, AV Daka G8, Zombie G8, Spirit 6* G7",0
"Squeegius",1,0,93689,ShaakClones,"zShaak Ti, zRex zEcho G9, zzFives zARC Trooper G9",0
"Squeegius",1,1,56557,Ewoks,"Chirpa G8, Elder G8, Paploo G8, Teebo G7, Scout G7",0
"Squeegius",1,0,65429,Troopers,"Veers G8, Starck G7, Range Trooper G8, Shoretrooper G8, Stormtrooper G8",0
"Squeegius",0,1,78330,BH,"Jango IG-88 Cad Aurra 3* G8, Zam G9",0
"Squeegius",0,1,73786,Phoenix,"Hera G9, Sabine 6* G8, zZeb G8, zKanan G8, Chopper G9",0
"Squeegius",0,1,65289,FO,"zKRU Kylo G8, FOTP G7, FOO G8, Phasma G7",0
"Nickadomis",0,1,108684,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Empire Trooper",1
"Nickadomis",1,1,100279,Revan Offense,"zzzJKR GMY BS zJolee Ezra",1
"Nickadomis",1,1,88093,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Nickadomis",1,0,91815,501st,"zRex Clone Sergeant, zEcho zFives Ahsoka",1
"Nickadomis",1,0,13987,SionSolo (Counter),"Sion G9",1
"Nickadomis",0,1,79400,Geonosians,"zGBA Poggle Geo Soldier, Geo Spy, Sun Fac",0
"Nickadomis",1,1,77835,zEP,"zEP Vader Tarkin Dooku 4* G8, TFP G9",0
"Nickadomis",1,0,53775,Troopers,"Veers 4* G7, Starck 6* G7, Snowtrooper G7, Magma G7, Stormtrooper G8",0
"Nickadomis",0,1,65740,Phoenix,"Hera G9, Sabine 4* G7, Zeb G8, Kanan G8, Chopper",0
"Nickadomis",0,1,63960,FO,"KRU G8, Kylo G8, FOE G9, FOO G8, Phasma G8",0
"robhimself08",1,1,77202,NS_Alt,"zzMT 5* AV Daka G8, Zombie 4* Talia G8",0
"robhimself08",0,1,71107,BS,"zBS zzGMY Jolee 4* G8, Old Ben 4* G7, JKA 4* G8",0
"robhimself08",1,0,73311,Zader (Counter),"zzVader Mission 5* G7, Zaalbar 5* G8, Tarkin G8, Boba G9",0
"Hambone",1,1,105471,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Hambone",0,1,123665,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Hambone",0,1,112463,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Hambone",,,354964,HansMF,"Home One, Han's MF 5*, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Hambone",0,1,97609,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Hambone",1,1,106643,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"Hambone",0,1,98789,Grievous,"zzGG zB2 MagnaGuard Dooku IG-88",1
"Hambone",1,0,119174,CLS,"zzzCLS zHan zzChewbacca zzThrawn zzC-3PO G9",1
"Hambone",1,1,119130,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"Hambone",1,1,91365,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"Hambone",1,1,90276,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Hambone",1,0,100149,ShaakClones,"zzShaak Ti, zRex Echo zzFives Clone Sergeant",1
"Hambone",0,1,103337,BH,"zzBossk zJango Greedo zBoba Zam",1
"Hambone",0,1,91927,FO,"zzKRU zKylo FOE FOO Phasma",1
"Hambone",1,0,20538,SionSolo (Counter),"zSion",1
"Hambone",0,1,64999,Phoenix,"Hera G8, Sabine 3* G8, Zeb G8, Kanan G8, Chopper G9",0
"Hambone",1,1,61674,Rogue1,"Jyn 4* G8, Chirrut G9, Baze 5* G7, K-2SO G9, Cassian G7",0
"Hambone",1,0,51384,Jawas,"Nebit G8, Jawa Engineer 5* G8, Jawa Scavenger G7, Jawa 6* G8, Dathcha G7",0
"mortedor",0,1,131151,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"mortedor",0,1,107933,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"mortedor",,,393238,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"mortedor",1,1,115757,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra G8",1
"mortedor",1,0,102991,ShaakClones,"zShaak Ti, zRex Echo zzFives ARC Trooper G9",1
"mortedor",1,1,77635,Ewoks,"zChirpa Elder zPaploo Teebo G8, zLogray G9",1
"mortedor",1,1,94620,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"mortedor",0,1,100272,BH,"zBossk Jango Cad Boba Dengar",1
"mortedor",1,0,92927,CLS,"zzCLS zHan Wedge G8, Biggs zChewbacca",1
"mortedor",1,1,91587,zEP,"zEP zzzVader Tarkin Dooku TFP G8",1
"mortedor",0,1,75877,Phoenix,"Hera G9, Sabine G8, zZeb G8, zKanan G8, Chopper G8",1
"mortedor",1,0,16509,NestSolo (Counter),"Nest",1
"mortedor",1,0,14679,SionSolo (Counter),"Sion G9",1
"mortedor",1,1,85930,NS_Alt,"zMT zAV zDaka Zombie Talia G8",0
"mortedor",0,1,76438,Geonosians,"zGBA Poggle Geo Soldier, Geo Spy G8, Sun Fac G8",0
"mortedor",0,1,107809,Grievous,"zGG zB2 zB1 zDroideka MagnaGuard",0
"mortedor",1,0,56489,Troopers,"Veers G8, Starck G7, Snowtrooper G8, Magma G7, Stormtrooper G8",0
"mortedor",0,1,71594,FO,"zKRU G8, Kylo G8, FOE G9, FOTP G8, FOO G8",0
"K1",0,1,143082,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"K1",0,1,125844,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"K1",1,1,126405,NS_Alt,"zzMT zzAV zDaka Zombie Talia",1
"K1",,,407475,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"K1",0,1,90668,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac G9",1
"K1",0,1,100597,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"K1",1,1,143254,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"K1",1,1,96455,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"K1",1,0,102166,ShaakClones,"zShaak Ti, zRex zEcho zzFives ARC Trooper G8",1
"K1",1,1,98031,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"K1",0,1,108178,BH,"zBossk zJango Greedo zBoba Dengar G9",1
"K1",0,1,95686,FO,"zzKRU zKylo G9, zFOST G8, FOE G9, FOO",1
"K1",1,0,114214,CLS,"zzzCLS zHan Wedge G8, Biggs zzChewbacca",1
"K1",1,1,129386,zEP,"zzEP zzzVader zTarkin zDooku TFP",1
"K1",0,1,79055,Phoenix,"Hera Sabine G8, Zeb Kanan Chopper",1
"K1",1,0,19081,SionSolo (Counter),"zSion",1
"K1",1,0,14554,NestSolo (Counter),"Nest G9",1
"K1",1,1,90717,JTR,"JTR G8, Scav Rey, BB-8 G8, zzR2-D2 zFinn G9",0
"K1",,,359610,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",0
"K1",1,0,84093,Thragma (Counter),"zThrawn Magma G7, DT 6* G8, Krennic 6* G7, Stormtrooper",0
"K1",1,1,62162,Rogue1,"Jyn 5* G8, Chirrut 6* G8, Baze 5* G8, K-2SO G8, Cassian G8",0
"Muskrat",1,1,137122,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Muskrat",0,1,100040,padme,"zzPadme GK JKA zAhsoka zC-3PO",1
"Muskrat",1,1,102947,NestSisters,"zzAV zzMT Daka Zombie zNest",1
"Muskrat",,,377138,HansMF,"Home One, Han's MF 5*, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Muskrat",1,0,114219,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Muskrat",1,1,102293,JTR,"zJTR Scav Rey, zzBB-8 zR2-D2 RT",1
"Muskrat",1,1,116628,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"Muskrat",1,0,110239,ShaakClones,"zzShaak Ti 6* G9, zRex zEcho zzFives zARC Trooper",1
"Muskrat",0,1,100010,BH,"zBossk Greedo zAurra Boba Dengar",1
"Muskrat",0,1,80819,Phoenix,"Hera zEzra Sabine Zeb Kanan G8",1
"Muskrat",1,0,98861,Wiggs,"Wedge Biggs zzCLS zHan zChewbacca",1
"Muskrat",1,1,88674,Rogue1,"Jyn Chirrut Baze K-2SO Pao",1
"Muskrat",1,0,102456,Zader (Counter),"zzzVader Mission G8, Zaalbar G8, zzWampa Tarkin",1
"Muskrat",0,1,75626,Grievous,"zGG G9, B2 G8, MagnaGuard G8, Dooku G8, IG-88",0
"Muskrat",1,1,79239,Ewoks,"zChirpa Elder Paploo G5, Teebo zLogray G9",0
"Muskrat",1,0,79871,Troopers,"Veers Starck Snowtrooper Range Trooper G7, DT",0
"Muskrat",0,1,82254,BH,"Jango Embo Cad The Mandalorian 4* G7, Zam",0
"Muskrat",1,0,83907,zMaul,"Maul zBSF Sidious Savage Sith Marauder",0
"Muskrat",1,0,61485,Jawas,"Nebit G7, Jawa Engineer G8, Jawa Scavenger G7, Jawa G8, Dathcha G8",0
"Mogar",1,0,72948,Wiggs,"Wedge G8, Biggs G8, CLS G9, Han zLeia G9",1
"Mogar",1,1,71159,zEP,"EP G9, zVader G9, Tarkin G9, DT 5* G7, TFP G8",0
"Mogar",0,1,66788,BH,"Bossk 5* G9, IG-88 G8, Greedo G8, Boba G9, Dengar 5* G9",0
"Mogar",1,0,58520,Rex (Counter),"Rex 6* G7, DN 4* G8, Chirrut G9, Baze 4* G8, zR2-D2 G9",0
"Mogar",1,0,42956,Thragma (Counter),"Thrawn 5* G8, Magma G4, Krennic 5* G7, Stormtrooper G9, Shoretrooper 4* G8",0
"Mogar",0,1,37686,Phoenix,"Hera 5* G7, Ezra 6* G6, Zeb G5, Kanan 6* G7, Chopper 5* G7",0
"Sw",0,1,94784,BH,"zBossk Jango Cad zBoba Zam G9",1
"Sw",0,1,83509,Phoenix,"Hera zEzra Sabine Zeb G9, Kanan",1
"Sw",1,0,86637,Wiggs,"Wedge G8, Biggs G8, zzzCLS Han G9, Leia",1
"Sw",0,1,95751,BS,"zBS zzGMY JKA G9, GK Ahsoka",1
"Sw",0,1,64854,Geonosians,"zGBA 5* G8, Poggle Geo Soldier 5* G8, Geo Spy 6* G8, Sun Fac G8",0
"Sw",0,1,60146,Grievous,"GG 5* G5, B2 4* G5, MagnaGuard 6* G8, Nute G7, zDooku",0
"Sw",1,1,58904,NS,"MT 5* G8, AV Daka G9, Zombie 5* G7, Spirit 5* G7",0
"Sw",1,1,70469,Ewoks,"zChirpa G9, Elder 6* Paploo 6* G9, Teebo G8, Scout G8",0
"Sw",1,1,52824,Carth,"Carth Onasi 5* G9, Mission 6* G7, Zaalbar 6* G8, Juhani 5* G8, Canderous 5* G8",0
"Sw",1,0,69332,Clones,"Cody G8, Rex G7, Echo 5* G8, zFives Clone Sergeant G8",0
