Player,Offense,Defense,GP,Name,Squad,Viable
"rebelknight2",1,1,155750,Revan,"zzzJKR zBS zGMY zJolee zGK",1
"rebelknight2",1,1,89650,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous G8",1
"rebelknight2",0,1,105539,BH,"zzBossk Cad zBoba zGreedo G9, zDengar",1
"rebelknight2",0,1,113745,FO,"zzKRU zKylo zHux FOO FOE",1
"rebelknight2",0,1,89263,Phoenix,"zHera zEzra zSabine Zeb G8, zKanan G8",1
"rebelknight2",1,0,99084,Wiggs,"Wedge G8, Biggs G8, zzCLS zHan zzChewbacca",1
"rebelknight2",1,0,104051,Zader (Counter),"zzzVader zzWampa Tarkin Sidious G8, Stormtrooper G8",1
"rebelknight2",1,0,16969,SionSolo (Counter),"zSion G9",1
"rebelknight2",0,1,125583,DRMalak,"zzzDR zHK-47 zBSF zzMalak zThrawn",0
"rebelknight2",1,1,60837,NS,"MT 5* G8, zAV Daka Zombie 6* G7, Spirit 6* G8",0
"rebelknight2",,,51723,Mon Mothma,"Mon Mothma 3* G8, Hoth Rebel Scout G8, Lando G8, Chirrut G8, Hoth Rebel Soldier 5* G8",0
"rebelknight2",1,0,79632,ShaakClones,"zShaak Ti 6* G8, zRex zEcho Fives G8, Clone Sergeant G8",0
"RiRi",1,1,120122,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"RiRi",0,1,118154,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Empire Trooper",1
"RiRi",0,1,111333,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"RiRi",0,1,93481,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"RiRi",0,1,119373,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"RiRi",1,0,113219,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"RiRi",1,1,113140,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"RiRi",,,109122,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"RiRi",1,1,121812,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"RiRi",1,1,95329,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"RiRi",0,1,109262,BH,"zzBossk zIG-88 zBoba Greedo zDengar",1
"RiRi",1,0,99264,Clones,"Cody zRex zEcho zzFives zARC Trooper",1
"RiRi",0,1,89332,Phoenix,"zHera Ezra G8, zSabine zZeb G8, zKanan",1
"RiRi",1,0,110143,CLS,"zzzCLS zHan Leia zzOld Ben, zzChewbacca",1
"RiRi",0,1,102972,FO,"zzKRU zKylo FOTP FOO zPhasma",1
"RiRi",,,341134,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid 5*, IG-2000 3*",0
"RiRi",,,272539,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter 5*, First Order SF TIE Fighter 5*, First Order TIE Fighter",0
"RiRi",1,0,76959,Troopers,"Veers 6* G5, Starck G8, zStormtrooper zDT Snowtrooper",0
"DarthReaper",0,1,81951,Grievous,"zzGG B2 G8, MagnaGuard G8, Nute Dooku",1
"DarthReaper",1,1,109060,Revan,"zzzJKR zBS zGMY zJolee GK G8",1
"DarthReaper",0,1,77596,BH,"zzBossk IG-88 G8, Jango Boba G8, Greedo G8",1
"DarthReaper",0,1,71952,Phoenix,"Hera G8, Ezra Zeb G8, Chopper Kanan G8",1
"DarthReaper",1,1,75326,NS,"zMT zzAV Daka G9, Zombie G8, Spirit 5* G8",0
"DarthReaper",0,1,66939,Geonosians,"GBA 4* G8, Poggle Geo Soldier, Geo Spy G9, Sun Fac G8",0
"DarthReaper",1,0,66804,Traya,"Traya 5* G8, DN 5* G8, Sion 4* G6, zEP zThrawn",0
"DarthReaper",,,314777,HansMF,"Home One 6*, Han's MF 5*, HT Biggs X-wing, Phantom Ghost 6* Tie Adv 6*, Wedge X-wing",0
"DarthReaper",,,47990,Mon Mothma,"Mon Mothma 3* G8, Wedge 5* G8, Hoth Rebel Scout 5* G8, Biggs G8, Cassian G8",0
"DarthReaper",1,1,54657,Carth,"Carth Onasi, Mission G8, Zaalbar G7, Juhani G7, Canderous G7",0
"DarthReaper",1,0,76249,501st,"Rex Clone Sergeant 6* G8, Echo G9, Fives G9, zAhsoka",0
"DarthReaper",1,0,68627,Troopers,"zVeers Starck Stormtrooper G8, Snowtrooper G8, Admiral Piett 4* G8",0
"DarthReaper",1,0,68530,CLS,"CLS G8, Han Leia G8, Old Ben G9, Chewbacca 6* G8",0
"DarthReaper",0,1,55327,FO,"zKRU 5* G8, Kylo 6* G8, FOO G8, FOE 5* G9, Phasma G8",0
"DarthReaper",1,0,69188,Zader (Counter),"zzVader Wampa 5* G8, Tarkin G8, Sidious G8, Shoretrooper 5* G8",0
"Re1apse",0,1,126184,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Re1apse",1,1,104559,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Re1apse",0,1,86944,Geonosians,"zzGBA 6* Poggle Geo Soldier, Geo Spy, Sun Fac G8",1
"Re1apse",1,0,107406,Traya,"zzTraya zDN zSion G9, zzEP zThrawn",1
"Re1apse",1,1,111769,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 zFinn",1
"Re1apse",0,1,90833,Grievous,"zzGG zB2 G9, zB1 G9, MagnaGuard G8, zDooku",1
"Re1apse",1,1,139075,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Re1apse",1,0,110085,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper",1
"Re1apse",1,1,94750,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous G8",1
"Re1apse",0,1,113851,BH,"zzBossk zIG-88 zBoba zGreedo zDengar",1
"Re1apse",1,0,114149,CLS,"zzzCLS zHan zLeia zOld Ben, zzChewbacca",1
"Re1apse",0,1,78430,Phoenix,"Hera Ezra Sabine Zeb G8, Kanan G8",1
"Re1apse",0,1,97592,FO,"zzKRU zKylo zFOTP FOO Phasma G9",1
"Re1apse",1,0,88800,Zader (Counter),"zzzVader Wampa G8, Tarkin Sidious Stormtrooper G8",1
"Re1apse",,,386111,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter 5*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 5*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",0
"Re1apse",1,1,80634,Ewoks,"Chirpa 4* G7, Elder zPaploo Teebo zLogray",0
"Re1apse",1,0,75549,Troopers,"Veers Starck G7, DT Snowtrooper Magma",0
"Re1apse",1,0,57369,Jawas,"Nebit G8, Jawa Engineer 4* G7, Jawa Scavenger G7, Jawa 5* G9, Dathcha G8",0
"Kelgarr Greywolf",1,1,120985,Revan Offense,"zzzJKR zGMY BS zJolee zEzra",1
"Kelgarr Greywolf",1,1,79171,Carth,"Carth Onasi, Mission G9, zZaalbar Juhani Canderous G8",1
"Kelgarr Greywolf",1,0,66421,Wiggs,"Wedge G8, Biggs G8, CLS G9, Han G9, Leia",1
"Kelgarr Greywolf",1,0,67775,Zader (Counter),"zVader Tarkin G8, Sidious G8, Boba G9, Stormtrooper G8",1
"Kelgarr Greywolf",0,1,53089,Geonosians,"GBA 5* G8, Poggle G8, Geo Soldier G8, Geo Spy G8, Sun Fac G7",0
"Kelgarr Greywolf",1,1,74885,JTR,"JTR G8, Scav Rey, BB-8 R2-D2 Finn",0
"Kelgarr Greywolf",1,1,56443,NS_Alt,"MT 6* G8, AV Talia 5* G8, Daka G8, Spirit 5* G8",0
"Kelgarr Greywolf",1,0,59675,501st,"Rex G8, Clone Sergeant G9, Echo G8, Fives G8, Ahsoka",0
"Kelgarr Greywolf",0,1,52910,BH,"Bossk 2* G8, IG-88 G8, Jango 3* G7, Cad G8, Greedo G8",0
"Kelgarr Greywolf",0,1,80105,FO,"KRU Kylo FOO FOE Phasma",0
"Kelgarr Greywolf",0,1,59896,Phoenix,"Hera G8, Sabine 5* G8, Zeb G8, Chopper Kanan G8",0
"Kelgarr Greywolf",1,1,37988,Rogue1,"Jyn 5* G8, Chirrut G8, Baze 5* G8, K-2SO 6* G8, Cassian 5* G8",0
"Bane532",0,1,95614,FO,"zzKRU zKylo zFOST FOO FOE",1
