Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Christian",698618618,1184799,714335,470464,151,-81,27,65,6,4,42,0,1,6,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"Trainwreck0013",264833373,5171569,2880584,2290985,125,32,197,155,89,66,205,3,16,51,82,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,17,11,9
"Bane532",755419552,1612633,941386,671247,140,-458,21,64,10,7,36,1,1,8,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"StarChild",686334386,1535760,932858,602902,154,88,32,26,6,0,39,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Praetorian",343395999,1276786,792556,484230,163,13,12,39,4,5,12,1,1,3,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rebelknight2",544936354,3592414,2228388,1364026,163,-77,89,242,69,115,136,19,21,43,58,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,7,5
"LocoStar",781422259,3051702,1829704,1221998,149,207,49,34,20,3,126,0,1,9,40,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5
"Rezimoore",694239263,847824,589263,258561,227,-680,67,11,4,0,26,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhaenys Targaryen",899322955,3644873,2171335,1473538,147,-176,101,193,59,82,151,12,14,40,77,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,15,13,7
"Mol Eliza",218136527,4433719,2479935,1953784,126,76,84,275,74,180,136,30,30,56,72,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,11,7,6
"Re1apse",393959856,4504890,2680416,1824474,146,-61,104,226,85,60,169,5,17,73,91,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,13,10,7
"Yodason",888638167,4357061,2632401,1724660,152,109,64,112,78,20,165,2,8,37,79,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,7
