Player,Offense,Defense,GP,Name,Squad,Viable
"Dar Solman",0,1,121091,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Dar Solman",1,1,107230,NestSisters,"zzAV zzMT Daka Zombie zNest",1
"Dar Solman",0,1,89942,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Dar Solman",1,1,106993,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra G8",1
"Dar Solman",1,1,89678,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"Dar Solman",0,1,101315,BH,"zzJango zzBossk zEmbo Boba Dengar",1
"Dar Solman",1,0,94204,Wiggs,"Wedge G7, Biggs G8, zzCLS zHan zzChewbacca",1
"Dar Solman",0,1,98831,FO,"zzKRU zKylo FOO FOST zFOTP",1
"Dar Solman",1,1,96867,zEP,"zzEP zzzVader Tarkin zDooku TFP G8",1
"Dar Solman",1,0,21232,SionSolo (Counter),"zSion",1
"Dar Solman",0,1,76805,Qira,"zQira L3-37 6* zVandor Chewbacca 6*, Mission G8, Zaalbar G8",0
"Dar Solman",0,1,85488,Grievous,"zzGG B2 5* G8, MagnaGuard G9, IG-88 zT3-M4",0
"Dar Solman",1,0,103626,ShaakClones,"zzShaak Ti, zRex zEcho zzFives zARC Trooper 6*",0
"Dar Solman",1,0,73510,Thragma (Counter),"zThrawn 6* Magma G8, zDT 6* Krennic 6* Stormtrooper G9",0
"Dar Solman",0,1,63815,Phoenix,"Hera G8, Kanan G8, Chopper G8, Sabine G8, Zeb G7",0
"Bearsfan4life34",0,1,127602,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Bearsfan4life34",0,1,120190,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Bearsfan4life34",1,1,97370,NS_Alt,"zzMT zAV Zombie Talia Daka",1
"Bearsfan4life34",,,376199,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Bearsfan4life34",0,1,91564,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Bearsfan4life34",0,1,114164,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Bearsfan4life34",1,0,105371,Traya,"zzTraya DN G8, zSion zzEP zThrawn",1
"Bearsfan4life34",1,1,109442,JTR,"zzzJTR zScav Rey, zBB-8 zzR2-D2 RT",1
"Bearsfan4life34",,,102651,Nute-OR,"zNute zDooku zJango zZaalbar zMission",1
"Bearsfan4life34",1,1,115270,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra",1
"Bearsfan4life34",1,1,88934,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Bearsfan4life34",0,1,109390,BH,"zzBossk zGreedo zIG-88 zBoba Dengar",1
"Bearsfan4life34",1,0,108337,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Bearsfan4life34",0,1,85231,FO,"zKRU zKylo G8, FOO Phasma FOTP",1
"Bearsfan4life34",1,0,14839,NestSolo (Counter),"Nest G9",1
"Bearsfan4life34",,,311895,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter 4*, First Order TIE Fighter",0
"Bearsfan4life34",1,0,96757,ShaakClones,"zzShaak Ti, zRex Echo zzFives G9, Clone Sergeant",0
"Bearsfan4life34",1,0,61658,Troopers,"Veers Starck G7, Snowtrooper G8, Shoretrooper 5* G8, Stormtrooper G7",0
