Player,Offense,Defense,GP,Name,Squad,Viable
"Moe",0,1,121548,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Moe",0,1,85085,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac G8",1
"Moe",0,1,85722,Grievous,"zzGG B2 G8, Nute G9, zIG-88 T3-M4 G8",1
"Moe",1,1,121955,Revan,"zzzJKR zBS zGMY zJolee GK",1
"Moe",1,1,90220,Carth,"Carth Onasi, zMission Zaalbar zJuhani Canderous",1
"Moe",0,1,119162,FO,"zzKRU zKylo FOE FOO FOTP",1
"Moe",1,0,110734,CLS,"zzzCLS zHan Leia G9, zOld Ben, zzChewbacca",1
"Moe",0,1,73113,Phoenix,"Hera G9, Chopper Ezra Kanan G8, Zeb G8",1
"Moe",1,1,85812,zEP,"zzEP zzzVader Tarkin G8, Dooku 4* G8, TFP G7",0
"Moe",0,1,89604,BH,"Bossk 4* G8, Greedo zBoba Cad zDengar",0
"Moe",1,0,65504,501st,"Rex G8, Clone Sergeant G8, Echo G4, Fives G7, Ahsoka",0
"GameMasterTy",0,1,135827,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"GameMasterTy",0,1,113784,padme,"zzPadme zGK JKA zAhsoka zC-3PO",1
"GameMasterTy",,,352113,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"GameMasterTy",1,1,92596,NS_Alt,"zzMT Acolyte Daka zzAV Zombie",1
"GameMasterTy",0,1,92740,Grievous,"zzGG zB2 zB1 Droideka MagnaGuard",1
"GameMasterTy",1,1,102720,JTR,"zzJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"GameMasterTy",1,1,113085,Revan Offense,"zzzJKR zGMY zBS zJolee HYoda",1
"GameMasterTy",1,1,83092,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"GameMasterTy",1,1,84542,Carth,"Carth Onasi, zMission zZaalbar Juhani G8, Canderous",1
"GameMasterTy",0,1,92638,BH,"zBossk IG-88 Boba Cad Dengar",1
"GameMasterTy",0,1,77074,FO,"zKRU zKylo FOST G8, FOE FOO G8",1
"GameMasterTy",0,1,68044,Phoenix,"Hera G8, Sabine G8, Ezra G8, Kanan G8, Zeb G8",1
"GameMasterTy",1,0,103713,CLS,"zzCLS zHan Wedge Biggs zChewbacca",1
"GameMasterTy",1,1,92160,zEP,"zEP zzVader Tarkin G8, Dooku TFP",1
"GameMasterTy",1,1,68782,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G8, Cassian G8",1
"GameMasterTy",1,0,20236,SionSolo (Counter),"zSion",1
"GameMasterTy",,,247785,Malevolence,"Malevolence 5* Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber 4*, Vulture Droid 3*, IG-2000",0
"GameMasterTy",0,1,77655,Geonosians,"zGBA G9, Poggle G9, Geo Soldier, Geo Spy, Sun Fac G8",0
"GameMasterTy",,,278179,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",0
"GameMasterTy",1,0,86049,ShaakClones,"zShaak Ti, Rex Echo Fives G9, ARC Trooper G8",0
"GameMasterTy",1,0,38952,Troopers,"Veers 6* G7, Starck G7, Stormtrooper G7, Shoretrooper 4* G8, Snowtrooper G7",0
"GameMasterTy",1,0,10417,NestSolo (Counter),"Nest 5* G8",0
"ThePatterner",0,1,102535,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper, Sith Assassin",1
"ThePatterner",1,1,137275,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"ThePatterner",1,1,104308,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"ThePatterner",0,1,88383,BH,"zzBossk IG-88 Jango G9, Boba G9, Cad G9",1
"ThePatterner",0,1,91370,Phoenix,"zHera zSabine G8, zEzra zKanan zZeb",1
"ThePatterner",1,0,64444,Wiggs,"Wedge G8, Biggs G8, Han G7, Fulcrum G7, Leia G9",1
"ThePatterner",1,0,20434,SionSolo (Counter),"zSion",1
"ThePatterner",,,284241,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter 4*, Umbaran Starfighter 5*, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 3*, Clone Sergeant's ARC-170, Jedi Consular's Starfighter",0
"ThePatterner",,,56215,Mon Mothma,"Mon Mothma 3* G7, Cara Dune 3* G4, K-2SO G7, Cassian G7, Jyn G7",0
"ThePatterner",1,0,57762,ShaakClones,"Shaak Ti 3* G7, Rex G7, Echo G7, Fives G8, Clone Sergeant G6",0
"ThePatterner",1,1,72906,zEP,"EP G9, zzzVader Tarkin G8, Dooku 6* G8, TFP 5* G7",0
"ThePatterner",1,0,46711,Troopers,"Veers G9, Starck G8, Stormtrooper G4, Range Trooper 2* G6, Admiral Piett 3* G4",0
"ThePatterner",0,1,55462,FO,"KRU 5* G7, Kylo 6* G7, FOE 5* G7, Phasma G7, zSith Trooper",0
"ThePatterner",1,0,11689,NestSolo (Counter),"zNest 3* G7",0
"JediAce",1,1,101973,JTR,"zzzJTR Scav Rey, zBB-8 zR2-D2 Finn",1
"JediAce",1,1,95409,Revan Offense,"zzzJKR G9, zGMY BS zJolee Ezra G9",1
"JediAce",1,1,81345,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"JediAce",1,1,81511,Carth,"Carth Onasi, zMission Zaalbar Juhani Canderous",1
"JediAce",0,1,86695,BH,"zBossk Greedo G9, Jango Boba G9, Dengar G9",1
"JediAce",1,0,84576,Wiggs,"Wedge G8, Biggs G8, zzCLS zHan C-3PO",1
"JediAce",0,1,95591,DR,"zzzDR HK-47 zBSF Sith Empire Trooper 4* G8, zThrawn",0
"JediAce",1,1,72517,NS_Alt,"MT 5* G8, zAV Daka Talia Zombie 6*",0
"JediAce",1,0,85550,ShaakClones,"zzShaak Ti 6*, zRex Echo G9, zFives ARC Trooper G8",0
"JediAce",1,1,77828,zEP,"zEP zVader Tarkin Dooku 5* G8, TFP 6* G8",0
"JediAce",0,1,62041,Phoenix,"Hera G9, Chopper G8, Sabine 4* G7, Kanan G8, Zeb",0
"JediAce",0,1,58740,FO,"KRU G8, Kylo G8, Phasma G7, FOO G8, FOTP G8",0
"Korvan",,,404646,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Korvan",,,449456,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Korvan",0,1,112855,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Korvan",0,1,130345,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Korvan",1,1,130983,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Korvan",1,0,157719,CLS,"zzzCLS zHan zzChewbacca zzThrawn zzC-3PO",1
"Korvan",1,1,86033,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Korvan",0,1,120589,BH,"zzBossk zIG-88 zBoba Cad zDengar",1
"Korvan",1,1,124798,zEP,"zzEP zzzVader zzTarkin DT G9, TFP",1
"Korvan",1,0,89163,Troopers,"zVeers zStarck Stormtrooper G8, Range Trooper G9, Snowtrooper",1
"Korvan",0,1,91854,FO,"zzKRU zKylo G8, FOE FOO FOTP",1
"Korvan",0,1,83413,Phoenix,"zHera G9, Chopper zEzra Kanan G8, zZeb",1
"Korvan",1,0,85992,Traya,"zzTraya zDN 5* G8, zSion 6* G9, Dooku G9, zNest 6*",0
"Korvan",,,78981,Mon Mothma,"zzMon Mothma 4* G8, Cassian Pao G8, Jyn G8, Biggs",0
"Korvan",0,1,78296,BS,"zBS 3* G8, zGMY zHYoda G9, GK G7, Ahsoka G8",0
"yoadreane",,,362114,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"yoadreane",0,1,88104,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac G8",1
"yoadreane",1,1,98023,JTR,"zzzJTR Scav Rey, BB-8 G9, R2-D2 zFinn",1
"yoadreane",1,1,114569,Revan,"zzzJKR zBS zzGMY zJolee GK G9",1
"yoadreane",1,0,105058,CLS,"zzzCLS Han zzChewbacca Thrawn G9, zzC-3PO G9",1
"yoadreane",1,1,98567,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"yoadreane",1,1,100489,Carth,"zCarth Onasi, zMission G8, zZaalbar zJuhani zCanderous",1
"yoadreane",0,1,131191,BH,"zzBossk zGreedo zBoba Cad zZam",1
"yoadreane",1,0,71182,Wiggs,"Wedge G9, Biggs G8, Fulcrum G7, Ezra Leia G9",1
"yoadreane",1,1,115096,zEP,"zzEP zzzVader zzTarkin Dooku TFP",1
"yoadreane",1,0,119348,zMaul,"zMaul zBSF zzDN zzzDR Sidious",1
"yoadreane",1,0,15412,SionSolo (Counter),"Sion G9",1
"yoadreane",1,1,90646,NS,"zzMT zzAV Daka Zombie Spirit G8",0
"yoadreane",1,0,85526,ShaakClones,"zzShaak Ti, Rex Echo G9, Fives Clone Sergeant G8",0
"yoadreane",0,1,68852,BH,"Jango G9, Greef Karga 3* G7, IG-88 Embo G8, Nest 6*",0
"yoadreane",1,0,52529,Troopers,"Veers 6* G9, Starck 5* G2, Stormtrooper G8, Shoretrooper 3* G8, Snowtrooper G8",0
"yoadreane",0,1,85684,FO,"KRU G9, zKylo FOE FOO FOTP G9",0
"yoadreane",0,1,67105,Phoenix,"Hera Chopper G8, Sabine 3* G7, Kanan Zeb G8",0
"Ohyeahh",0,1,98280,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Ohyeahh",1,1,118883,Revan,"zzJKR zBS zGMY zJolee zGK",1
"Ohyeahh",1,0,96693,501st,"zRex zARC Trooper, zEcho zzFives Ahsoka",1
"Ohyeahh",0,1,72078,Phoenix,"Hera G9, Chopper Ezra Kanan G9, Zeb G8",1
"Ohyeahh",1,1,87106,NS,"zMT zAV zDaka Zombie 5* G9, Spirit",0
"Ohyeahh",0,1,52798,Grievous-Wat,"GG G9, B2 G7, B1 4* G7, MagnaGuard 6* G8, Wat Tambor 4* G9",0
"Ohyeahh",1,1,70062,zEP,"EP Vader Tarkin DT 5* G8, TFP G8",0
"Ohyeahh",1,0,51172,Wiggs,"Wedge 5* G8, Biggs G8, CLS G7, Han G6, Leia G9",0
"Ohyeahh",1,1,45167,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, K-2SO G8, Cassian G8",0
"Ohyeahh",0,1,50556,FO,"KRU 5* G8, Kylo G9, FOE 5* G9, Phasma G8, FOO 6* G8",0
"Ragnarr Loðbrók",0,1,145504,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Ragnarr Loðbrók",0,1,134397,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Ragnarr Loðbrók",1,1,102785,NS_Alt,"zzMT zzAV zDaka Talia Zombie",1
"Ragnarr Loðbrók",,,408464,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"Ragnarr Loðbrók",0,1,95002,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Ragnarr Loðbrók",0,1,94065,Grievous,"zzGG B2 G8, zB1 zDroideka zMagnaGuard G8",1
"Ragnarr Loðbrók",1,1,106214,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"Ragnarr Loðbrók",1,0,112079,Traya,"zzTraya DN zSion zDooku zzEP",1
"Ragnarr Loðbrók",1,1,121351,Revan Offense,"zzzJKR zzGMY zBS zJolee zEzra",1
"Ragnarr Loðbrók",1,1,86324,Ewoks,"zChirpa Elder Paploo zWicket Logray G9",1
"Ragnarr Loðbrók",1,1,94220,Carth,"zCarth Onasi, zMission Zaalbar zJuhani Canderous",1
"Ragnarr Loðbrók",0,1,101216,BH,"zJango zBossk Boba Cad zEmbo",1
"Ragnarr Loðbrók",1,0,108645,CLS,"zzzCLS zHan Leia Old Ben, zzChewbacca",1
"Ragnarr Loðbrók",1,0,94664,Zader (Counter),"zzzVader Tarkin Sidious Shoretrooper G8, Stormtrooper G8",1
"Ragnarr Loðbrók",1,0,74105,Jawas,"Nebit Jawa Engineer G9, Jawa Scavenger G9, Jawa G9, Dathcha",1
"Ragnarr Loðbrók",,,64689,Mon Mothma,"Mon Mothma 4* G8, Bistan G8, K-2SO G7, Cassian G7, Lando",0
"Ragnarr Loðbrók",1,0,87408,ShaakClones,"Shaak Ti, Rex Echo G9, Fives Clone Sergeant",0
"Ragnarr Loðbrók",0,1,92142,FO,"KRU Kylo zHux FOO Sith Trooper G8",0
"Ragnarr Loðbrók",1,0,43650,QiraNest,"Qira Nest 6* HYoda 6*",0
"Raunomac",0,1,115808,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper G8",1
"Raunomac",0,1,103305,padme,"zzPadme zGK zJKA zAhsoka C-3PO G9",1
"Raunomac",,,378391,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"Raunomac",0,1,101277,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Raunomac",1,0,117521,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Raunomac",1,1,142853,JTR,"zzzJTR zScav Rey, zBB-8 zzR2-D2 zFinn",1
"Raunomac",0,1,92630,Grievous,"zzGG B2 G9, zB1 Droideka G8, zDooku",1
"Raunomac",1,1,115390,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"Raunomac",1,1,97189,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Raunomac",1,1,97457,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"Raunomac",0,1,98116,BH,"zzBossk Greedo Boba Dengar zNest",1
"Raunomac",1,0,86289,Troopers,"zVeers Starck Shoretrooper DT Range Trooper G9",1
"Raunomac",0,1,86733,FO,"zzKRU Kylo G9, FOE FOO FOTP",1
"Raunomac",1,0,97960,CLS,"zzzCLS zHan Leia Old Ben G9, zzChewbacca",1
"Raunomac",0,1,81288,Phoenix,"Hera Chopper zSabine zKanan zZeb G8",1
"Raunomac",1,1,77873,Rogue1,"Jyn Chirrut Baze K-2SO G8, Cassian",1
"Raunomac",1,0,92801,Zader (Counter),"zzzVader zWampa Tarkin G8, Sidious Stormtrooper G8",1
"Raunomac",1,1,83225,NS,"zzMT zzAV Daka Zombie G8, Spirit G7",0
"StradsMan3",0,1,110713,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"StradsMan3",,,398207,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"StradsMan3",0,1,103962,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"StradsMan3",1,1,102004,NS_Alt,"zzMT Acolyte zDaka zzAV Zombie",1
"StradsMan3",0,1,102321,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard G9",1
"StradsMan3",1,0,97396,Traya,"zzTraya DN zSion G9, zzEP Thrawn",1
"StradsMan3",1,1,115843,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 RT",1
"StradsMan3",,,97678,Nute-OR,"zNute zDooku zJango zZaalbar zMission",1
